"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://laclinica.org/","Casa CHE","1537 Fruitvale Avenue","Oakland","CA","94601-2322","US","<MISSING>","510-535-6400","<MISSING>","37.7795913","-122.2251706","Monday - Friday 8:00am - 5:00pm","https://laclinica.org/location/community-health-education-casa-che/"
"https://laclinica.org/","Casa De Luz","2005 Main Street","Oakley","CA","94561","US","<MISSING>","925-776-8223","<MISSING>","38.004827874239","-121.73502707107","Monday - Friday 8:30am - 5:30pm","https://laclinica.org/location/casa-de-luz/"
"https://laclinica.org/","Casa Del Sol","1501 Fruitvale Avenue","Oakland","CA","94601-2322","US","<MISSING>","510-535-6200","<MISSING>","37.7790256","-122.2254365","Monday - Friday 9:00am - 6:00pm","https://laclinica.org/location/casa-del-sol/"
"https://laclinica.org/","Clnica Alta Vista","1515 Fruitvale Avenue","Oakland","CA","94601-2322","US","<MISSING>","510-535-6300","<MISSING>","37.7791882","-122.2253922","Monday - Friday: 8:30am - 5:30pm","https://laclinica.org/location/clinica-alta-vista/"
"https://laclinica.org/","Community Health Education Contra Costa County","335 E. Leland Road","Pittsburg","CA","94565-4911","US","<MISSING>","925-431-7101","<MISSING>","38.0122273","-121.8872286","Monday - Friday 8:00am - 5:00pm","https://laclinica.org/location/che-contra-costa-county/"
"https://laclinica.org/","Cultura y Bienestar","1415 Fruitvale Avenue","Oakland","CA","94601-2315","US","<MISSING>","510-535-8400","<MISSING>","37.7780708","-122.2259033","Monday - Friday 8:30am - 5:30pm","https://laclinica.org/location/cultura-y-bienestar/"
"https://laclinica.org/","Dental Care Mobile","339 E. Leland Rd.","Pittsburg","CA","94565-4911","US","<MISSING>","925-363-2000","<MISSING>","38.012228","-121.8872345","Thursday - Friday: 8:30am - 12:30pm","https://laclinica.org/location/dental-care-mobile/"
"https://laclinica.org/","Fuente Wellness Center","16335 East 14th Street","San Leandro","CA","94578","US","<MISSING>","<MISSING>","<MISSING>","37.6954994","-122.1154301","Monday - Friday 9:30am - 6:00pm","https://laclinica.org/location/fuente-wellness-center/"
"https://laclinica.org/","Havenscourt Health Center","1390 66th Avenue","Oakland","CA","94621-3506","US","<MISSING>","510-639-1981","<MISSING>","37.7615544","-122.1936724","Monday - Friday 8:30am - 5:00pm","https://laclinica.org/location/havenscourt-health-center/"
"https://laclinica.org/","Hawthorne Elementary SBHC","1700 28th Avenue","Oakland","CA","94601-2455","US","<MISSING>","510-535-6440","<MISSING>","37.7821826","-122.2268771","Monday - Friday 8:30am - 4:30pm","https://laclinica.org/location/hawthorne-elementary-school-based-health-center/"
