"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.lawlersbarbecue.com","Decatur","725 Beltline Road Suite 1","Decatur","AL","35603","US","1976","(256) 822-1006","law lers barbecue","34.55918","-86.995502","Mo-Sa 10:30-20:00","https://order-online.azurewebsites.net/2099/1976/"
"https://www.lawlersbarbecue.com","Hughes Road","544 Hughes Road","Madison","AL","35758","US","2117","(256) 772-0590","law lers barbecue","34.711506","-86.742465","Mo-Sa 10:30-20:00","https://order-online.azurewebsites.net/2099/2117/"
"https://www.lawlersbarbecue.com","Airport Road","5004 Whitesburg Drive","Huntsville","AL","35802","US","2118","(256) 880-1286","law lers barbecue","34.691032","-86.56866","Mo-Sa 10:30-20:00","https://order-online.azurewebsites.net/2099/2118/"
"https://www.lawlersbarbecue.com","Athens (I-65)","1506 Highway 72 East","Athens","AL","35611","US","2131","(256) 233-1818","law lers barbecue","34.781854","-86.937596","Mo-Sa 10:30-20:00","https://order-online.azurewebsites.net/2099/2131/"
"https://www.lawlersbarbecue.com","Jeff Road","1047 Jeff Road Suite 10","Monrovia","AL","35806","US","2133","(256) 830-8200","law lers barbecue","34.785491","-86.713702","Mo-Sa 10:30-20:00","https://order-online.azurewebsites.net/2099/2133/"
"https://www.lawlersbarbecue.com","South Parkway","11310 South Memorial Parkway SW","Huntsville","AL","35803","US","2135","(256) 882-5404","law lers barbecue","34.622504","-86.567674","Mo-Sa 10:30-20:00","https://order-online.azurewebsites.net/2099/2135/"
"https://www.lawlersbarbecue.com","Hampton Cove","6727 Highway 431 South","Owens Cross Roads","AL","35767","US","2137","(256) 585-3247","law lers barbecue","34.657631","-86.480581","Mo-Sa 10:30-20:00","https://order-online.azurewebsites.net/2099/2137/"
"https://www.lawlersbarbecue.com","Meridianville","11818 Hwy 231/431 N","Meridianville","AL","35759","US","2147","(256) 828-6677","law lers barbecue","34.854893","-86.567971","Mo-Sa 10:30-20:00","https://order-online.azurewebsites.net/2099/2147/"
"https://www.lawlersbarbecue.com","Cullman","5781 Highway 157","Cullman","AL","35058","US","2149","(256) 747-5157","law lers barbecue","34.206183","-86.871","Mo-Sa 10:30-20:00","https://order-online.azurewebsites.net/2099/2149/"
"https://www.lawlersbarbecue.com","Killen","1333 Highway 72","Killen","AL","35645","US","2151","(256) 272-5464","law lers barbecue","34.754777","-86.735954","Mo-Sa 10:30-20:00","https://order-online.azurewebsites.net/2099/2151/"
"https://www.lawlersbarbecue.com","Muscle Shoals","808 Avalon Avenue","Muscle Shoals","AL","35661","US","2157","(256) 320-7062","law lers barbecue","34.744404","-87.662271","Mo-Sa 10:30-20:00","https://order-online.azurewebsites.net/2099/2157/"
