"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"http://marianos.com/","Marianos Bronzeville","3857 S. Dr. Martin Luther King Jr. Dr.","Chicago","IL","60653","US","00539","7732682839","Marianos","41.8242095","-87.6151567","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00539"
"http://marianos.com/","Mariano's Bridgeport","3145 South Ashland Ave","CHICAGO","IL","60608","US","00520","7732472633","Marianos","41.8359808","-87.6636801","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00520"
"http://marianos.com/","Mariano's Evergreen Park","2559 West 95th Street","EVERGREEN PARK","IL","60805","US","00530","7084222001","Marianos","41.7193407","-87.6875596","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00530"
"http://marianos.com/","Mariano's South Loop","1615 S. Clark Street","CHICAGO","IL","60616","US","00512","3122254386","Marianos","41.859336","-87.6295012","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00512"
"http://marianos.com/","Mariano's West Loop","40 S Halsted","CHICAGO","IL","60661","US","00508","3122437657","Marianos","41.8808237","-87.64784","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00508"
"http://marianos.com/","Mariano's Lakeshore East","333 E Benton Place","CHICAGO","IL","60601","US","00503","3122281349","Marianos","41.8853187","-87.6182262","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00503"
"http://marianos.com/","Mariano's Oak Lawn","11000 S Cicero Avenue","OAK LAWN","IL","60453","US","00517","7083460698","Marianos","41.6922785","-87.7431082","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00517"
"http://marianos.com/","Mariano's Ukrainian Village","2021 W Chicago Avenue","CHICAGO","IL","60622","US","00527","7737999000","Marianos","41.8955273","-87.6783442","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00527"
"http://marianos.com/","Mariano's New City","1500 N. Clybourn Ave. #C104","CHICAGO","IL","60610","US","00534","3124759661","Marianos","41.9081984","-87.6464058","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00534"
"http://marianos.com/","Mariano's Bucktown","2112 N Ashland","CHICAGO","IL","60614","US","00516","7733426585","Marianos","41.9208","-87.6690973","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00516"
"http://marianos.com/","Marianos 3030 Broadway","3030 N. Broadway Suite 100","Chicago","IL","60657","US","00538","7739350294","Marianos","41.9373186","-87.6448025","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00538"
"http://marianos.com/","Mariano's Roscoe Village","3350 North Western Avenue","CHICAGO","IL","60618","US","00504","7733272093","Marianos","41.9423947","-87.6900045","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00504"
"http://marianos.com/","Mariano's Western Springs","4700 Gilbert Ave.","WESTERN SPRINGS","IL","60558","US","00529","7082466210","Marianos","41.8040735","-87.8914149","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00529"
"http://marianos.com/","Mariano's Ravenswood","1800 West Lawrence Ave.","CHICAGO","IL","60640","US","00515","7733343549","Marianos","41.9693533","-87.6750717","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00515"
"http://marianos.com/","Mariano's Edgewater","5201 N Sheridan Rd","CHICAGO","IL","60640","US","00522","7735060558","Marianos","41.9773457","-87.6545029","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00522"
"http://marianos.com/","Mariano's Westchester","3020 Wolf Rd","WESTCHESTER","IL","60154","US","00528","7085624033","Marianos","41.8354993","-87.8994719","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00528"
"http://marianos.com/","Mariano's Orland Park","9504 142nd Street","ORLAND PARK","IL","60462","US","00535","7082260006","Marianos","41.6339486","-87.8522066","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00535"
"http://marianos.com/","Mariano's Jefferson Park","5353 N Elston","CHICAGO","IL","60630","US","00507","7734816731","Marianos","41.9794638","-87.7574573","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00507"
"http://marianos.com/","Mariano's Harwood Heights","7401 West Lawrence Ave.","HARWOOD HEIGHTS","IL","60706","US","00510","7088678543","Marianos","41.9654703","-87.8127708","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00510"
"http://marianos.com/","Mariano's Skokie","3358 West Touhy Avenue","SKOKIE","IL","60076","US","00531","8477638801","Marianos","42.0125475","-87.7141001","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00531"
"http://marianos.com/","Marianos Westmont","150 W. 63rd St.","Westmont","IL","60559","US","00536","6309642254","Marianos","41.7755083","-87.9785009","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00536"
"http://marianos.com/","Mariano's Park Ridge","1900 S Cumberland Avenue","PARK RIDGE","IL","60068","US","00525","8476962360","Marianos","41.9873196","-87.8379514","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00525"
"http://marianos.com/","Mariano's Elmhurst","678 N. York Street","ELMHURST","IL","60126","US","00511","6307820017","Marianos","41.9204842","-87.9405668","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00511"
"http://marianos.com/","Marianos Lombard","345 W. Roosevelt Ave.","Lombard","IL","60148","US","00543","6306293965","Marianos","41.8583839","-88.0255475","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00543"
"http://marianos.com/","Mariano's Glenview East","25 Waukegan Rd","GLENVIEW","IL","60025","US","00518","8477244685","Marianos","42.0560574","-87.797441","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00518"
"http://marianos.com/","Mariano's Frankfort","21001 S LaGrange Rd","FRANKFORT","IL","60423","US","00509","8154643376","Marianos","41.5088291","-87.8477632","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00509"
"http://marianos.com/","Mariano's Northfield","1822 Willow Rd","NORTHFIELD","IL","60093","US","00524","8474466870","Marianos","42.1000677","-87.7713354","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00524"
"http://marianos.com/","Marianos Des Plaines","10 E Golf Road","Des Plaines","IL","60016","US","00541","8476357465","Marianos","42.049748","-87.9201467","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00541"
"http://marianos.com/","Marianos Naperville","1300 S. Naper Blvd.","Naperville","IL","60540","US","00537","6306379906","Marianos","41.7497082","-88.1128588","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00537"
"http://marianos.com/","Mariano's Wheaton","625 S Main St","WHEATON","IL","60187","US","00513","6306906451","Marianos","41.8593446","-88.1033461","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00513"
"http://marianos.com/","Mariano's Glenview West","2323 Capital Drive","NORTHBROOK","IL","60062","US","00532","8475130202","Marianos","42.1110022","-87.8726101","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00532"
"http://marianos.com/","Mariano's Northbrook","784 Skokie Blvd.","NORTHBROOK","IL","60062","US","00533","8475591145","Marianos","42.1393825","-87.7941842","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00533"
"http://marianos.com/","Mariano's Arlington Heights","802 East Northwest Highway","ARLINGTON HEIGHTS","IL","60004","US","00501","8472535439","Marianos","42.0803774","-87.9729352","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00501"
"http://marianos.com/","Marianos Bloomingdale","144 S. Gary Ave.","Bloomingdale","IL","60108","US","00540","6306719116","Marianos","41.9515786","-88.1225948","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00540"
"http://marianos.com/","Arlington Heights Pharmacy","1250 Village Drive","ARLINGTON HEIGHTS","IL","60004","US","00591","6306379906","Marianos","42.0985028","-87.9925851","Sun = 24 Hours  Mon = 24 Hours  Tue = 24 Hours  Wed = 24 Hours  Thu = 24 Hours  Fri = 24 Hours  Sat = 24 Hours","https://www.marianos.com/stores/details/531/00591"
"http://marianos.com/","Mariano's Aurora","3025 E New York St","AURORA","IL","60504","US","00519","6302360683","Marianos","41.7580539","-88.2411898","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00519"
"http://marianos.com/","Mariano's Shorewood","950 Brook Forest Avenue","SHOREWOOD","IL","60404","US","00526","8155772741","Marianos","41.537035","-88.1970031","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00526"
"http://marianos.com/","Marianos Crystal Lake","105 Northwest Hwy.","Crystal Lake","IL","60014","US","00544","8152614705","Marianos","42.225307","-88.324142","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00544"
"http://marianos.com/","Mariano's Hoffman Estates","2575 W Golf Rd","HOFFMAN ESTATES","IL","60169","US","00506","8474902043","Marianos","42.0451129","-88.1430396","Sun = 6:00 AM - 10:00 PM  Mon = 6:00 AM - 10:00 PM  Tue = 6:00 AM - 10:00 PM  Wed = 6:00 AM - 10:00 PM  Thu = 6:00 AM - 10:00 PM  Fri = 6:00 AM - 10:00 PM  Sat = 6:00 AM - 10:00 PM","https://www.marianos.com/stores/details/531/00506"
