"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://miniluxe.com/","Back Bay (296 Newbury St)","296 Newbury Street","Boston"," MA","<MISSING>","US","<MISSING>","857-362-7444","miniluxe","<MISSING>","<MISSING>","Sunday: 8:00 AM to 9:00 PM Monday: 8:00 AM to 9:00 PM Tuesday: 8:00 AM to 9:00 PM Wednesday: 8:00 AM to 9:00 PM Thursday: 8:00 AM to 9:00 PM Friday: 8:00 AM to 9:00 PM Saturday: 8:00 AM to 9:00 PM"
"https://miniluxe.com/","Back Bay (31 Newbury St)","31 Newbury Street","Boston"," MA","<MISSING>","US","<MISSING>","617-963-7594","miniluxe","<MISSING>","<MISSING>","Sunday: 8:00 AM to 9:00 PM Monday: 8:00 AM to 9:00 PM Tuesday: 8:00 AM to 9:00 PM Wednesday: 8:00 AM to 9:00 PM Thursday: 8:00 AM to 9:00 PM Friday: 8:00 AM to 9:00 PM Saturday: 8:00 AM to 9:00 PM"
"https://miniluxe.com/","Chestnut Hill","23 Boylston Street","Chestnut Hill"," MA","<MISSING>","US","<MISSING>","617-379-0270","miniluxe","<MISSING>","<MISSING>","Sunday: 8:00 AM to 8:00 PM Monday: 8:00 AM to 9:00 PM Tuesday: 8:00 AM to 9:00 PM Wednesday: 8:00 AM to 9:00 PM Thursday: 8:00 AM to 9:00 PM Friday: 8:00 AM to 9:00 PM Saturday: 8:00 AM to 8:00 PM"
"https://miniluxe.com/","Coolidge","273 Harvard Street","Brookline"," MA","<MISSING>","US","<MISSING>","617-608-0009","miniluxe","<MISSING>","<MISSING>","Sunday: 8:00 AM to 8:00 PM Monday: 8:00 AM to 9:00 PM Tuesday: 8:00 AM to 9:00 PM Wednesday: 8:00 AM to 9:00 PM Thursday: 8:00 AM to 9:00 PM Friday: 8:00 AM to 9:00 PM Saturday: 8:00 AM to 8:00 PM"
"https://miniluxe.com/","Fenway","18 Kilmarnock Street","Boston"," MA","<MISSING>","US","<MISSING>","617-963-7592","miniluxe","<MISSING>","<MISSING>","Sunday: 8:00 AM to 8:00 PM Monday: 8:00 AM to 9:00 PM Tuesday: 8:00 AM to 9:00 PM Wednesday: 8:00 AM to 9:00 PM Thursday: 8:00 AM to 9:00 PM Friday: 8:00 AM to 9:00 PM Saturday: 8:00 AM to 8:00 PM"
"https://miniluxe.com/","Hingham","92 Derby Street","Hingham"," MA","<MISSING>","US","<MISSING>","781-556-5769","miniluxe","<MISSING>","<MISSING>","Sunday: 8:00 AM to 8:00 PM Monday: 8:00 AM to 9:00 PM Tuesday: 8:00 AM to 9:00 PM Wednesday: 8:00 AM to 9:00 PM Thursday: 8:00 AM to 9:00 PM Friday: 8:00 AM to 9:00 PM Saturday: 8:00 AM to 8:00 PM"
"https://miniluxe.com/","Lexington","1718 Massachusetts Avenue","Lexington"," MA","<MISSING>","US","<MISSING>","339-970-2322","miniluxe","<MISSING>","<MISSING>","Sunday: 8:00 AM to 8:00 PM Monday: 9:00 AM to 9:00 PM Tuesday: 9:00 AM to 9:00 PM Wednesday: 9:00 AM to 9:00 PM Thursday: 9:00 AM to 9:00 PM Friday: 9:00 AM to 9:00 PM Saturday: 8:00 AM to 8:00 PM"
"https://miniluxe.com/","Lynnfield","245 Market Street","Lynnfield"," MA","<MISSING>","US","<MISSING>","781-587-0919","miniluxe","<MISSING>","<MISSING>","Sunday: 8:00 AM to 8:00 PM Monday: 8:00 AM to 9:00 PM Tuesday: 8:00 AM to 9:00 PM Wednesday: 8:00 AM to 9:00 PM Thursday: 8:00 AM to 9:00 PM Friday: 8:00 AM to 9:00 PM Saturday: 8:00 AM to 8:00 PM"
"https://miniluxe.com/","Newton Centre","792 Beacon Street","Newton Center"," MA","<MISSING>","US","<MISSING>","617-332-9200","miniluxe","<MISSING>","<MISSING>","Sunday: 8:00 AM to 8:00 PM Monday: 8:00 AM to 9:00 PM Tuesday: 8:00 AM to 9:00 PM Wednesday: 8:00 AM to 9:00 PM Thursday: 8:00 AM to 9:00 PM Friday: 8:00 AM to 9:00 PM Saturday: 8:00 AM to 8:00 PM"
"https://miniluxe.com/","Prudential Center","776 Boylston Street","Boston"," MA","<MISSING>","US","<MISSING>","617-684-2769","miniluxe","<MISSING>","<MISSING>","Sunday: 8:00 AM to 9:00 PM Monday: 8:00 AM to 9:00 PM Tuesday: 8:00 AM to 9:00 PM Wednesday: 8:00 AM to 9:00 PM Thursday: 8:00 AM to 9:00 PM Friday: 8:00 AM to 9:00 PM Saturday: 8:00 AM to 9:00 PM"
"https://miniluxe.com/","Seaport","81 Seaport Boulevard","Boston"," MA","<MISSING>","US","<MISSING>","617-963-7591","miniluxe","<MISSING>","<MISSING>","Sunday: 8:00 AM to 9:00 PM Monday: 8:00 AM to 9:00 PM Tuesday: 8:00 AM to 9:00 PM Wednesday: 8:00 AM to 9:00 PM Thursday: 8:00 AM to 9:00 PM Friday: 8:00 AM to 9:00 PM Saturday: 8:00 AM to 9:00 PM"
"https://miniluxe.com/","South End","536 Tremont Street","Boston"," MA","<MISSING>","US","<MISSING>","617-684-1538","miniluxe","<MISSING>","<MISSING>","Sunday: 8:00 AM to 8:00 PM Monday: 8:00 AM to 9:00 PM Tuesday: 8:00 AM to 9:00 PM Wednesday: 8:00 AM to 9:00 PM Thursday: 8:00 AM to 9:00 PM Friday: 8:00 AM to 9:00 PM Saturday: 8:00 AM to 8:00 PM"
"https://miniluxe.com/","Training Studio","639 VFW Parkway","Chestnut Hill"," MA","<MISSING>","US","<MISSING>","617-327-1777","miniluxe","<MISSING>","<MISSING>","Sunday: Closed Monday: Closed Tuesday: 11:00 AM to 7:00 PM Wednesday: 11:00 AM to 7:00 PM Thursday: 11:00 AM to 7:00 PM Friday: 11:00 AM to 7:00 PM Saturday: 9:00 AM to 5:00 PM"
"https://miniluxe.com/","Wellesley","96 Central Street","Wellesley"," MA","<MISSING>","US","<MISSING>","781-235-7575","miniluxe","<MISSING>","<MISSING>","Sunday: 8:00 AM to 8:00 PM Monday: 8:00 AM to 9:00 PM Tuesday: 8:00 AM to 9:00 PM Wednesday: 8:00 AM to 9:00 PM Thursday: 8:00 AM to 9:00 PM Friday: 8:00 AM to 9:00 PM Saturday: 8:00 AM to 8:00 PM"
"https://miniluxe.com/","Westwood","129 University Avenue","Westwood"," MA","<MISSING>","US","<MISSING>","781-708-9743","miniluxe","<MISSING>","<MISSING>","Sunday: 8:00 AM to 8:00 PM Monday: 9:00 AM to 9:00 PM Tuesday: 9:00 AM to 9:00 PM Wednesday: 9:00 AM to 9:00 PM Thursday: 9:00 AM to 9:00 PM Friday: 9:00 AM to 9:00 PM Saturday: 8:00 AM to 8:00 PM"
