"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.pizza73.com/Pizza73/","<MISSING>","6842 GAETZ AVE","RED DEER","ALBERTA","T4N4E3","CA","20","403-346-7373","<MISSING>","52.293","-113.814","MON , TUE , WED , THU 11:00 AM -12:05 AM SUN 11:00 AM -10:00 PM FRI , SAT 11:00 AM -01:00 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-113.80430181056657&lat=52.28932057693429"
"https://www.pizza73.com/Pizza73/","<MISSING>","4912 43 ST","RED DEER","ALBERTA","T4N5K6","CA","21","403-346-7373","<MISSING>","52.262","-113.812","MON , TUE , WED , THU 11:00 AM -12:05 AM SUN 11:00 AM -10:00 PM FRI , SAT 11:00 AM -01:00 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-113.80430181056657&lat=52.28932057693429"
"https://www.pizza73.com/Pizza73/","<MISSING>","4924 33 STREET","SYLVAN LAKE","ALBERTA","T0M1Z0","CA","86","403-346-7373","<MISSING>","52.319117","-114.074386","MON , TUE , WED , THU 11:00 AM -11:00 PM SUN 11:00 AM -10:00 PM FRI , SAT 11:00 AM -12:05 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-113.80430181056657&lat=52.28932057693429"
"https://www.pizza73.com/Pizza73/","<MISSING>","510 CIRCLE DR E","SASKATOON","SASKATCHEWAN","S7K7C7","CA","77","306-652-7373","<MISSING>","52.158","-106.662","SUN , MON , TUE , WED , THU 11:00 AM -10:00 PM FRI , SAT 11:00 AM -12:05 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-106.7179102506739&lat=52.15202074951877"
"https://www.pizza73.com/Pizza73/","<MISSING>","2311 8 ST E","SASKATOON","SASKATCHEWAN","S7H0V4","CA","41","306-652-7373","<MISSING>","52.115","-106.62","SUN , MON , TUE , WED , THU 11:00 AM -10:00 PM FRI , SAT 11:00 AM -12:05 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-106.7179102506739&lat=52.15202074951877"
"https://www.pizza73.com/Pizza73/","<MISSING>","410 LUDLOW ST","SASKATOON","SASKATCHEWAN","S7S1M7","CA","43","306-652-7373","<MISSING>","52.148","-106.572","MON 11:00 AM -10:00 PM SUN , TUE , WED , THU 11:00 AM -12:05 AM FRI , SAT 11:00 AM -03:00 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-106.7179102506739&lat=52.15202074951877"
"https://www.pizza73.com/Pizza73/","<MISSING>","5103 50 AVE","LEDUC","ALBERTA","T9E0B9","CA","60","780-473-7373","<MISSING>","53.265","-113.555","MON , TUE , WED , THU 11:00 AM -11:00 PM SUN 11:00 AM -10:00 PM FRI , SAT 11:00 AM -12:05 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-113.39723504910974&lat=53.30868331484586"
"https://www.pizza73.com/Pizza73/","<MISSING>","1109 SUMMERSIDE DR SW","EDMONTON","ALBERTA","T6X0H5","CA","48","780-473-7373","<MISSING>","53.424","-113.463","MON , TUE , WED , THU 11:00 AM -12:05 AM SUN 11:00 AM -10:00 PM FRI , SAT 11:00 AM -01:00 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-113.39723504910974&lat=53.30868331484586"
"https://www.pizza73.com/Pizza73/","<MISSING>","10855 23 AVE NW","EDMONTON","ALBERTA","T6J7B5","CA","1","780-473-7373","<MISSING>","53.453823","-113.50343","MON , TUE , WED , THU 11:00 AM -12:05 AM SUN 11:00 AM -10:00 PM FRI , SAT 11:00 AM -01:00 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-113.39723504910974&lat=53.30868331484586"
"https://www.pizza73.com/Pizza73/","<MISSING>","16236 ELLERSLIE ROAD SW","EDMONTON","ALBERTA","T6W1A4","CA","84","780-473-7373","<MISSING>","53.424891","-113.596872","MON , TUE , WED , THU 11:00 AM -12:05 AM SUN 11:00 AM -10:00 PM FRI , SAT 11:00 AM -01:00 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-113.39723504910974&lat=53.30868331484586"
"https://www.pizza73.com/Pizza73/","<MISSING>","3426 43 AVE NW","EDMONTON","ALBERTA","T6L5W9","CA","35","780-473-7373","<MISSING>","53.481105","-113.394749","MON , TUE , WED , THU 11:00 AM -12:05 AM SUN 11:00 AM -10:00 PM FRI , SAT 11:00 AM -01:00 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-113.39723504910974&lat=53.30868331484586"
"https://www.pizza73.com/Pizza73/","<MISSING>","4355 50 ST NW","EDMONTON","ALBERTA","T6L7E8","CA","52","780-473-7373","<MISSING>","53.482","-113.416","MON , TUE , WED , THU 11:00 AM -12:05 AM SUN 11:00 AM -10:00 PM FRI , SAT 11:00 AM -01:00 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-113.39723504910974&lat=53.30868331484586"
"https://www.pizza73.com/Pizza73/","<MISSING>","5433 GATEWAY BLVD NW","EDMONTON","ALBERTA","T6H2H3","CA","56","780-473-7373","<MISSING>","53.492","-113.493","MON , TUE , WED , THU 11:00 AM -12:05 AM SUN 11:00 AM -10:00 PM FRI , SAT 11:00 AM -01:00 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-113.39723504910974&lat=53.30868331484586"
"https://www.pizza73.com/Pizza73/","<MISSING>","8106 82 AVE NW","EDMONTON","ALBERTA","T6C0Y4","CA","67","780-473-7373","<MISSING>","53.518","-113.452","MON , TUE , WED , THU 11:00 AM -12:05 AM SUN 11:00 AM -10:00 PM FRI , SAT 11:00 AM -01:00 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-113.39723504910974&lat=53.30868331484586"
"https://www.pizza73.com/Pizza73/","<MISSING>","10349 78 AVE NW","EDMONTON","ALBERTA","T6E6T3","CA","5","780-473-7373","<MISSING>","53.514","-113.497","MON , TUE , WED , THU 11:00 AM -12:05 AM SUN 11:00 AM -10:00 PM FRI , SAT 11:00 AM -01:00 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-113.39723504910974&lat=53.30868331484586"
"https://www.pizza73.com/Pizza73/","<MISSING>","664 WYE RD","SHERWOOD PARK","ALBERTA","T8A6G3","CA","50","780-473-7373","<MISSING>","53.512","-113.273","MON , TUE , WED 04:00 PM -12:05 AM SUN 11:00 AM -10:00 PM THU 11:00 AM -12:05 AM FRI , SAT 11:00 AM -01:00 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-113.39723504910974&lat=53.30868331484586"
"https://www.pizza73.com/Pizza73/","<MISSING>","1080 STRATHCONA DR","SHERWOOD PARK","ALBERTA","T8A0Z7","CA","9","780-473-7373","<MISSING>","53.525","-113.322","MON , TUE , WED 04:00 PM -12:05 AM SUN 11:00 AM -10:00 PM THU 11:00 AM -12:05 AM FRI , SAT 11:00 AM -01:00 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-113.39723504910974&lat=53.30868331484586"
"https://www.pizza73.com/Pizza73/","<MISSING>","200 Ranch Market","STRATHMORE","ALBERTA","T1P0A8","CA","94","780-473-7373","<MISSING>","51.0397358","-113.3843164","MON , TUE , WED , THU 11:00 AM -12:05 AM SUN 11:00 AM -10:00 PM FRI , SAT 11:00 AM -01:00 AM ","https://www.pizza73.com/Pizza73/proxy.php?lng=-113.34195723109748&lat=51.057215626090255"
