"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.publix.com","Plant City Crossing","2515 Thonotosassa Rd","Plant City","FL","33563-1464","US","<MISSING>","(813) 719-6933","<MISSING>","28.02394","-82.150423","Store hours Sun 7:00 AM - 10:00 PM,Mon 7:00 AM - 10:00 PM,Tues 7:00 AM - 9:00 PM,Wed 7:00 AM - 7:00 PM,Thurs 7:00 AM - 10:00 PM,Fri 7:00 AM - 10:00 PM,Sat 7:00 AM - 10:00 PM, Pharmacy hours Sun 11:00 AM - 6:00 PM,Mon 9:00 AM - 9:00 PM,Tues 9:00 AM - 9:00 PM,Wed 9:00 AM - 7:00 PM,Thurs 9:00 AM - 9:00 PM,Fri 9:00 AM - 9:00 PM,Sat 9:00 AM - 7:00 PM","<MISSING>"
"https://www.publix.com","Golden Gate Shopping Center","255 E Van Fleet Dr","Bartow","FL","33830-3831","US","<MISSING>","(863) 534-1560","<MISSING>","27.902591","-81.84184","Store hours Sun 6:30 AM - 10:00 PM,Mon 6:30 AM - 10:00 PM,Tues 6:30 AM - 9:00 PM,Wed 6:30 AM - 7:00 PM,Thurs 6:30 AM - 10:00 PM,Fri 6:30 AM - 10:00 PM,Sat 6:30 AM - 10:00 PM, Pharmacy hours Sun 11:00 AM - 6:00 PM,Mon 9:00 AM - 9:00 PM,Tues 9:00 AM - 9:00 PM,Wed 9:00 AM - 7:00 PM,Thurs 9:00 AM - 9:00 PM,Fri 9:00 AM - 9:00 PM,Sat 9:00 AM - 7:00 PM","<MISSING>"
"https://www.publix.com","Spirit Lake Crossing","1090 Spirit Lake Rd","Winter Haven","FL","33880-1226","US","<MISSING>","(863) 293-3804","<MISSING>","28.005638","-81.776715","Store hours Sun 7:00 AM - 9:00 PM,Mon 7:00 AM - 9:00 PM,Tues 7:00 AM - 9:00 PM,Wed 7:00 AM - 7:00 PM,Thurs 7:00 AM - 9:00 PM,Fri 7:00 AM - 9:00 PM,Sat 7:00 AM - 9:00 PM, Pharmacy hours Sun 11:00 AM - 6:00 PM,Mon 9:00 AM - 9:00 PM,Tues 9:00 AM - 9:00 PM,Wed 9:00 AM - 7:00 PM,Thurs 9:00 AM - 9:00 PM,Fri 9:00 AM - 9:00 PM,Sat 9:00 AM - 7:00 PM","<MISSING>"
"https://www.publix.com","Publix at Walden Woods","2202 James L Redman Pkwy","Plant City","FL","33563-7107","US","<MISSING>","(813) 752-2672","<MISSING>","27.990914","-82.119898","Store hours Sun 7:00 AM - 10:00 PM,Mon 7:00 AM - 10:00 PM,Tues 7:00 AM - 9:00 PM,Wed 7:00 AM - 7:00 PM,Thurs 7:00 AM - 10:00 PM,Fri 7:00 AM - 10:00 PM,Sat 7:00 AM - 10:00 PM, Pharmacy hours Sun 11:00 AM - 6:00 PM,Mon 9:00 AM - 9:00 PM,Tues 9:00 AM - 9:00 PM,Wed 9:00 AM - 7:00 PM,Thurs 9:00 AM - 9:00 PM,Fri 9:00 AM - 9:00 PM,Sat 9:00 AM - 7:00 PM","<MISSING>"
"https://www.publix.com","Publix at Auburndale","606 Havendale Blvd","Auburndale","FL","33823-4687","US","<MISSING>","(863) 551-9766","<MISSING>","28.051982","-81.774971","Store hours Sun 7:00 AM - 10:00 PM,Mon 7:00 AM - 10:00 PM,Tues 7:00 AM - 9:00 PM,Wed 7:00 AM - 7:00 PM,Thurs 7:00 AM - 10:00 PM,Fri 7:00 AM - 10:00 PM,Sat 7:00 AM - 10:00 PM, Pharmacy hours Sun 11:00 AM - 6:00 PM,Mon 9:00 AM - 9:00 PM,Tues 9:00 AM - 9:00 PM,Wed 9:00 AM - 7:00 PM,Thurs 9:00 AM - 9:00 PM,Fri 9:00 AM - 9:00 PM,Sat 9:00 AM - 7:00 PM","<MISSING>"
"https://www.publix.com","Imperial Lakes Plaza","2040 Shepherd Rd","Mulberry","FL","33860-8699","US","<MISSING>","(863) 644-4166","<MISSING>","27.936729","-81.98812","Store hours Sun 7:00 AM - 10:00 PM,Mon 7:00 AM - 10:00 PM,Tues 7:00 AM - 9:00 PM,Wed 7:00 AM - 7:00 PM,Thurs 7:00 AM - 10:00 PM,Fri 7:00 AM - 10:00 PM,Sat 7:00 AM - 10:00 PM, Pharmacy hours Sun 11:00 AM - 6:00 PM,Mon 9:00 AM - 9:00 PM,Tues 9:00 AM - 9:00 PM,Wed 9:00 AM - 7:00 PM,Thurs 9:00 AM - 9:00 PM,Fri 9:00 AM - 9:00 PM,Sat 9:00 AM - 7:00 PM","<MISSING>"
"https://www.publix.com","Publix in the Highlands","2125 E County Road 540a","Lakeland","FL","33813-3794","US","<MISSING>","(863) 607-4522","<MISSING>","27.951811","-81.924997","Store hours Sun 7:00 AM - 10:00 PM,Mon 7:00 AM - 10:00 PM,Tues 7:00 AM - 9:00 PM,Wed 7:00 AM - 7:00 PM,Thurs 7:00 AM - 10:00 PM,Fri 7:00 AM - 10:00 PM,Sat 7:00 AM - 10:00 PM, Pharmacy hours Sun 11:00 AM - 6:00 PM,Mon 9:00 AM - 9:00 PM,Tues 9:00 AM - 9:00 PM,Wed 9:00 AM - 7:00 PM,Thurs 9:00 AM - 9:00 PM,Fri 9:00 AM - 9:00 PM,Sat 9:00 AM - 7:00 PM","<MISSING>"
"https://www.publix.com","Highland City Town Center","5185 US Highway 98 S","Lakeland","FL","33812","US","<MISSING>","(863) 644-0386","<MISSING>","27.969755","-81.88345","Store hours Sun 7:00 AM - 10:00 PM,Mon 7:00 AM - 10:00 PM,Tues 7:00 AM - 9:00 PM,Wed 7:00 AM - 7:00 PM,Thurs 7:00 AM - 10:00 PM,Fri 7:00 AM - 10:00 PM,Sat 7:00 AM - 10:00 PM, Pharmacy hours Sun 11:00 AM - 6:00 PM,Mon 9:00 AM - 9:00 PM,Tues 9:00 AM - 9:00 PM,Wed 9:00 AM - 7:00 PM,Thurs 9:00 AM - 9:00 PM,Fri 9:00 AM - 9:00 PM,Sat 9:00 AM - 7:00 PM","<MISSING>"
"https://www.publix.com","Lake Gibson Shopping Center","6767 US Highway 98 N","Lakeland","FL","33809-6226","US","<MISSING>","(863) 858-6861","<MISSING>","28.129311","-81.972069","Store hours Sun 7:00 AM - 10:00 PM,Mon 7:00 AM - 10:00 PM,Tues 7:00 AM - 9:00 PM,Wed 7:00 AM - 7:00 PM,Thurs 7:00 AM - 10:00 PM,Fri 7:00 AM - 10:00 PM,Sat 7:00 AM - 10:00 PM, Pharmacy hours Sun 11:00 AM - 6:00 PM,Mon 9:00 AM - 9:00 PM,Tues 9:00 AM - 9:00 PM,Wed 9:00 AM - 7:00 PM,Thurs 9:00 AM - 9:00 PM,Fri 9:00 AM - 9:00 PM,Sat 9:00 AM - 7:00 PM","<MISSING>"
"https://www.publix.com","Lake Miriam Square","4730 S Florida Ave","Lakeland","FL","33813-2181","US","<MISSING>","(863) 646-8537","<MISSING>","27.978389","-81.955941","Store hours Sun 7:00 AM - 10:00 PM,Mon 7:00 AM - 10:00 PM,Tues 7:00 AM - 9:00 PM,Wed 7:00 AM - 7:00 PM,Thurs 7:00 AM - 10:00 PM,Fri 7:00 AM - 10:00 PM,Sat 7:00 AM - 10:00 PM, Pharmacy hours Sun 11:00 AM - 6:00 PM,Mon 9:00 AM - 9:00 PM,Tues 9:00 AM - 9:00 PM,Wed 9:00 AM - 7:00 PM,Thurs 9:00 AM - 9:00 PM,Fri 9:00 AM - 9:00 PM,Sat 9:00 AM - 7:00 PM","<MISSING>"
"https://www.publix.com","Plantation Square","5375 N Socrum Loop Rd","Lakeland","FL","33809","US","<MISSING>","<MISSING>","<MISSING>","28.111901","-81.945081","Store hours Sun 7:00 AM - 10:00 PM,Mon 7:00 AM - 10:00 PM,Tues 7:00 AM - 9:00 PM,Wed 7:00 AM - 7:00 PM,Thurs 7:00 AM - 10:00 PM,Fri 7:00 AM - 10:00 PM,Sat 7:00 AM - 10:00 PM, Pharmacy hours -","<MISSING>"
