"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.rosesdiscountstores.com/#bargaintown","Bills","119 W Main St","Homer","Louisiana","71040","US","<MISSING>","(318) 927-6331","Bills","32.792061","-93.054581","Monday : 09 AM - 06 PM, Tueday : 09 AM - 06 PM, Wednesday : 09 AM - 06 PM, Thurseday : 09 AM - 06 PM, Friday : 09 AM - 06 PM, Saturday : 09 AM - 06 PM, Sunday : 12 AM - 06 PM","https://www.rosesdiscountstores.com/store-locator-index"
"https://www.rosesdiscountstores.com/#bargaintown","Roses Express","1311 N Hazel St","Arcadia","Louisiana","71001","US","<MISSING>","(318) 536-8841","Roses Express","32.548214","-92.920891","Monday : 09 AM - 09 PM, Tueday : 09 AM - 09 PM, Wednesday : 09 AM - 09 PM, Thurseday : 09 AM - 09 PM, Friday : 09 AM - 09 PM, Saturday : 09 AM - 09 PM, Sunday : 10 AM - 08 PM","https://www.rosesdiscountstores.com/store-locator-index"
"https://www.rosesdiscountstores.com/#bargaintown","Super 10","1345 Main St","Tunica","Mississippi","38676","US","<MISSING>","(662) 357-0980","Super 10","34.68985","-90.3834","Monday : 09 AM - 06 PM, Tueday : 09 AM - 06 PM, Wednesday : 09 AM - 06 PM, Thurseday : 09 AM - 06 PM, Friday : 09 AM - 06 PM, Saturday : 09 AM - 06 PM, Sunday : closed","https://www.rosesdiscountstores.com/store-locator-index"
"https://www.rosesdiscountstores.com/#bargaintown","Roses","1833 S 3rd St","Memphis","Tennessee","38109","US","<MISSING>","(901) 775-9319","Roses","35.097332","-90.057831","Monday : 09 AM - 09 PM, Tueday : 09 AM - 09 PM, Wednesday : 09 AM - 09 PM, Thurseday : 09 AM - 09 PM, Friday : 09 AM - 09 PM, Saturday : 09 AM - 09 PM, Sunday : 10 AM - 08 PM","https://www.rosesdiscountstores.com/store-locator-index"
"https://www.rosesdiscountstores.com/#bargaintown","Maxway","5024 Cut-Off Rd","Coushatta","Louisiana","71019","US","<MISSING>","(318) 932-6243","Maxway","32.0149","-93.342102","Monday : 09 AM - 09 PM, Tueday : 09 AM - 09 PM, Wednesday : 09 AM - 09 PM, Thurseday : 09 AM - 09 PM, Friday : 09 AM - 09 PM, Saturday : 09 AM - 09 PM, Sunday : 10 AM - 08 PM","https://www.rosesdiscountstores.com/store-locator-index"
"https://www.rosesdiscountstores.com/#bargaintown","Roses","4075 Elvis Presley Blvd","Memphis","Tennessee","38116","US","<MISSING>","(901) 332-3635","Roses","35.037479","-90.027885","Monday : 09 AM - 09 PM, Tueday : 09 AM - 09 PM, Wednesday : 09 AM - 09 PM, Thurseday : 09 AM - 09 PM, Friday : 09 AM - 09 PM, Saturday : 09 AM - 09 PM, Sunday : 10 AM - 08 PM","https://www.rosesdiscountstores.com/store-locator-index"
"https://www.rosesdiscountstores.com/#bargaintown","Roses Express","638 S State St","Clarksdale","Mississippi","38614","US","<MISSING>","(662) 624-8678","Roses Express","34.19157","-90.572952","Monday : 09 AM - 09 PM, Tueday : 09 AM - 09 PM, Wednesday : 09 AM - 09 PM, Thurseday : 09 AM - 09 PM, Friday : 09 AM - 09 PM, Saturday : 09 AM - 09 PM, Sunday : 10 AM - 08 PM","https://www.rosesdiscountstores.com/store-locator-index"
"https://www.rosesdiscountstores.com/#bargaintown","Roses","6994 E Shelby Dr","Memphis","Tennessee","38125","US","<MISSING>","(901) 754-1604","Roses","35.020412","-89.829666","Monday : 09 AM - 09 PM, Tueday : 09 AM - 09 PM, Wednesday : 09 AM - 09 PM, Thurseday : 09 AM - 09 PM, Friday : 09 AM - 09 PM, Saturday : 09 AM - 09 PM, Sunday : 10 AM - 08 PM","https://www.rosesdiscountstores.com/store-locator-index"
"https://www.rosesdiscountstores.com/#bargaintown","Super 10","612 Washington Ave","Greenville","Mississippi","38701","US","<MISSING>","(662) 335-9369","Super 10","33.400101","-91.055099","Monday : 09 AM - 06 PM, Tueday : 09 AM - 06 PM, Wednesday : 09 AM - 06 PM, Thurseday : 09 AM - 06 PM, Friday : 09 AM - 06 PM, Saturday : 09 AM - 06 PM, Sunday : closed","https://www.rosesdiscountstores.com/store-locator-index"
"https://www.rosesdiscountstores.com/#bargaintown","Roses","E St","Lamont","Mississippi","38703","US","<MISSING>","(662) 430-2161","Roses","33.407284","-91.038971","Monday : 09 AM - 09 PM, Tueday : 09 AM - 09 PM, Wednesday : 09 AM - 09 PM, Thurseday : 09 AM - 09 PM, Friday : 09 AM - 09 PM, Saturday : 09 AM - 09 PM, Sunday : 10 AM - 08 PM","https://www.rosesdiscountstores.com/store-locator-index"
