"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://secondcup.com","Innes Rd & Belcourt Dr","3838 Innes Road","Orleans","ON","K1W 0C8","CA","<MISSING>","613-837-7878","Cafe","<MISSING>","<MISSING>","Monday 6:00 am 09:00 pm Tuesday 6:00 am 09:00 pm Wednesday 6:00 am 09:00 pm Thursday 6:00 am 09:00 pm Friday 6:00 am 09:00 pm Saturday 6:00 am 09:00 pm Sunday 6:00 am 09:00 pm","https://secondcup.com/location/innes-rd-belcourt-dr"
"https://secondcup.com","10th Line","1779, 10th Line Road, Unit 5","Orleans","ON","K1E 3X2","CA","<MISSING>","613-830-9660","Cafe","<MISSING>","<MISSING>","Monday 6:00 am 10:00 pm Tuesday 6:00 am 10:00 pm Wednesday 6:00 am 10:00 pm Thursday 6:00 am 10:00 pm Friday 6:00 am 10:00 pm Saturday 7:30 am 09:00 pm Sunday 7:30 am 08:00 pm","https://secondcup.com/location/10th-line"
"https://secondcup.com","Place D'Orleans","110 Place D'Orleans Dr.","Ottawa","ON","K1C 2L9","CA","<MISSING>","613- 824-1925","Cafe","<MISSING>","<MISSING>","Monday 11:00 am 07:00 pm Tuesday 11:00 am 07:00 pm Wednesday 11:00 am 07:00 pm Thursday 11:00 am 07:00 pm Friday 11:00 am 07:00 pm Saturday 10:00 am 06:00 pm Sunday 11:00 am 05:00 pm","https://secondcup.com/location/place-dorleans"
"https://secondcup.com","St. Laurent Shopping Mall","1200 St. Laurent Blvd.,  K7 (Kiosk)","Ottawa","ON","K1K 3B8","CA","<MISSING>","613-745-9651","Cafe","<MISSING>","<MISSING>","Monday 7:00 am 09:00 pm Tuesday 7:00 am 09:00 pm Wednesday 7:00 am 09:00 pm Thursday 7:00 am 09:00 pm Friday 7:00 am 09:00 pm Saturday 8:00 am 09:00 pm Sunday 10:30 am 05:00 pm","https://secondcup.com/location/st-laurent-shopping-mall"
"https://secondcup.com","Ottawa Esso","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CA","<MISSING>","613-562-4512","Cafe","<MISSING>","<MISSING>","Monday 6:00 am 09:30 pm Tuesday 6:00 am 09:30 pm Wednesday 6:00 am 09:30 pm Thursday 6:00 am 09:30 pm Friday 6:00 am 09:30 pm Saturday 6:00 am 09:30 pm Sunday 7:00 am 09:00 pm","https://secondcup.com/location/ottawa-esso"
"https://secondcup.com","1351 Ste Catherine St. East","1351 Ste Catherine St. E.","Montreal","QC","H2L 2H7","CA","<MISSING>","514-524-4004","Cafe","<MISSING>","<MISSING>","Monday 6:30 am 11:00 pm Tuesday 6:30 am 11:00 pm Wednesday 6:30 am 11:00 pm Thursday 6:30 am 11:00 pm Friday 6:30 am 11:00 pm Saturday 7:00 am 12:00 am Sunday 7:00 am 12:00 am","https://secondcup.com/location/1351-ste-catherine-st-east"
"https://secondcup.com","1551 St Denis","1551 St. Denis","Montreal","QC","H2X 3K3","CA","<MISSING>","514-843-7264","Cafe","<MISSING>","<MISSING>","Monday 6:00 am 12:00 am Tuesday 6:00 am 12:00 am Wednesday 6:00 am 12:00 am Thursday 6:00 am 12:00 am Friday 6:00 am 12:30 am Saturday 6:00 am 12:30 am Sunday 7:00 am 12:00 am","https://secondcup.com/location/1551-st-denis"
"https://secondcup.com","Central Station","895 La Gauchetiere Ouest","Montreal","QC","H3B 4G1","CA","<MISSING>","438-387-6387","Cafe","<MISSING>","<MISSING>","Monday 5:30 am 11:00 pm Tuesday 5:30 am 11:00 pm Wednesday 5:30 am 11:00 pm Thursday 5:30 am 11:00 pm Friday 5:30 am 11:00 pm Saturday 6:30 am 08:00 pm Sunday 6:30 am 08:00 pm","https://secondcup.com/location/central-station"
"https://secondcup.com","Phillips Square","1235 Phillips Square","Montreal","QC","H3B 3E9","CA","<MISSING>","514-842-4040","Cafe","<MISSING>","<MISSING>","Monday 6:30 am 10:00 pm Tuesday 6:30 am 10:00 pm Wednesday 6:30 am 11:00 pm Thursday 6:30 am 11:00 pm Friday 6:30 am 11:00 am Saturday 6:30 am 11:00 am Sunday 7:30 am 10:00 pm","https://secondcup.com/location/phillips-square"
"https://secondcup.com","Nun's Island","7 Place du Commerce, Unit 101","Montreal","QC","H3E 2B5","CA","<MISSING>","514-769-2992","Cafe","<MISSING>","<MISSING>","Monday 6:00 am 11:00 pm Tuesday 6:00 am 11:00 pm Wednesday 6:00 am 11:00 pm Thursday 6:00 am 11:00 pm Friday 6:00 am 11:00 pm Saturday 7:00 am 11:00 pm Sunday 7:00 am 11:00 pm","https://secondcup.com/location/nuns-island"
