locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation,page_url
https://www.steward.org/,Fetal Diagnostic Center,1537 South Higley Road,Gilbert,AZ,85296,US,<MISSING>,(480) 257-2699,<MISSING>,33.3227024,-111.720465, Monday 8:00 AM - 5:00 PM Tuesday 8:00 AM - 5:00 PM Wednesday 8:00 AM - 5:00 PM Thursday 8:00 AM - 5:00 PM Friday 8:00 AM - 5:00 PM Saturday Closed Sunday Closed,https://locations.steward.org/az/gilbert/1537-south-higley-road-12220839.html
https://www.steward.org/,Desert Grove Family Medical,5656 South Power Road,Gilbert,AZ,85295,US,<MISSING>,(480) 834-7546,<MISSING>,33.313811,-111.687364, Monday 8:00 AM - 4:30 PM Tuesday 8:00 AM - 4:30 PM Wednesday 8:00 AM - 4:30 PM Thursday 8:00 AM - 4:30 PM Friday 7:30 AM - 3:30 PM Saturday Closed Sunday Closed,https://locations.steward.org/az/gilbert/5656-south-power-road.html
https://www.steward.org/,Steward Orthopedic & Sports Medicine Center,10238 E Hampton Avenue,Mesa,AZ,85208,US,<MISSING>,(602) 553-3113,<MISSING>,33.3910041,-111.6099141, Monday 8:00 AM - 5:00 PM Tuesday 8:00 AM - 5:00 PM Wednesday 8:00 AM - 5:00 PM Thursday 8:00 AM - 5:00 PM Friday 8:00 AM - 5:00 PM Saturday Closed Sunday Closed,https://locations.steward.org/az/mesa/10238-e-hampton-avenue-9095405.html
https://www.steward.org/,SMG Women's Health Associates,10238 E. Hampton Ave.,Mesa,AZ,85208,US,<MISSING>,(480) 632-2004,<MISSING>,33.39090802,-111.6099129, Monday 8:00 AM - 5:00 PM Tuesday 8:00 AM - 5:00 PM Wednesday 8:00 AM - 5:00 PM Thursday 8:00 AM - 5:00 PM Friday 8:00 AM - 5:00 PM Saturday Closed Sunday Closed,https://locations.steward.org/az/mesa/10238-e--hampton-ave.html
https://www.steward.org/,Desert Grove Family Medical,10238 East Hampton Avenue,Mesa,AZ,85209,US,<MISSING>,(480) 834-7546,<MISSING>,33.39097041,-111.6099386, Monday 8:00 AM - 4:30 PM Tuesday 8:00 AM - 4:30 PM Wednesday 8:00 AM - 4:30 PM Thursday 8:00 AM - 4:30 PM Friday 7:30 AM - 3:30 PM Saturday Closed Sunday Closed,https://locations.steward.org/az/mesa/10238-east-hampton-avenue.html
https://www.steward.org/,Desert Grove Family Medical,1855 North Stapley Drive,Mesa,AZ,85203,US,<MISSING>,(480) 834-7546,<MISSING>,33.4490279,-111.8046403, Monday 8:00 AM - 4:30 PM Tuesday 8:00 AM - 4:30 PM Wednesday 8:00 AM - 4:30 PM Thursday 8:00 AM - 4:30 PM Friday 7:30 AM - 3:30 PM Saturday Closed Sunday Closed,https://locations.steward.org/az/mesa/1855-north-stapley-drive.html
https://www.steward.org/,SMG Women's Health Associates,455 East 6th Street,Mesa,AZ,85203,US,<MISSING>,(480) 844-4702,<MISSING>,33.42569404,-111.8207271, Monday 8:00 AM - 5:00 PM Tuesday 8:00 AM - 5:00 PM Wednesday 8:00 AM - 5:00 PM Thursday 8:00 AM - 5:00 PM Friday 8:00 AM - 5:00 PM Saturday Closed Sunday Closed,https://locations.steward.org/az/mesa/455-east-6th-street.html
https://www.steward.org/,Steward Podiatry Specialists,2122 East Highland Avenue,Phoenix,AZ,85016,US,<MISSING>,(480) 505-0755,<MISSING>,33.5059502,-112.0356217, Monday 8:00 AM - 5:00 PM Tuesday 8:00 AM - 5:00 PM Wednesday 8:00 AM - 5:00 PM Thursday 8:00 AM - 5:00 PM Friday 8:00 AM - 5:00 PM Saturday Closed Sunday Closed,https://locations.steward.org/az/phoenix/2122-east-highland-avenue-12220848.html
https://www.steward.org/,Phoenix Heart Center,555 N. 18th St.,Phoenix,AZ,85006,US,<MISSING>,(602) 234-0004,<MISSING>,33.455098,-112.0432739, Monday 8:00 AM - 5:00 PM Tuesday 8:00 AM - 5:00 PM Wednesday 8:00 AM - 5:00 PM Thursday 8:00 AM - 5:00 PM Friday 8:00 AM - 5:00 PM Saturday Closed Sunday Closed,https://locations.steward.org/az/phoenix/555-n--18th-st.html
https://www.steward.org/,Steward Surgical Specialists,555 North 18th Street,Phoenix,AZ,85006,US,<MISSING>,(602) 251-8828,<MISSING>,33.45509043,-112.0433011, Monday 8:00 AM - 5:00 PM Tuesday 8:00 AM - 5:00 PM Wednesday 8:00 AM - 5:00 PM Thursday 8:00 AM - 5:00 PM Friday 8:00 AM - 5:00 PM Saturday Closed Sunday Closed,https://locations.steward.org/az/phoenix/555-north-18th-street.html
