"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.subway.com","<MISSING>","1196 S Broadway","Williams Lake","BC","V2G 1A2","CA","21658","250-398-7800","<MISSING>","52.126","-122.1225","Sunday 8:00 AM - 9:00 PM Monday 7:00 AM - 10:00 PM Tuesday 7:00 AM - 10:00 PM Wednesday 7:00 AM - 10:00 PM Thursday 7:00 AM - 10:00 PM Friday 7:00 AM - 10:00 PM Saturday 8:00 AM - 9:00 PM","https://order.subway.com/en-CA/restaurant/21658"
"https://www.subway.com","<MISSING>","1185 Prosperity Way Prosperity Ridge S/C","Williams Lake","BC","V6E 2Y3","CA","10081","250-398-7821","<MISSING>","52.1292","-122.139","Sunday 8:00 AM - 9:00 PM Monday 8:00 AM - 9:00 PM Tuesday 8:00 AM - 9:00 PM Wednesday 8:00 AM - 9:00 PM Thursday 8:00 AM - 9:00 PM Friday 8:00 AM - 10:00 PM Saturday 8:00 AM - 9:00 PM","https://order.subway.com/en-CA/restaurant/10081"
"https://www.subway.com","<MISSING>","481 Alder Street","100 Mile House","BC","V0K 2E0","CA","13809","250-395-3304","<MISSING>","51.6404","-121.2972","Sunday 9:00 AM - 8:00 PM Monday 8:00 AM - 8:00 PM Tuesday 8:00 AM - 8:00 PM Wednesday 8:00 AM - 8:00 PM Thursday 8:00 AM - 8:00 PM Friday 7:00 AM - 9:00 PM Saturday 8:00 AM - 8:00 PM","https://order.subway.com/en-CA/restaurant/13809"
"https://www.subway.com","<MISSING>","775 Rita Road Unit #200","Quesnel","BC","V2J 0C2","CA","59806","778-466-2151","<MISSING>","52.9637","-122.4418","Sunday 8:00 AM - 10:00 PM Monday 7:00 AM - 10:00 PM Tuesday 7:00 AM - 10:00 PM Wednesday 7:00 AM - 10:00 PM Thursday 7:00 AM - 10:00 PM Friday 7:00 AM - 11:00 PM Saturday 8:00 AM - 10:00 PM","https://order.subway.com/en-CA/restaurant/59806"
"https://www.subway.com","<MISSING>","464 Reid St","Quesnel","BC","V2J 2M6","CA","13810","250-992-6232","<MISSING>","52.9801","-122.4967","Sunday 8:00 AM - 11:00 PM Monday 6:00 AM - 12:00 AM Tuesday 6:00 AM - 12:00 AM Wednesday 6:00 AM - 12:00 AM Thursday 6:00 AM - 12:00 AM Friday 6:00 AM - 1:00 AM Saturday 7:00 AM - 1:00 AM","https://order.subway.com/en-CA/restaurant/13810"
"https://www.subway.com","<MISSING>","1209 Hwy 97 Motel/Subway","Cache Creek","BC","V0K 1H0","CA","20760","250-457-9788","<MISSING>","50.8095","-121.3249","Sunday 9:00 AM - 7:00 PM Monday 9:00 AM - 7:00 PM Tuesday 9:00 AM - 7:00 PM Wednesday 9:00 AM - 7:00 PM Thursday 9:00 AM - 7:00 PM Friday 9:00 AM - 7:00 PM Saturday 9:00 AM - 7:00 PM","https://order.subway.com/en-CA/restaurant/20760"
"https://www.subway.com","<MISSING>","55 Moha Rd","Lillooet","BC","V0K 1V0","CA","18811","250-256-7807","<MISSING>","50.7079","-121.9254","Sunday 8:00 AM - 9:00 PM Monday 7:00 AM - 9:00 PM Tuesday 7:00 AM - 9:00 PM Wednesday 7:00 AM - 9:00 PM Thursday 7:00 AM - 9:00 PM Friday 7:00 AM - 10:00 PM Saturday 7:00 AM - 9:00 PM","https://order.subway.com/en-CA/restaurant/18811"
"https://www.subway.com","<MISSING>","Hwy #5 Little Fort General Store","Little Fort","BC","V0E 2C0","CA","23722","250-677-4441","<MISSING>","51.4112","-120.2111","Sunday 8:00 AM - 8:00 PM Monday 7:00 AM - 8:00 PM Tuesday 7:00 AM - 8:00 PM Wednesday 7:00 AM - 8:00 PM Thursday 7:00 AM - 8:00 PM Friday 7:00 AM - 8:00 PM Saturday 8:00 AM - 8:00 PM","https://order.subway.com/en-CA/restaurant/23722"
"https://www.subway.com","<MISSING>","397 Russell Street Esso Gas Station/C-Store","Barriere","BC","V0E 1EO","CA","58675","250-672-5533","<MISSING>","51.16","-120.1221","Sunday 7:00 AM - 10:00 PM Monday 7:00 AM - 11:00 PM Tuesday 7:00 AM - 11:00 PM Wednesday 7:00 AM - 11:00 PM Thursday 7:00 AM - 11:00 PM Friday 7:00 AM - 11:00 PM Saturday 8:00 AM - 10:00 PM","https://order.subway.com/en-CA/restaurant/58675"
"https://www.subway.com","<MISSING>","#1, 740 Fortune Drive","Kamloops","BC","V2B 2L1","CA","51690","250-376-1415","<MISSING>","50.698","-120.3579","Sunday 8:00 AM - 11:00 PM Monday 7:00 AM - 11:00 PM Tuesday 7:00 AM - 11:00 PM Wednesday 7:00 AM - 11:00 PM Thursday 7:00 AM - 11:00 PM Friday 7:00 AM - 11:00 PM Saturday 7:00 AM - 11:00 PM","https://order.subway.com/en-CA/restaurant/51690"
"https://www.subway.com","<MISSING>","655 Tranquille Rd","Kamloops","BC","V2B 3H7","CA","6589","250-376-1005","<MISSING>","50.696","-120.3605","Sunday 9:00 AM - 8:00 PM Monday 7:00 AM - 10:00 PM Tuesday 7:00 AM - 10:00 PM Wednesday 7:00 AM - 10:00 PM Thursday 7:00 AM - 10:00 PM Friday 7:00 AM - 10:00 PM Saturday 8:00 AM - 9:00 PM","https://order.subway.com/en-CA/restaurant/6589"
"https://www.subway.com","<MISSING>","1203 A Summit Dr","Kamloops","BC","V2C 6C5","CA","7764","250-374-7821","<MISSING>","50.6674","-120.3524","Sunday 8:00 AM - 11:00 PM Monday 7:00 AM - 12:00 AM Tuesday 7:00 AM - 12:00 AM Wednesday 7:00 AM - 12:00 AM Thursday 7:00 AM - 12:00 AM Friday 7:00 AM - 12:00 AM Saturday 7:00 AM - 12:00 AM","https://order.subway.com/en-CA/restaurant/7764"
"https://www.subway.com","<MISSING>","1150 Hillside Dr Unit 103","Kamloops","BC","V2E 2N1","CA","38503","250-374-3732","<MISSING>","50.6576","-120.3703","Sunday 9:00 AM - 9:00 PM Monday 7:00 AM - 9:00 PM Tuesday 7:00 AM - 10:00 PM Wednesday 7:00 AM - 10:00 PM Thursday 7:00 AM - 10:00 PM Friday 7:00 AM - 10:00 PM Saturday 8:00 AM - 10:00 PM","https://order.subway.com/en-CA/restaurant/38503"
"https://www.subway.com","<MISSING>","316 Victoria St","Kamloops","BC","V2C 2A5","CA","15704","250-828-1158","<MISSING>","50.6758","-120.3337","Sunday 10:00 AM - 5:00 PM Monday 9:00 AM - 8:00 PM Tuesday 9:00 AM - 8:00 PM Wednesday 9:00 AM - 8:00 PM Thursday 9:00 AM - 8:00 PM Friday 9:00 AM - 8:00 PM Saturday 9:00 AM - 8:00 PM","https://order.subway.com/en-CA/restaurant/15704"
"https://www.subway.com","<MISSING>","111 Oriole Rd Unit #12","Kamloops","BC","V2C 4N6","CA","13151","250-372-8558","<MISSING>","50.6802","-120.2718","Sunday 9:00 AM - 9:00 PM Monday 7:00 AM - 9:00 PM Tuesday 7:00 AM - 10:00 PM Wednesday 7:00 AM - 10:00 PM Thursday 7:00 AM - 10:00 PM Friday 7:00 AM - 10:00 PM Saturday 8:00 AM - 10:00 PM","https://order.subway.com/en-CA/restaurant/13151"
"https://www.subway.com","<MISSING>","5172 Dallas Drive","Kamloops","BC","V2C 5W9","CA","54547","778-469-0213","<MISSING>","50.6682","-120.1865","Sunday 8:00 AM - 8:00 PM Monday 7:00 AM - 9:00 PM Tuesday 7:00 AM - 9:00 PM Wednesday 7:00 AM - 10:00 PM Thursday 7:00 AM - 10:00 PM Friday 7:00 AM - 10:00 PM Saturday 8:00 AM - 9:00 PM","https://order.subway.com/en-CA/restaurant/54547"
"https://www.subway.com","<MISSING>","6565 Southridge Ave Unit-C0005 Walmart Center","Prince George","BC","V2N 6Z4","CA","27447","250-964-9667","<MISSING>","53.8562","-122.7832","Sunday 8:00 AM - 8:00 PM Monday 8:00 AM - 8:00 PM Tuesday 8:00 AM - 8:00 PM Wednesday 8:00 AM - 8:00 PM Thursday 8:00 AM - 8:00 PM Friday 8:00 AM - 8:00 PM Saturday 8:00 AM - 8:00 PM","https://order.subway.com/en-CA/restaurant/27447"
"https://www.subway.com","<MISSING>","2324 Ferry Avenue Unit 103 River Point Shopping Ctr","Prince George","BC","V2N 5E8","CA","42367","250-562-4844","<MISSING>","53.8898","-122.7698","Sunday 8:00 AM - 8:00 PM Monday 8:00 AM - 8:00 PM Tuesday 8:00 AM - 8:00 PM Wednesday 8:00 AM - 8:00 PM Thursday 8:00 AM - 8:00 PM Friday 8:00 AM - 8:00 PM Saturday 8:00 AM - 8:00 PM","https://order.subway.com/en-CA/restaurant/42367"
"https://www.subway.com","<MISSING>","805 Cranberry Lake Rd Shell Gas/C-Store","Valemount","BC","V0E 2Z0","CA","66409","250-566-4050","<MISSING>","52.8308","-119.2786","Sunday 6:00 AM - 10:00 PM Monday 6:00 AM - 10:00 PM Tuesday 6:00 AM - 10:00 PM Wednesday 6:00 AM - 10:00 PM Thursday 6:00 AM - 10:00 PM Friday 6:00 AM - 10:00 PM Saturday 6:00 AM - 10:00 PM","https://order.subway.com/en-CA/restaurant/66409"
"https://www.subway.com","<MISSING>","3055 Massey Dr Unit FC06 Pine Centre","Prince George","BC","V2N 2S9","CA","22799","250-562-8378","<MISSING>","53.8997","-122.7776","Sunday 8:00 AM - 5:30 PM Monday 8:00 AM - 6:30 PM Tuesday 8:00 AM - 6:30 PM Wednesday 8:00 AM - 6:30 PM Thursday 8:00 AM - 8:00 PM Friday 8:00 AM - 8:00 PM Saturday 8:00 AM - 6:30 PM","https://order.subway.com/en-CA/restaurant/22799"
"https://www.subway.com","<MISSING>","2340 Westwood Dr","Prince George","BC","V2N 4H3","CA","31927","250-564-3882","<MISSING>","53.9013","-122.7816","Sunday 8:00 AM - 8:00 PM Monday 8:00 AM - 8:00 PM Tuesday 8:00 AM - 8:00 PM Wednesday 8:00 AM - 8:00 PM Thursday 8:00 AM - 8:00 PM Friday 8:00 AM - 8:00 PM Saturday 8:00 AM - 8:00 PM","https://order.subway.com/en-CA/restaurant/31927"
"https://www.subway.com","<MISSING>","1010 Victoria St","Prince George","BC","V2L 2L2","CA","5535","250-562-5628","<MISSING>","53.9127","-122.7527","Sunday 8:00 AM - 8:00 PM Monday 8:00 AM - 8:00 PM Tuesday 8:00 AM - 8:00 PM Wednesday 8:00 AM - 8:00 PM Thursday 8:00 AM - 8:00 PM Friday 8:00 AM - 8:00 PM Saturday 8:00 AM - 8:00 PM","https://order.subway.com/en-CA/restaurant/5535"
"https://www.subway.com","<MISSING>","3371 8th Ave","Prince George","BC","V2M 1N1","CA","7412","250-562-8388","<MISSING>","53.9176","-122.7822","Sunday 8:00 AM - 8:00 PM Monday 8:00 AM - 8:00 PM Tuesday 8:00 AM - 8:00 PM Wednesday 8:00 AM - 8:00 PM Thursday 8:00 AM - 8:00 PM Friday 8:00 AM - 8:00 PM Saturday 8:00 AM - 8:00 PM","https://order.subway.com/en-CA/restaurant/7412"
"https://www.subway.com","<MISSING>","305 Brooke Dr PO Box 303, Unit 1","Chase","BC","V0E 1M0","CA","15700","250-679-8888","<MISSING>","50.8128","-119.6916","Sunday 8:00 AM - 9:00 PM Monday 8:00 AM - 9:00 PM Tuesday 8:00 AM - 9:00 PM Wednesday 8:00 AM - 9:00 PM Thursday 8:00 AM - 9:00 PM Friday 8:00 AM - 9:00 PM Saturday 8:00 AM - 9:00 PM","https://order.subway.com/en-CA/restaurant/15700"
"https://www.subway.com","<MISSING>","4000 Whistler Way Unit 202","Whistler","BC","V0N 1B0","CA","11049","604-932-3244","<MISSING>","50.1158","-122.9572","Sunday 10:00 AM - 12:00 AM Monday 10:00 AM - 12:00 AM Tuesday 10:00 AM - 12:00 AM Wednesday 10:00 AM - 12:00 AM Thursday 10:00 AM - 12:00 AM Friday 10:00 AM - 12:00 AM Saturday 10:00 AM - 12:00 AM","https://order.subway.com/en-CA/restaurant/11049"
"https://www.subway.com","<MISSING>","6477 Hart Hwy","Prince George","BC","V2K 3A4","CA","7799","250-962-8788","<MISSING>","53.9883","-122.7847","Sunday 8:00 AM - 8:00 PM Monday 8:00 AM - 8:00 PM Tuesday 8:00 AM - 8:00 PM Wednesday 8:00 AM - 8:00 PM Thursday 8:00 AM - 8:00 PM Friday 8:00 AM - 8:00 PM Saturday 8:00 AM - 8:00 PM","https://order.subway.com/en-CA/restaurant/7799"
"https://www.subway.com","<MISSING>","2011 Innsbruck Drive Unit #104 Creekside Plaza","Whistler","BC","V0N 1B2","CA","31278","604-935-4044","<MISSING>","50.0944","-122.9898","Sunday 10:00 AM - 8:00 PM Monday 10:00 AM - 8:00 PM Tuesday 10:00 AM - 8:00 PM Wednesday 10:00 AM - 8:00 PM Thursday 10:00 AM - 8:00 PM Friday 10:00 AM - 8:00 PM Saturday 10:00 AM - 8:00 PM","https://order.subway.com/en-CA/restaurant/31278"
"https://www.subway.com","<MISSING>","1258 Trans Canada Hwy.","Sorrento","BC","V0E 2W0","CA","64305","778-490-5088","<MISSING>","50.8782","-119.415","Sunday 9:00 AM - 9:00 PM Monday 7:00 AM - 9:00 PM Tuesday 7:00 AM - 9:00 PM Wednesday 7:00 AM - 9:00 PM Thursday 7:00 AM - 9:00 PM Friday 7:00 AM - 9:00 PM Saturday 8:00 AM - 9:00 PM","https://order.subway.com/en-CA/restaurant/64305"
"https://www.subway.com","<MISSING>","3623 DeWolf Way Unit #2","Merritt","BC","V1K 1B8","CA","42712","250-315-0208","<MISSING>","50.1238","-120.7623","Sunday 9:00 AM - 9:00 PM Monday 8:00 AM - 9:00 PM Tuesday 8:00 AM - 9:00 PM Wednesday 8:00 AM - 9:00 PM Thursday 8:00 AM - 9:00 PM Friday 8:00 AM - 9:00 PM Saturday 9:00 AM - 9:00 PM","https://order.subway.com/en-CA/restaurant/42712"
"https://www.subway.com","<MISSING>","2190 A Voght St PO Box 1240","Merritt","BC","V1K 1B8","CA","14484","250-378-3646","<MISSING>","50.1124","-120.7876","Sunday 9:00 AM - 9:00 PM Monday 8:00 AM - 9:00 PM Tuesday 8:00 AM - 9:00 PM Wednesday 8:00 AM - 9:00 PM Thursday 8:00 AM - 9:00 PM Friday 8:00 AM - 9:00 PM Saturday 9:00 AM - 9:00 PM","https://order.subway.com/en-CA/restaurant/14484"
