"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.thesandwichspot.com/","Power Inn","5301 Power Inn Road","Sacramento","CA","95820","US","<MISSING>","(916) 387-8643","<MISSING>","38.5267364","-121.40855529999999","Monday - Friday 10-7 Saturday & Sunday 11-7","https://www.thesandwichspot.com/power-inn-road-menu"
"https://www.thesandwichspot.com/","Rosemont","9408 Kiefer Blvd","Sacramento","CA","95826","US","<MISSING>","(916) 368-7750","<MISSING>","38.5466037","-121.34853820000001","Monday-Friday 10-4 Saturday 11-4 Sunday Closed","https://www.thesandwichspot.com/kiefer-blvd"
"https://www.thesandwichspot.com/","Gateway Oaks","2606 Gateway Oaks Dr","Sacramento","CA","95833","US","<MISSING>","(916) 927-0188","<MISSING>","38.6131258","-121.51560860000001","Monday-Thursday 10-5 Friday 10-4 Saturday 11-4","https://www.thesandwichspot.com/gateway-oaks-menu"
"https://www.thesandwichspot.com/","Arden","3355 Arden Way","Sacramento","CA","95825","US","<MISSING>","(916) 621-3164","<MISSING>","38.5962589","-121.38519530000002","Monday-Friday 10:30-4 Saturday 11-4 Sunday Closed","https://www.thesandwichspot.com/arden-menu"
"https://www.thesandwichspot.com/","Roseville","1010 Pleasant Grove Blvd","Roseville","CA","95678","US","<MISSING>","(916) 787-1010","<MISSING>","38.778142","-121.2889983","Everyday 11-3","https://www.thesandwichspot.com/roseville-menu"
"https://www.thesandwichspot.com/","Sunrise","1971 Zinfandel Drive Ste.200","Rancho Cordova","CA","95670","US","<MISSING>","(916) 531-2216","<MISSING>","38.6134044","-121.27059789999998","Monday-Friday 10-8 Saturday 11-8 Sunday 11-4","https://www.thesandwichspot.com/rancho-cordova-sunrise-50-menu"
"https://www.thesandwichspot.com/","Delta Shore","8300 Delta Shore Circle","Delta Shore","CA","95832","US","<MISSING>","(916) 629-9171","<MISSING>","38.4640348","-121.49234360000003","Sunday-Thursday 11-7 Friday & Saturday 11-8","https://www.thesandwichspot.com/delta-shores-menu"
"https://www.thesandwichspot.com/","Rocklin","2110 Sunset Blvd #200","Rocklin","CA","95765","US","<MISSING>","(916) 259-4036","<MISSING>","<MISSING>","<MISSING>","Monday-Friday 10-8 Saturday 11-8 Sunday 11-4","https://www.thesandwichspot.com/rocklin-menu"
"https://www.thesandwichspot.com/","65th Street","1420 65th Street","Sacramento","CA","95819","US","<MISSING>","(916)400-4639","<MISSING>","38.5538789","-121.4281848","Monday-Friday 10-8 Saturday 10-8 Sunday 11-4","https://www.thesandwichspot.com/copy-of-landpark-menu"
"https://www.thesandwichspot.com/","Mather Field","3328 Mather Field Road","Rancho Cordova","CA","95670","US","<MISSING>","(916) 362-3321","<MISSING>","38.5741135","-121.30408499999999","Monday-Friday 10-4 Saturday 11-3:30 Sunday Closed","https://www.thesandwichspot.com/mather-field-menu"
"https://www.thesandwichspot.com/","Land Park","2108 11th Ave","Sacramento","CA","95818","US","<MISSING>","(916) 444-7187","<MISSING>","38.5433583","-121.49076539999999","Monday-Friday 10-8 Saturday 10-8 Sunday 10-6","https://www.thesandwichspot.com/copy-of-mountainview-menu"
"https://www.thesandwichspot.com/","Midtown","1630 18th St","Sacramento","CA","95811","US","<MISSING>","(916) 492-2613","<MISSING>","38.5698946","-121.48605789999999","Monday - Friday 10-7 Saturday & Sunday 11-5","https://www.thesandwichspot.com/midtown-menu"
"https://www.thesandwichspot.com/","Yuba City","1500 Butte House Road","Yuba City","CA","95993","US","<MISSING>","(530) 923-7747","<MISSING>","39.147224","-121.64190659999997","Monday-Friday 10-7 Saturday 11-5 Sunday 11-4","https://www.thesandwichspot.com/yuba-city-menu"
"https://www.thesandwichspot.com/","Elk Grove","7419 Laguna Blvd","Elk Grove","CA","95758","US","<MISSING>","(916) 683-3099","<MISSING>","38.424628","-121.41737840000002","7 Days a Week 10-8","https://www.thesandwichspot.com/elk-grove-laguna-blvd-menu"
"https://www.thesandwichspot.com/","Elsie","7500 Elsie Ave","Sacramento","CA","95758","US","<MISSING>","(916) 382-4221","<MISSING>","38.473816","-121.41615769999999","Monday-Saturday 10:30-4 Sunday Closed","https://www.thesandwichspot.com/elsie-menu"
"https://www.thesandwichspot.com/","Elk Grove East","9020 Elk Grove Blvd Ste 102","Elk Grove","CA","95624","US","<MISSING>","(916) 647-9822","<MISSING>","38.4087187","-121.36600090000002","Monday - Friday: 10-7 Saturday & Sunday: 11-4","https://www.thesandwichspot.com/east-elk-grove-menu"
"https://www.thesandwichspot.com/","San Carlos","1295 Laurel Street","San Carlos","CA","94070","US","<MISSING>","(650) 394-4770","<MISSING>","37.4978796","-122.25112630000001","Monday - Saturday: 6am - 4pm Sunday: 7am - 4pm","https://www.thesandwichspot.com/san-carlos-menu"
"https://www.thesandwichspot.com/","San Mateo","65 East 4th Avenue","San Mateo","CA","94401","US","<MISSING>","(650) 347-3301","<MISSING>","37.5634216","-122.32380949999998","Monday-Friday10-5 Saturday & Sunday 11-5","https://www.thesandwichspot.com/san-mateo-menu"
"https://www.thesandwichspot.com/","Redwood City","2420 Broadway Street","Redwood City","CA","94063","US","<MISSING>","(650) 299-1300","<MISSING>","37.486538","-122.23172870000002","Monday-Thursday 10-10 Friday & Saturday 10-11 Sunday 11-10","https://www.thesandwichspot.com/redwood-city-menu"
"https://www.thesandwichspot.com/","Santa Cruz","1010 Pacific Avenue","Santa Cruz","CA","95060","US","<MISSING>","(831) 854-7396","<MISSING>","36.9715003","-122.02498409999998","7 Days a Week 11-8","https://www.thesandwichspot.com/santa-cruz-menu"
"https://www.thesandwichspot.com/","Bascom","1258 S Bascom","San Jose","CA","95128","US","<MISSING>","(415) 899-8999","<MISSING>","37.3026539","-121.9310951","Monday-Friday 9-7 Saturday 9-5 Sunday 9-4","https://www.thesandwichspot.com/bascom-menu"
