"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.ufhealth.org","UF Health Dialysis Center","2409 SW Archer Road","Gainesville","FL","32608","US","<MISSING>","352-265-6890","Medicine","29.631947","-82.359949","Monday 6 a.m. - 5 p.m. Tuesday 6 a.m. - 5 p.m. Wednesday 6 a.m. - 5 p.m. Thursday 6 a.m. - 5 p.m. Friday 6 a.m. - 5 p.m. Saturday 6 a.m. - 5 p.m.","https://ufhealth.org/uf-health-dialysis-center"
"https://www.ufhealth.org","UF Health Internal Medicine  Tower Hill","7540 W. University Ave","Gainesville","FL","32607","US","<MISSING>","352-265-0335","Medicine","29.654195","-82.423865","Monday 8 a.m. - 5 p.m. Tuesday 8 a.m. - 5 p.m. Wednesday 8 a.m. - 5 p.m. Thursday 8 a.m. - 5 p.m. Friday 8 a.m. - 5 p.m.","https://ufhealth.org/uf-health-internal-medicine-tower-hill"
"https://www.ufhealth.org","UF Health Integrative Medicine  Springhill","4197 NW 86th Terrace","Gainesville","FL","32606","US","<MISSING>","352-265-(9355)","Medicine","29.692176","-82.434131","Monday 8 a.m. - 5 p.m. Tuesday 8 a.m. - 5 p.m. Consultations by appt.","https://ufhealth.org/uf-health-integrative-medicine-springhill"
"https://www.ufhealth.org","UF Health Sleep Center","4740 NW 39th Place","Gainesville","FL","32606","US","<MISSING>","352-265-5240","Medicine","29.681426","-82.415020","<MISSING>","https://ufhealth.org/uf-health-sleep-center"
"https://www.ufhealth.org","UF Health Diabetes Education and Nutrition","2000 SW Archer Rd.","Gainesville","FL","32610","US","<MISSING>","352-265-8548","Medicine","29.637644","-82.349342","Monday 8:00 a.m. - 4:00 p.m. Tuesday 8:00 a.m. - 4:00 p.m. Wednesday 8:00 a.m. - 4:00 p.m. Thursday 8:00 a.m. - 4:00 p.m. Friday 8:30 a.m. - 4:00 p.m.","https://ufhealth.org/uf-health-diabetes-education-and-nutrition"
"https://www.ufhealth.org","UF Health Endoscopy Center","2001 SW 13th Street","Gainesville","FL","32608","US","<MISSING>","(352) 627-4074","Medicine","29.633344","-82.338476","Monday 8:00 a.m. - 4:00 p.m. Tuesday 8:00 a.m. - 4:00 p.m. Wednesday 8:00 a.m. - 4:00 p.m. Thursday 8:00 a.m. - 4:00 p.m. Friday 8:00 a.m. - 4:00 p.m.","https://ufhealth.org/uf-health-endoscopy-center"
"https://www.ufhealth.org","Shands Endoscopy Suite","1515 SW Archer Road","Gainesville","FL","32608","US","<MISSING>","(352) 627-4074","Medicine","29.638744","-82.342135","Monday 8 a.m. - 5 p.m. Tuesday 8 a.m. - 5 p.m. Wednesday 8 a.m. - 5 p.m. Thursday 8 a.m. - 5 p.m. Friday 8 a.m. - 5 p.m.","https://ufhealth.org/shands-endoscopy-suite"
"https://www.ufhealth.org","GatorAdvantage NOW  (Same-day clinic)","2000 SW Archer Rd","Gainesville","FL","32608","US","<MISSING>","352-265- (1669)","Medicine","29.637760","-82.348953","<MISSING>","https://ufhealth.org/gatoradvantage-now-same-day-clinic"
"https://www.ufhealth.org","UF Health Senior Care at Oak Hammock","2660 SW 53rd Lane","Gainesville","FL","32608","US","<MISSING>","352-548-1100","Medicine","29.605135","-82.360707","Patients are seen on their scheduled appointments through Oak Hammock.","https://ufhealth.org/uf-health-senior-care-oak-hammock"
"https://www.ufhealth.org","UF Health Kidney Transplant  Orlando","9430 Turkey Lake Road","Orlando","FL","32819","US","<MISSING>","352-265-0254","Medicine","28.463509","-81.475140","Fridays 9 a.m. - 5 p.m.","https://ufhealth.org/uf-health-kidney-transplant-orlando"
