"page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","locator_domain","hours_of_operation","raw_address","record_id"
"https://www.massimodutti.com/webapp/wcs/stores/servlet/store-locator?city=almaty&street=247&aAction=store-locator&language=en&bamId=4853&storeId=34009456&langId=-1","MEGA","247, ROZYBAKIYEV","Almaty City","Almaty City","<MISSING>","KZ","4853","77-273449238","<MISSING>","43.20266","76.89306","https://www.massimodutti.com/","Sunday: 10:00-10:00; Monday: 10:00-10:00; Tuesday: 10:00-10:00; Wednesday: 10:00-10:00; Thursday: 10:00-10:00; Friday: 10:00-10:00; Saturday: 10:00-10:00","<MISSING>","phone:page_url:latitude:longitude"
"https://www.massimodutti.com/webapp/wcs/stores/servlet/store-locator?city=almaty&street=dostyk-avenue-zholdasbekov-street&aAction=store-locator&language=en&bamId=5972&storeId=34009456&langId=-1","DOSTYK PLAZA","DOSTYK AVENUE ZHOLDASBEKOV STREET","Almaty City","Almaty City","050013","KZ","5972","7-727-2254446","<MISSING>","43.23354","76.95658","https://www.massimodutti.com/","Monday: 10:00-10:00; Tuesday: 10:00-10:00; Wednesday: 10:00-10:00; Thursday: 10:00-10:00; Friday: 10:00-10:00","<MISSING>","phone:page_url:latitude:longitude"
"https://www.massimodutti.com/webapp/wcs/stores/servlet/store-locator?city=dubai&street=emirates-road-with-tripoli-street&aAction=store-locator&language=en&bamId=4672&storeId=34009456&langId=-1","MIRDIF CITY CENTRE","EMIRATES ROAD WITH TRIPOLI STREET, S/N","DUBAI","DUBAI","22700","AE","4672","971-4-2843328","<MISSING>","25.21625","55.40761","https://www.massimodutti.com/","Sunday: 10:00-10:00; Thursday: 10:00-10:00; Friday: 10:00-10:00; Saturday: 10:00-10:00; Monday: 10:00-10:00; Tuesday: 10:00-10:00; Wednesday: 10:00-10:00","<MISSING>","phone:page_url:latitude:longitude"
"https://www.massimodutti.com/webapp/wcs/stores/servlet/store-locator?city=dubai&street=festival-bulevard&aAction=store-locator&language=en&bamId=4644&storeId=34009456&langId=-1","FESTIVAL CITY","FESTIVAL BULEVARD","DUBAI","DUBAI","22700","AE","4644","971-4-2328584","<MISSING>","25.22565","55.35154","https://www.massimodutti.com/","Sunday: 10:00-10:00; Monday: 10:00-10:00; Tuesday: 10:00-10:00; Wednesday: 10:00-10:00; Thursday: 10:00-10:00; Friday: 10:00-10:00; Saturday: 10:00-10:00","<MISSING>","phone:page_url:latitude:longitude"
"https://www.massimodutti.com/webapp/wcs/stores/servlet/store-locator?city=dubai&street=financial-centre-road&aAction=store-locator&language=en&bamId=4634&storeId=34009456&langId=-1","THE DUBAI MALL","FINANCIAL CENTRE ROAD, S/N","DUBAI","DUBAI","22700","AE","4634","971-4-3399070","<MISSING>","25.1971","55.27911","https://www.massimodutti.com/","Sunday: 10:00-10:00; Monday: 10:00-10:00; Tuesday: 10:00-10:00; Wednesday: 10:00-10:00; Thursday: 10:00-10:00; Friday: 10:00-10:00; Saturday: 10:00-10:00","<MISSING>","phone:page_url:latitude:longitude"
"https://www.massimodutti.com/webapp/wcs/stores/servlet/store-locator?city=dubai&street=jumeirah-beach-road&aAction=store-locator&language=en&bamId=4284&storeId=34009456&langId=-1","MERCATO MALL","JUMEIRAH BEACH ROAD, S/N","DUBAI","DUBAI","19276","AE","4284","971-4-3447124","<MISSING>","25.2166","55.252","https://www.massimodutti.com/","<MISSING>","<MISSING>","phone:page_url:latitude:longitude"
"https://www.massimodutti.com/webapp/wcs/stores/servlet/store-locator?city=dubai&street=al-ain-road&aAction=store-locator&language=en&bamId=4541&storeId=34009456&langId=-1","DUBAI OUTLET MALL","AL AIN ROAD","DUBAI","DUBAI","<MISSING>","AE","4541","971 4 4259 884","<MISSING>","25.07821","55.39752","https://www.massimodutti.com/","<MISSING>","<MISSING>","phone:page_url:latitude:longitude"
"https://www.massimodutti.com/webapp/wcs/stores/servlet/store-locator?city=dubai&street=sheikh-zayed-road&aAction=store-locator&language=en&bamId=4476&storeId=34009456&langId=-1","MALL OF THE EMIRATES","SHEIKH ZAYED ROAD, 1","DUBAI","DUBAI","22700","AE","4476","971-4-34131541","<MISSING>","25.11812","55.20048","https://www.massimodutti.com/","Sunday: 10:00-10:00; Monday: 10:00-10:00; Tuesday: 10:00-10:00; Wednesday: 10:00-10:00; Thursday: 10:00-10:00; Friday: 10:00-10:00; Saturday: 10:00-10:00","<MISSING>","phone:page_url:latitude:longitude"
"https://www.massimodutti.com/webapp/wcs/stores/servlet/store-locator?city=pristina&street=zona-e-re-industriale-veternik&aAction=store-locator&language=en&bamId=12870&storeId=34009456&langId=-1","ALBI MALL","ZONA E RE INDUSTRIALE VETERNIK, S/N","PRISTINA","PRISTINA","10000","XK","12870","38-338741922","<MISSING>","42.63308","21.15232","https://www.massimodutti.com/","Sunday: 09:00-09:00; Monday: 09:00-09:00; Tuesday: 09:00-09:00; Wednesday: 09:00-09:00; Thursday: 09:00-09:00; Friday: 09:00-09:00; Saturday: 09:00-09:00","<MISSING>","phone:page_url:latitude:longitude"
"https://www.massimodutti.com/webapp/wcs/stores/servlet/store-locator?city=skopje&street=ljubljanska&aAction=store-locator&language=en&bamId=4777&storeId=34009456&langId=-1","SKOPJE CITY MALL","LJUBLJANSKA, 4","<MISSING>","<MISSING>","1000","MK","4777","38-923087928","<MISSING>","42.00449","21.39135","https://www.massimodutti.com/","Sunday: 10:00-10:00; Monday: 10:00-10:00; Tuesday: 10:00-10:00; Wednesday: 10:00-10:00; Thursday: 10:00-10:00; Friday: 10:00-10:00; Saturday: 10:00-10:00","<MISSING>","phone:page_url:latitude:longitude"
