"page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","locator_domain","hours_of_operation","raw_address","record_id"
"https://www.pomellato.com/en_intl/store-locator","Boutique Pomellato","11 Rue des Capucins","Luxembourg","None","1313","Luxembourg","C026970","+352443696","boutique","49.6123557","6.1295511","https://www.pomellato.com","Tuesday - Saturday: 10:30-18:00","11 Rue des Capucins, 1313 Luxembourg","longitude:phone:latitude"
"https://www.pomellato.com/en_intl/store-locator","El Palacio de Hierro Interlomas","Vialidad de la Barranca 6","Mexico City","None","52787","Mexico","C026520","+525552908652","boutique","19.3974223","-99.282815","https://www.pomellato.com","<MISSING>","Vialidad de la Barranca 6, Bosque de las Palmas, 52787 Naucalpan de Juárez, Méx., Mexico","longitude:phone:latitude"
"https://www.pomellato.com/en_intl/store-locator","El Palacio de Hierro Santa Fé","Vasco de Quiroga 3800","Mexico City","None","05100","Mexico","C026550","+525521672229","boutique","19.3626544","-99.2709965","https://www.pomellato.com","<MISSING>","Vasco de Quiroga 3800, Santa Fe, Contadero, Cuajimalpa de Morelos, 05100 Ciudad de México, CDMX, Mexico","longitude:phone:latitude"
"https://www.pomellato.com/en_intl/store-locator","El Palacio de Hierro Polanco","Av Moliere 222","Mexico City","None","11550","Mexico","C027750","+525552802334","boutique","19.4356314","-99.2021134","https://www.pomellato.com","<MISSING>","Av Moliere 222, Polanco, Polanco II Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico","longitude:phone:latitude"
"https://www.pomellato.com/en_intl/store-locator","Boutique Pomellato","17 Avenue des Spélugues","Montecarlo","None","98000","Monaco","C021310","+37797976585","boutique","43.741007","7.4283820000001","https://www.pomellato.com","Monday - Saturday: 10:00-18:00","17 Avenue des Spélugues, 98000 Monaco","longitude:phone:latitude"
"https://www.pomellato.com/en_intl/store-locator","BOUTIQUE POMELLATO","Via dei Condotti","Rome","None","00187","Italy","C100800","<MISSING>","boutique","41.9051205","12.4804548","https://www.pomellato.com","Monday - Friday: 10:30 - 19:00","Via dei Condotti, 60, 00187 Roma RM, Italy","longitude:phone:latitude"
"https://www.pomellato.com/en_intl/store-locator","Boutique Pomellato","Neuer Wall 55","Hamburg","None","20354","Germany","C024620","+494036091040","boutique","53.550807","9.9891838999999","https://www.pomellato.com","<MISSING>","Neuer Wall 55, 20354 Hamburg, Germany","longitude:latitude:phone"
"https://www.pomellato.com/en_intl/store-locator","Pomellato Boutique Takashimaya Nihombashi","2-chōme-4-1 Nihonbashi","Tokyo","None","103-8265","Japan","C024600","+81332464406","boutique","35.6807333","139.7740458","https://www.pomellato.com","Monday - Sunday: 10:00-19:30","2-chōme-4-1 Nihonbashi, Chuo City, Tokyo 103-8265, Japan","longitude:latitude:phone"
"https://www.pomellato.com/en_intl/store-locator","Pomellato Boutique Isetan Shinjuku","3-chōme-14-1 Shinjuku","Tokyo","None","160-0022","Japan","C024760","+81363804201","boutique","35.691637","139.704616","https://www.pomellato.com","Monday - Sunday: 10:30-20:00","3-chōme-14-1 Shinjuku, Shinjuku City, Tokyo 160-0022, Japan","longitude:latitude:phone"
"https://www.pomellato.com/en_intl/store-locator","Pomellato Boutique Takashimaya Shinjuku","Jewelry Salon","Tokyo","None","151-0051","Japan","C027280","+81353414252","boutique","35.6876981","139.7022767","https://www.pomellato.com","Monday - Sunday: 10:00-20:00","Jewelry Salon, 5-chōme-24 Sendagaya, Shibuya City, Tokyo 151-0051, Japan","longitude:latitude:phone"
