"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.homewatchcaregivers.com","homewatch caregivers of birmingham","300 Vestavia Pkwy #2300","birmingham","AL","35216","US","<MISSING>","(205) 639-0180","<MISSING>","33.4201521","-86.7963772","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of phoenix","11201 N. Tatum Blvd. Suite 315","phoenix","AZ","85028","US","<MISSING>","(602) 313-3991","<MISSING>","33.5873951","-111.9756306","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of tucson","1870 W Orange Grove Road","tucson","AZ","85704","US","<MISSING>","(520) 214-5929","<MISSING>","32.3236099","-111.0061289","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of green valley","75 W. Calle De Las Tiendas Suite 113B","green valley","AZ","85614","US","<MISSING>","(520) 254-0281","<MISSING>","31.898434","-110.9882457","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of laguna woods","8175 E. Kaiser Blvd. Suite 217","anaheim hills","CA","92808","US","<MISSING>","(714) 804-0910","<MISSING>","33.87","-117.74","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of san jose","4300 Stevens Creek Blvd Suite 187","san jose","CA","95129","US","<MISSING>","(408) 763-4800","<MISSING>","37.322679","-121.9783255","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of west los angeles","8929 S Sepulveda Blvd. Suite 314","los angeles","CA","90045","US","<MISSING>","(310) 620-1735","<MISSING>","33.9549428","-118.3965314","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of north san diego","5731 Palmer Way Suite F","carlsbad","CA","92010","US","<MISSING>","(760) 407-3349","<MISSING>","33.14","-117.27","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of yorba linda","17451 Bastanchury Road Suite 204","yorba linda","CA","92886","US","<MISSING>","(714) 576-2789","<MISSING>","33.8998175","-117.8306849","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of san fernando valley","6316 Topanga Blvd. Suite 2140","woodland hills","CA","91367","US","<MISSING>","(818) 650-3614","<MISSING>","34.1849766","-118.6046516","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of thousand oaks","3717 Thousand Oaks Blvd Suite 110","thousand oaks","CA","91362","US","<MISSING>","(805) 716-6656","<MISSING>","34.17","-118.83","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of santa rosa","3855 Montgomery Dr","santa rosa","CA","95405","US","<MISSING>","(707) 229-1364","<MISSING>","38.4523323","-122.6752024","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of huntington newport beach","20902 Brookhurst St Suite 204","huntington beach","CA","92646","US","<MISSING>","(714) 559-3778","<MISSING>","33.6587494","-117.9531826","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of san juan capistrano","30448 Rancho Viejo Rd  Ste 160","san juan capistrano","CA","92675","US","<MISSING>","(949) 647-4035","<MISSING>","33.5213874","-117.6642937","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of castro valley","21168 Redwood Road Suite 100","castro valley","CA","94546","US","<MISSING>","(510) 901-4404","<MISSING>","37.69","-122.07","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of walnut creek","1700 Ygnacio Valley Road Suite 200","walnut creek","CA","94598","US","<MISSING>","(925) 329-3146","<MISSING>","37.9165242","-122.041083","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of oakland","3820 Broadway","oakland","CA","94611","US","<MISSING>","(510) 953-5112","<MISSING>","37.8262364","-122.2571247","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of temecula","27570 Commerce Center Drive Suite 116","temecula","CA","92590","US","<MISSING>","(951) 382-5380","<MISSING>","33.5141412","-117.1613346","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of orange","1100 Town & Country Road Suite 1252","orange","CA","92868","US","<MISSING>","(657) 220-6128","<MISSING>","33.78","-117.86","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of la jolla","888 Prospect Street Suite 200","la jolla","CA","92037","US","<MISSING>","(858) 251-0937","<MISSING>","32.85","-117.28","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of tustin","202 Fashion Lane Suite 202","tustin","CA","92780","US","<MISSING>","(714) 677-8174","<MISSING>","33.7372177","-117.8135579","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of boulder","2945 Center Green Ct Suite D","boulder","CO","80301","US","<MISSING>","(303) 625-9365","<MISSING>","40.03","-105.25","<MISSING>"
"https://www.homewatchcaregivers.com","homewatch caregivers of northern colorado","1220 West Ash St. Suite C","windsor","CO","80550","US","<MISSING>","(970) 355-3372","<MISSING>","40.480861","-104.9212502","<MISSING>"
