"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://mastercuts.com","Spokane Valley Mall","14700 E Indiana Ste 2004","Spokane","WA","99216","US","<MISSING>","(509) 928-8889","<MISSING>","47.673544","-117.206869","Monday10:00 AM - 9:00 PMTuesday10:00 AM - 9:00 PMWednesday10:00 AM - 9:00 PMThursday10:00 AM - 9:00 PMFriday10:00 AM - 9:00 PMSaturday10:00 AM - 9:00 PMSunday11:00 AM - 6:00 PM"
"https://mastercuts.com","Arnot Mall","3300 Chambers Rd Ste 5125","Horseheads","NY","14845","US","<MISSING>","(607) 739-3505","<MISSING>","42.160151","-76.8728","Monday10:00 AM - 9:00 PMTuesday10:00 AM - 9:00 PMWednesday10:00 AM - 9:00 PMThursday10:00 AM - 9:00 PMFriday10:00 AM - 9:00 PMSaturday9:00 AM - 9:00 PMSunday10:00 AM - 6:00 PM"
"https://mastercuts.com","Logan Valley Mall","5580 Goods Ln Ste 2133","Altoona","PA","16601","US","<MISSING>","(814) 942-4400","<MISSING>","40.468724","-78.411723","Monday10:00 AM - 9:00 PMTuesday10:00 AM - 9:00 PMWednesday10:00 AM - 9:00 PMThursday10:00 AM - 9:00 PMFriday10:00 AM - 9:00 PMSaturday9:00 AM - 9:00 PMSunday12:00 PM - 6:00 PM"
"https://mastercuts.com","The Galleria","500 Galleria Dr Ste 150","Richland Township","PA","15904","US","<MISSING>","(814) 266-5949","<MISSING>","40.294766","-78.833555","Monday10:00 AM - 9:00 PMTuesday10:00 AM - 9:00 PMWednesday10:00 AM - 9:00 PMThursday10:00 AM - 9:00 PMFriday10:00 AM - 9:00 PMSaturday10:00 AM - 9:00 PMSunday12:00 PM - 5:00 PM"
"https://mastercuts.com","Factoria Mall","4021 Factoria Mall Se Ste C4","Bellevue","WA","98006","US","<MISSING>","(425) 401-2121","<MISSING>","47.574953","-122.170802","Monday10:00 AM - 8:30 PMTuesday10:00 AM - 8:30 PMWednesday10:00 AM - 8:30 PMThursday10:00 AM - 8:30 PMFriday10:00 AM - 8:30 PMSaturday10:00 AM - 8:30 PMSunday11:00 AM - 6:00 PM"
"https://mastercuts.com","Crossroads Mall","6650 S Westnedge Ave Ste 234","Portage","MI","49024","US","<MISSING>","(269) 327-1155","<MISSING>","42.22017","-85.596362","Monday10:00 AM - 9:00 PMTuesday10:00 AM - 9:00 PMWednesday10:00 AM - 9:00 PMThursday10:00 AM - 9:00 PMFriday10:00 AM - 9:00 PMSaturday10:00 AM - 9:00 PMSunday11:00 AM - 6:00 PM"
"https://mastercuts.com","White Mountain Mall","2441 Foothill Blvd Ste 144","Rock Springs","WY","82901","US","<MISSING>","(307) 382-3393","<MISSING>","41.580689","-109.263784","Monday10:00 AM - 9:00 PMTuesday10:00 AM - 9:00 PMWednesday10:00 AM - 9:00 PMThursday10:00 AM - 9:00 PMFriday10:00 AM - 9:00 PMSaturday10:00 AM - 7:00 PMSunday12:00 PM - 6:00 PM"
"https://mastercuts.com","Carolina Mall","1480 Concord Pkwy N Ste 296","Concord","NC","28025","US","<MISSING>","(704) 782-8878","<MISSING>","35.44061","-80.603458","Monday10:00 AM - 9:00 PMTuesday10:00 AM - 9:00 PMWednesday10:00 AM - 9:00 PMThursday10:00 AM - 9:00 PMFriday10:00 AM - 9:00 PMSaturday10:00 AM - 9:00 PMSunday12:30 PM - 6:00 PM"
"https://mastercuts.com","Roseburg Valley Mall","1440 Nw Garden Valley Blvd#120","Roseburg","OR","97470","US","<MISSING>","(541) 672-6257","<MISSING>","43.23476","-123.373703","Monday9:00 AM - 7:00 PMTuesday9:00 AM - 7:00 PMWednesday9:00 AM - 7:00 PMThursday9:00 AM - 7:00 PMFriday9:00 AM - 7:00 PMSaturday9:00 AM - 6:00 PMSunday10:00 AM - 6:00 PM"
"https://mastercuts.com","Rogue Valley Mall","1600 N Riverside Ste 2015","Medford","OR","97501","US","<MISSING>","(541) 772-2277","<MISSING>","42.344205","-122.87751","Monday10:00 AM - 9:00 PMTuesday10:00 AM - 9:00 PMWednesday10:00 AM - 9:00 PMThursday10:00 AM - 9:00 PMFriday10:00 AM - 9:00 PMSaturday10:00 AM - 9:00 PMSunday11:00 AM - 7:00 PM"
