"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"http://pic-n-pac.com","<MISSING>","17420 FM306","Canyon Lake","TX","78133","US","<MISSING>","<MISSING>","<MISSING>","29.907801","-98.207085","<MISSING>"
"http://pic-n-pac.com","<MISSING>","9336 FM 725","McQueeney","TX","78123","US","<MISSING>","<MISSING>","<MISSING>","29.590095","-98.038133","<MISSING>"
"http://pic-n-pac.com","<MISSING>","3051 Hwy 123 South","South Seguin","TX","78155","US","<MISSING>","<MISSING>","<MISSING>","29.430195","-97.950705","<MISSING>"
"http://pic-n-pac.com","<MISSING>","630 W. Court St.","Seguin","TX","78155","US","<MISSING>","<MISSING>","<MISSING>","29.5691896","-97.9726612","<MISSING>"
"http://pic-n-pac.com","<MISSING>","7748 FM 725","McQueeney","TX","78123","US","<MISSING>","<MISSING>","<MISSING>","29.604687","-98.053985","<MISSING>"
"http://pic-n-pac.com","<MISSING>","835 S. Colorado St.","Lockhart","TX","78644","US","<MISSING>","<MISSING>","<MISSING>","29.8757458","-97.6692848","<MISSING>"
"http://pic-n-pac.com","<MISSING>","1401 W. Court St.","Seguin","TX","78155","US","<MISSING>","<MISSING>","<MISSING>","29.5686623","-97.98962","<MISSING>"
"http://pic-n-pac.com","<MISSING>","103 E. Kingsbury","Seguin","TX","78155","US","<MISSING>","<MISSING>","<MISSING>","29.5804002","-97.9644165","<MISSING>"
"http://pic-n-pac.com","<MISSING>","1190 FM 78","Schertz","TX","78154","US","<MISSING>","<MISSING>","<MISSING>","29.5581714","-98.2552411","<MISSING>"
"http://pic-n-pac.com","<MISSING>","109 N 123 Bypass","Bypass Seguin","TX","78155","US","<MISSING>","<MISSING>","<MISSING>","29.5697365","-97.9398914","<MISSING>"
"http://pic-n-pac.com","<MISSING>","554 South HWY 123 Bypass","Bypass Seguin","TX","78155","US","<MISSING>","<MISSING>","<MISSING>","29.5728569","-97.9413098","<MISSING>"
"http://pic-n-pac.com","<MISSING>","969 IH 10 East","Seguin","TX","78155","US","<MISSING>","<MISSING>","<MISSING>","29.5998989","-97.9576935","<MISSING>"
"http://pic-n-pac.com","<MISSING>","415 W FM 78","Marion","TX","78124","US","<MISSING>","<MISSING>","<MISSING>","29.5706226","-98.1446338","<MISSING>"
"http://pic-n-pac.com","<MISSING>","105 N King St.","Seguin","TX","78155","US","<MISSING>","<MISSING>","<MISSING>","29.5697548","-97.9495089","<MISSING>"
"http://pic-n-pac.com","<MISSING>","16830 IH 35 N","Schertz","TX","78154","US","<MISSING>","<MISSING>","<MISSING>","29.5964395","-98.2842377","<MISSING>"
"http://pic-n-pac.com","<MISSING>","839 FM 1103","Cibolo","TX","78108","US","<MISSING>","<MISSING>","<MISSING>","29.5717139","-98.2319142","<MISSING>"
"http://pic-n-pac.com","<MISSING>","9318 FM 725,","McQueeney","TX","78123","US","<MISSING>","<MISSING>","<MISSING>","29.5901898","-98.038163","<MISSING>"
"http://pic-n-pac.com","<MISSING>","7740 FM 725 Mc","Mc Queeney","TX","78124","US","<MISSING>","<MISSING>","<MISSING>","29.5847277","-98.090116","<MISSING>"
