slug,url,name,rank
walmart,craft.co/walmart,Walmart,1
amazon,craft.co/amazon,Amazon.com,2
exxon-mobil,craft.co/exxon-mobil,Exxon Mobil,3
apple,craft.co/apple,Apple,4
cvs-health,craft.co/cvs-health,CVS Health,5
berkshire-hathaway,craft.co/berkshire-hathaway,Berkshire Hathaway,6
unitedhealth,craft.co/unitedhealth,UnitedHealth Group,7
mckesson,craft.co/mckesson,McKesson,8
at-t,craft.co/at-t,AT&T,9
amerisourcebergen,craft.co/amerisourcebergen,AmerisourceBergen,10
alphabet,craft.co/alphabet,Alphabet,11
ford-motor,craft.co/ford-motor,Ford Motor,12
cigna,craft.co/cigna,Cigna,13
costco,craft.co/costco,Costco Wholesale,14
chevron,craft.co/chevron,Chevron,15
cardinal-health,craft.co/cardinal-health,Cardinal Health,16
jpmorgan-chase,craft.co/jpmorgan-chase,JPMorgan Chase,17
general-motors,craft.co/general-motors,General Motors,18
walgreens-boots-alliance,craft.co/walgreens-boots-alliance,Walgreens Boots Alliance,19
verizon,craft.co/verizon,Verizon Communications,20
microsoft,craft.co/microsoft,Microsoft,21
marathon-petroleum,craft.co/marathon-petroleum,Marathon Petroleum,22
kroger,craft.co/kroger,Kroger,23
fannie-mae,craft.co/fannie-mae,Fannie Mae,24
bank-of-america,craft.co/bank-of-america,Bank of America,25
the-home-depot,craft.co/the-home-depot,Home Depot,26
phillips-66,craft.co/phillips-66,Phillips 66,27
comcast,craft.co/comcast,Comcast,28
anthem,craft.co/anthem,Anthem,29
wells-fargo,craft.co/wells-fargo,Wells Fargo,30
citi,craft.co/citi,Citigroup,31
valero-energy,craft.co/valero-energy,Valero Energy,32
general-electric,craft.co/general-electric,General Electric,33
dell-technologies,craft.co/dell-technologies,Dell Technologies,34
johnson-johnson,craft.co/johnson-johnson,Johnson & Johnson,35
state-farm,craft.co/state-farm,State Farm Insurance,36
target,craft.co/target,Target,37
ibm,craft.co/ibm,International Business Machines,38
raytheon,craft.co/raytheon,Raytheon Technologies,39
boeing,craft.co/boeing,Boeing,40
freddie-mac,craft.co/freddie-mac,Freddie Mac,41
centene,craft.co/centene,Centene,42
ups,craft.co/ups,UPS,43
lowes,craft.co/lowes,Lowe's,44
intel,craft.co/intel,Intel,45
facebook,craft.co/facebook,Facebook,46
fedex-corporation,craft.co/fedex-corporation,FedEx,47
metlife,craft.co/metlife,MetLife,48
the-walt-disney,craft.co/the-walt-disney,Walt Disney,49
procter-gamble,craft.co/procter-gamble,Procter & Gamble,50
pepsico,craft.co/pepsico,PepsiCo,51
humana,craft.co/humana,Humana,52
prudential-financial,craft.co/prudential-financial,Prudential Financial,53
archer-daniels-midland-company,craft.co/archer-daniels-midland-company,Archer Daniels Midland,54
albertsons,craft.co/albertsons,Albertsons,55
sysco-corporation,craft.co/sysco-corporation,Sysco,56
lockheed-martin,craft.co/lockheed-martin,Lockheed Martin,57
hp,craft.co/hp,HP,58
energy-transfer-equity,craft.co/energy-transfer-equity,Energy Transfer,59
goldman-sachs,craft.co/goldman-sachs,Goldman Sachs Group,60
morgan-stanley,craft.co/morgan-stanley,Morgan Stanley,61
caterpillar,craft.co/caterpillar,Caterpillar,62
cisco,craft.co/cisco,Cisco Systems,63
pfizer,craft.co/pfizer,Pfizer,64
hca-healthcare,craft.co/hca-healthcare,HCA Healthcare,65
aig,craft.co/aig,American International Group,66
american-express,craft.co/american-express,American Express,67
delta-airlines,craft.co/delta-airlines,Delta Air Lines,68
merck-&-co,craft.co/merck-&-co,Merck,69
american-airlines,craft.co/american-airlines,American Airlines Group,70
charter,craft.co/charter,Charter Communications,71
allstate,craft.co/allstate,Allstate,72
new-york-life-insurance-company,craft.co/new-york-life-insurance-company,New York Life Insurance,73
nationwide,craft.co/nationwide,Nationwide,74
best-buy,craft.co/best-buy,Best Buy,75
united-airlines,craft.co/united-airlines,United Airlines Holdings,76
liberty-mutual-insurance,craft.co/liberty-mutual-insurance,Liberty Mutual Insurance Group,77
dow,craft.co/dow,Dow,78
tyson-foods,craft.co/tyson-foods,Tyson Foods,79
the-tjx,craft.co/the-tjx,TJX,80
tiaa-cref,craft.co/tiaa-cref,TIAA,81
oracle,craft.co/oracle,Oracle,82
general-dynamics,craft.co/general-dynamics,General Dynamics,83
deere-company,craft.co/deere-company,Deere,84
nike,craft.co/nike,Nike,85
progressive-insurance,craft.co/progressive-insurance,Progressive,86
publix,craft.co/publix,Publix Super Markets,87
the-coca-cola-company,craft.co/the-coca-cola-company,Coca-Cola,88
massachusetts-mutual-life-insurance-company,craft.co/massachusetts-mutual-life-insurance-company,Massachusetts Mutual Life Insurance,89
tech-data,craft.co/tech-data,Tech Data,90
world-fuel-services,craft.co/world-fuel-services,World Fuel Services,91
honeywell,craft.co/honeywell,Honeywell International,92
conocophillips,craft.co/conocophillips,ConocoPhillips,93
usaa,craft.co/usaa,USAA,94
exelon,craft.co/exelon,Exelon,95
northrop-grumman,craft.co/northrop-grumman,Northrop Grumman,96
capital-one,craft.co/capital-one,Capital One Financial,97
plains-gp-holdings,craft.co/plains-gp-holdings,Plains GP Holdings,98
abbvie,craft.co/abbvie,AbbVie,99
stonex,craft.co/stonex,StoneX,100
