"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.napaonline.com","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://www.napaonline.com/en/auto-parts-stores-near-me/az/ajo"
"https://www.napaonline.com","NAPA Auto Parts - Bisbee Auto Parts","782 W Highway 92","Bisbee","AZ","85603","US","39298","(520) 432-5312","<MISSING>","31.4033162","-109.9152532","Mon 7:00 AM - 5:30 PM, Tues 7:00 AM - 5:30 PM, Wed 7:00 AM - 5:30 PM, Thurs 7:00 AM - 5:30 PM, Fri 7:00 AM - 5:30 PM, Sat 8:00 AM - 4:30 PM, Sun Closed","https://www.napaonline.com/en/auto-parts-stores-near-me/az/bisbee"
"https://www.napaonline.com","NAPA Auto Parts - Vans Auto Parts","126 S 4th St","Buckeye","AZ","85326","US","<MISSING>","(623) 386-5616","AutoPartsStore","33.369526","-112.586066","Monday: 07:00:00-18:00:00Tuesday: 07:00:00-18:00:00Wednesday: 07:00:00-18:00:00Thursday: 07:00:00-18:00:00Friday: 07:00:00-18:00:00Saturday: 08:00:00-16:00:00Sunday: 00:00:00-00:00:00","https://www.napaonline.com/en/auto-parts-stores-near-me/az/buckeye"
"https://www.napaonline.com","NAPA Auto Parts - Day Auto Supply","2071 N Arizona Ave Suite 119","Chandler","AZ","85225","US","27113","(480) 963-6402","<MISSING>","33.337325942976165","-111.84023791473254","Mon 7:00 AM - 5:30 PM, Tues 7:00 AM - 5:30 PM, Wed 7:00 AM - 5:30 PM, Thurs 7:00 AM - 5:30 PM, Fri 7:00 AM - 5:30 PM, Sat 8:00 AM - 5:00 PM, Sun Closed","https://www.napaonline.com/en/auto-parts-stores-near-me/az/chandler"
"https://www.napaonline.com","NAPA Auto Parts - RKS Auto Parts","522 Finnie Flat Rd","Camp Verde","AZ","86322","US","23131","(928) 567-3356","<MISSING>","34.567107034040276","-111.86361451849935","Mon 7:30 AM - 5:30 PM, Tues 7:30 AM - 5:30 PM, Wed 7:30 AM - 5:30 PM, Thurs 7:30 AM - 5:30 PM, Fri 7:30 AM - 5:30 PM, Sat 7:30 AM - 3:00 PM, Sun Closed","https://www.napaonline.com/en/auto-parts-stores-near-me/az/camp-verde"
"https://www.napaonline.com","NAPA Auto Parts - Grand Canyon Auto Supply","1865 E Butler Ave","Flagstaff","AZ","86001","US","26763","(928) 774-2733","<MISSING>","35.1911729384","-111.629096120595","Mon 6:00 AM - 8:00 PM, Tues 6:00 AM - 8:00 PM, Wed 6:00 AM - 8:00 PM, Thurs 6:00 AM - 8:00 PM, Fri 6:00 AM - 8:00 PM, Sat 7:00 AM - 8:00 PM, Sun 8:00 AM - 5:00 PM","https://www.napaonline.com/en/auto-parts-stores-near-me/az/flagstaff"
"https://www.napaonline.com","NAPA Auto Parts - Day Auto Supply","1041 N Arizona Blvd","Coolidge","AZ","85128","US","26540","(520) 723-9551","<MISSING>","32.9874188","-111.5236188","Mon 7:00 AM - 6:00 PM, Tues 7:00 AM - 6:00 PM, Wed 7:00 AM - 6:00 PM, Thurs 7:00 AM - 6:00 PM, Fri 7:00 AM - 6:00 PM, Sat 8:00 AM - 5:00 PM, Sun Closed","https://www.napaonline.com/en/auto-parts-stores-near-me/az/coolidge"
"https://www.napaonline.com","NAPA Auto Parts - Mack's Auto Parts, Inc.","253 S Coronado Blvd","Clifton","AZ","85533","US","40132","(928) 865-3333","<MISSING>","33.04790046559318","-109.29440877253643","Mon 8:00 AM - 5:00 PM, Tues 8:00 AM - 5:00 PM, Wed 8:00 AM - 5:00 PM, Thurs 8:00 AM - 5:00 PM, Fri 8:00 AM - 5:00 PM, Sat Closed Sun Closed","https://www.napaonline.com/en/auto-parts-stores-near-me/az/clifton"
"https://www.napaonline.com","NAPA Auto Parts - First Call Automotive & Industrial Supply","393 Alden Road","Kearny","AZ","85137","US","31259","(520) 363-5557","<MISSING>","33.0601735662661","-110.907130613923","Mon 8:00 AM - 5:00 PM, Tues 8:00 AM - 5:00 PM, Wed 8:00 AM - 5:00 PM, Thurs 8:00 AM - 5:00 PM, Fri 8:00 AM - 5:00 PM, Sat 9:00 AM - 1:30 PM, Sun Closed","https://www.napaonline.com/en/auto-parts-stores-near-me/az/kearny"
"https://www.napaonline.com","NAPA Auto Parts - Gilbert - 1022 N Gilbert Rd","1022 N Gilbert Rd","Gilbert","AZ","85234","US","26451","(480) 892-9866","<MISSING>","33.3684773414963","-111.790471896529","Mon 7:00 AM - 7:00 PM, Tues 7:00 AM - 7:00 PM, Wed 7:00 AM - 7:00 PM, Thurs 7:00 AM - 7:00 PM, Fri 7:00 AM - 7:00 PM, Sat 8:00 AM - 5:00 PM, Sun 9:00 AM - 5:00 PM","https://www.napaonline.com/en/auto-parts-stores-near-me/az/gilbert"
