locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation
https://bbtheatres.com/location/amelia-island-7,Amelia Island 7,1132 South 14th Street,Fernandina Beach,FL,32034,US,<MISSING>,(904) 729-4826,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/naples-centre-town-6,Naples Towne Centre 6,3855 Tamiami Trail East,Naples,FL,34112,US,<MISSING>,(863) 840-9806,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/sebring-fairmount-square-cinema-6,Sebring Fairmount Square Cinema 6,3750 US 27 North,Sebring,FL,33870,US,<MISSING>,(863) 385-9980,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/tavernier-cinema-5,Tavernier Cinema 5,91298 Overseas Highway,Tavernier,FL,33070,US,<MISSING>,(305) 853-7003,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/galleria-stadium,Venice Galleria Stadium 11,2111 Tamiami Trail South,Venice,FL,34292,US,<MISSING>,(941) 202-6561,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/Ankeny-12,"Ankeny 12 w/ B-Roll Bowling, Grand Screens, MX4D, ScreenPLAY & Outtakes Arcade",1580 SW Market Street,Ankeny,IA,50023,US,<MISSING>,(515) 423-0979,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/chanute-roxy-cinema-4,Chanute Roxy Cinema 4,302 East Main Street,Chanute,KS,66720,US,<MISSING>,(620) 431-4167,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/concordia-majestic-theatre,Concordia Majestic Theatre,229 W 6th St.,Concordia,KS,66901,US,<MISSING>,785-530-6294,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/dodge-city-village-8,Dodge City Village 8,2601 Central - Village Square Mall,Dodge City,KS,67801,US,<MISSING>,(620) 227-7469,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/emporia-flinthills-cinema-8,Emporia Flinthills 8 Cinemas,1614 Industrial Road,Emporia,KS,66801,US,<MISSING>,(620) 342-3400,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/hutchinson-mall-8,Hutchinson Mall 8,1500 East 11th Street,Hutchinson,KS,67504,US,<MISSING>,(620) 669-8510,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/iola-sterling-six-cinemas,Iola Sterling Six Cinemas,1802 1/2 East Street,Iola,KS,66749,US,<MISSING>,(620) 365-2255,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/junction-city-gem,Junction City Gem,1016 West 6th Street,Junction City,KS,66441,US,<MISSING>,(785) 238-3153,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/leavenworth,Leavenworth Landing 5,225 Delaware,Leavenworth,KS,66048,US,<MISSING>,(913) 270-2361,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/mcpherson-cinema-iv,McPherson Cinema IV,316 North Main Street,McPherson,KS,67460,US,<MISSING>,(620) 241-3133,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/overland-park-16,"Overland Park 16 w/ MX4D®, screenPLAY, and Lyric!",8601 W. 135th Street,Overland Park,KS,66223,US,<MISSING>,(913) 871-5352,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/shawnee-18,"Shawnee 18 with Grand Screen®, MX4D®, and screenPLAY!",16301 Midland Drive,Shawnee,KS,66217,US,<MISSING>,(913) 954-4671,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/bolivar-cinema-5,Bolivar Cinema 5,800 East Aldrich Road,Bolivar,MO,65613,US,<MISSING>,(417) 777-7469,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/chillicothe-grand-6,Chillicothe Grand 6,2880 North Grand Drive,Chillicothe,MO,64601,US,<MISSING>,(660) 646-7469,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/missouri-6,Clinton Missouri 6,431 S. Missouri Avenue,Clinton,MO,64735,US,<MISSING>,(660) 383-4195,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/festus-8,Festus 8 Cinema,1522 Parkway West,Festus,MO,63028,US,<MISSING>,(636) 642-0049,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/fulton-cinema-8,Fulton Cinema 8,521 Commons Drive,Fulton,MO,65251,US,<MISSING>,(573) 642-2122,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/grain-valley-marketplace-8,Grain Valley Marketplace 8 w/ Grand Screen®,1131 North East McQuerry Road,Grain Valley,MO,64029,US,<MISSING>,(816) 559-7001,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/hannibal-maint-street-cinema-8,Hannibal Main Street Cinema 8,100 Main Street,Hannibal,MO,63401,US,<MISSING>,(573) 406-0002,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/harrisonville-cinema-6,Harrisonville Cineplex,2825 Cantrell Road,Harrisonville,MO,64701,US,<MISSING>,(816) 380-2500,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/lebanon-ritz-8-theatre,Lebanon Ritz 8 Theatre,925 South Jefferson,Lebanon,MO,65536,US,<MISSING>,(417) 588-9724,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/Longview,Lee's Summit New Longview 7 w/ Grand Screen®,3241 SW Fascination Dr,Lee's Summit,MO,64081,US,<MISSING>,(816) 272-1575,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/lees-summit-16,"Lee’s Summit 16 with Grand Screen®, MX4D® & screenPLAY!",1451 Northeast Douglas Street,Lee's Summit,MO,64086,US,<MISSING>,(816) 554-3386,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/lexington-cannonball-6,Lexington Cannonball 6 Cinema,1125 Franklin,Lexington,MO,64067,US,<MISSING>,(660) 259-7006,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/liberty-cinema-12,"Liberty Cinema 12 w/ Grand Screens®, MX4D®, ScreenX, screenPLAY, and Lyric!",1903 Victory Drive,Liberty,MO,64068,US,<MISSING>,(816) 781-1700,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/moberly-drive,Moberly Drive-In,3000 North Morley,Moberly,MO,65270,US,<MISSING>,(660) 263-2000,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/moberly-5,Moberly Five,3000 North Morley,Moberly,MO,65270,US,<MISSING>,(660) 263-2000,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/monett-plaza-8,Monett Plaza 8,507 Plaza Drive,Monett,MO,65708,US,<MISSING>,(417) 235-0900,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/neosho-cinema-6,Neosho Cinema 6,1601 Malcom Mosby Drive,Neosho,MO,64850,US,<MISSING>,(417) 455-1800,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/kc-northland-14,Northland 14,4900 NE 80th Street,Kansas City,MO,64119-4381,US,<MISSING>,(816) 468-1100,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/ozark-nixa-12-gs,Ozark/Nixa 12 with Grand Screen® & Marquee Suites,620 North 25th St.,Ozark,MO,65721,US,<MISSING>,(417) 485-4078,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/twin-drive-in,Twin Drive-In,1320 North 291 & Kentucky Road,Independence,MO,64055,US,<MISSING>,(816) 844-6430,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/waynesville-patriot-12,Waynesville Patriot 12 with Grand Screen®,1200 GW Lane S,Waynesville,MO,65583,US,<MISSING>,(573) 774-6533,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/wentzville-12,Wentzville Tower 12 with Grand Screens®,100 Wentzville Bluffs Drive,Wentzville,MO,63385,US,<MISSING>,(636) 590-7472,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/wildwood-10,Wildwood 10 with Grand Screen®,16820 Main Street,Wildwood,MO,63040,US,<MISSING>,(636) 273-1001,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/vicksburg-mall-6,Vicksburg Mall 6,3505 Pemberton Boulevard,Vicksburg,MS,39180,US,<MISSING>,(601) 501-4774,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/claremore-cinema-8,Claremore Cinema 8,1407 West Country Club Road,Claremore,OK,74017,US,<MISSING>,(918) 342-2422,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/miami-cineplex,Miami Cineplex,222 N Main,Miami,OK,74355,US,<MISSING>,(918) 542-7469,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/oklahoma-city-windsor-10,Oklahoma City Windsor 10,4623 A NW 23rd Street,Oklahoma City,OK,73127,US,<MISSING>,(405) 917-7469,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/reno-cinema-8,Reno Cinema 8,3000 South Country Club Road,El Reno,OK,73036,US,<MISSING>,(405) 262-1918,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/sapulpa-cinema-8,Sapulpa Cinema 8 w/ Grand Screens®,1245 New Sapulpa Road,Sapulpa,OK,74066,US,<MISSING>,(918) 227-7469,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/tulsa-starworld-20,"Tulsa Starworld 20 w/ Grand Screens®, MX4D®, & screenPLAY!",10301 South Memorial Drive,Tulsa,OK,74133,US,<MISSING>,(918) 710-3679,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/port-arthur-central-mall,Port Arthur Central Mall 10,3100 Highway 365,Port Arthur,TX,77642,US,<MISSING>,(409) 300-3126,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://bbtheatres.com/location/wylie-12,Wylie 12 with Grand Screen & Marquee Suites,711 Woodbridge Parkway,Wylie,TX,75098,US,<MISSING>,(972) 419-8505,<MISSING>,<MISSING>,<MISSING>,<MISSING>
