"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://banks.amerisbank.com/al/abbeville/830/"," 'Abbeville Kirkland Street Ameris Bank Location',"," '204 Kirkland Street',"," 'Abbeville',"," 'AL',"," '36310',"," 'US',"," '830',"," '334.585.2265',","branch","31.56877","-85.25039","Sun:  'Closed',Mon:  '8:30 AM - 4:00 PM',Tue:  '8:30 AM - 4:00 PM',Wed:  '8:30 AM - 2:00 PM',Thur:  '8:30 AM - 5:00 PM',Fri:  '8:30 AM - 5:00 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/al/auburn/166-AU/"," 'Auburn Old Stage Road Mortgage Only Ameris Bank Location',"," '710 Old Stage Road',"," 'Auburn',"," 'AL',"," '36830',"," 'US',"," '166-AU',"," '',","branch","32.6139165306123","-85.4661442857143","Sun:  'Closed',Mon:  'By Appointment Only',Tue:  'By Appointment Only',Wed:  'By Appointment Only',Thur:  'By Appointment Only',Fri:  'By Appointment Only',Sat:  'By Appointment Only',"
"https://banks.amerisbank.com/al/birmingham/166-BH/"," 'Birmingham Mortgage Only Ameris Bank Location',"," '1 Chase Corporate Center, Suite 400',"," 'Birmingham',"," 'AL',"," '35244',"," 'US',"," '166-BH',"," '205.970.6180',","branch","33.3717","-86.80137","Sun:  'Closed',Mon:  'By Appointment Only',Tue:  'By Appointment Only',Wed:  'By Appointment Only',Thur:  'By Appointment Only',Fri:  'By Appointment Only',Sat:  'By Appointment Only',"
"https://banks.amerisbank.com/al/dothan/810/"," 'Dothan East Main Street Ameris Bank Location',"," '2200 East Main Street',"," 'Dothan',"," 'AL',"," '36301',"," 'US',"," '810',"," '334.677.3063',","branch","31.21374","-85.35916","Sun:  'Closed',Mon:  '8:00 AM - 4:30 PM',Tue:  '8:00 AM - 4:30 PM',Wed:  '8:00 AM - 4:30 PM',Thur:  '8:00 AM - 4:30 PM',Fri:  '8:00 AM - 5:00 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/al/dothan/800/"," 'Dothan Ross Clark Ameris Bank Location',"," '3299 Ross Clark Circle',"," 'Dothan',"," 'AL',"," '36303',"," 'US',"," '800',"," '334.671.4000',","branch","31.23752","-85.43168","Sun:  'Closed',Mon:  '8:30 AM - 4:30 PM',Tue:  '8:30 AM - 4:30 PM',Wed:  '8:30 AM - 4:30 PM',Thur:  '8:30 AM - 4:30 PM',Fri:  '8:30 AM - 5:00 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/al/eufaula/850/"," 'Eufaula Ameris Bank Location',"," '1140 South Eufaula Avenue',"," 'Eufaula',"," 'AL',"," '36027',"," 'US',"," '850',"," '334.687.3260',","branch","31.87784","-85.14962","Sun:  'Closed',Mon:  '8:30 AM - 4:00 PM',Tue:  '8:30 AM - 4:00 PM',Wed:  '8:30 AM - 4:00 PM',Thur:  '8:30 AM - 4:00 PM',Fri:  '8:30 AM - 5:00 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/fl/blountstown/705/"," 'Blountstown Pear Street Ameris Bank Location',"," '16763 SE Pear Street',"," 'Blountstown',"," 'FL',"," '32424',"," 'US',"," '705',"," '850.237.1000',","branch","30.4425383333333","-85.0449888888889","Sun:  'Closed',Mon:  '9:00 AM - 4:00 PM',Tue:  '9:00 AM - 4:00 PM',Wed:  '9:00 AM - 4:00 PM',Thur:  '9:00 AM - 4:00 PM',Fri:  '9:00 AM - 5:00 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/fl/boca-raton/163-BR/"," 'Boca Raton Mortgage Only Ameris Bank Location',"," '2300 Glades Rd',"," 'Boca Raton',"," 'FL',"," '33431',"," 'US',"," '163-BR',"," '561.961.6400',","branch","26.36808","-80.1251500981501","Sun:  'Closed',Mon:  '8:30 AM - 5:00 PM',Tue:  '8:30 AM - 5:00 PM',Wed:  '8:30 AM - 5:00 PM',Thur:  '8:30 AM - 5:00 PM',Fri:  '8:30 AM - 5:00 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/fl/crawfordville/360/"," 'Crawfordville Ameris Bank Location',"," '2628 Crawfordville Highway',"," 'Crawfordville',"," 'FL',"," '32327',"," 'US',"," '360',"," '850.926.5211',","branch","30.1933141880745","-84.3715329997758","Sun:  'Closed',Mon:  '9:00 AM - 5:00 PM',Tue:  '9:00 AM - 5:00 PM',Wed:  '9:00 AM - 5:00 PM',Thur:  '9:00 AM - 5:00 PM',Fri:  '9:00 AM - 5:00 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/fl/cross-city/461/"," 'Cross City 121st Street Ameris Bank Location',"," '79 NE 121st Street',"," 'Cross City',"," 'FL',"," '32628',"," 'US',"," '461',"," '352.498.3367',","branch","29.63547","-83.12509","Sun:  'Closed',Mon:  '9:00 AM - 4:00 PM',Tue:  '9:00 AM - 4:00 PM',Wed:  '9:00 AM - 4:00 PM',Thur:  '9:00 AM - 4:00 PM',Fri:  '9:00 AM - 5:30 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/fl/defuniak-springs/710/"," 'Defuniak Springs Hwy. 90 Ameris Bank Location',"," '138 US Hwy. 90 East',"," 'Defuniak Springs',"," 'FL',"," '32433',"," 'US',"," '710',"," '850.892.4862',","branch","30.736424239653","-86.1484580287874","Sun:  'Closed',Mon:  '9:00 AM - 4:00 PM',Tue:  '9:00 AM - 4:00 PM',Wed:  '9:00 AM - 4:00 PM',Thur:  '9:00 AM - 4:00 PM',Fri:  '9:00 AM - 5:00 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/fl/fleming-island/660/"," 'Fleming Island Eagle Harbor Pkwy. Ameris Bank Location',"," '1775 Eagle Harbor Parkway',"," 'Fleming Island',"," 'FL',"," '32003',"," 'US',"," '660',"," '904.264.8840',","branch","30.1049780470039","-81.7042871248544","Sun:  'Closed',Mon:  '9:00 AM - 5:00 PM',Tue:  '9:00 AM - 5:00 PM',Wed:  '9:00 AM - 5:00 PM',Thur:  '9:00 AM - 5:00 PM',Fri:  '9:00 AM - 5:00 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/fl/gainesville/166-GN/"," 'Gainesville 43rd Street Mortgage Only Ameris Bank Location',"," '2772 NW 43rd Street',"," 'Gainesville',"," 'FL',"," '32606',"," 'US',"," '166-GN',"," '352.333.9570',","branch","29.678462244898","-82.38896","Sun:  'Closed',Mon:  'By Appointment Only',Tue:  'By Appointment Only',Wed:  'By Appointment Only',Thur:  'By Appointment Only',Fri:  'By Appointment Only',Sat:  'By Appointment Only',"
"https://banks.amerisbank.com/fl/gainesville/452/"," 'Gainesville, FL Archer Road Ameris Bank Location',"," '7000 SW Archer Road',"," 'Gainesville',"," 'FL',"," '32608',"," 'US',"," '452',"," '352.264.2950',","branch","29.6012417525773","-82.4170221649484","Sun:  'Closed',Mon:  '9:00 AM - 4:00 PM',Tue:  '9:00 AM - 4:00 PM',Wed:  '9:00 AM - 4:00 PM',Thur:  '9:00 AM - 4:00 PM',Fri:  '9:00 AM - 5:30 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/fl/gainesville/455/"," 'Gainesville, FL Hunters Crossing Ameris Bank Location',"," '5010 NW 43rd Street',"," 'Gainesville',"," 'FL',"," '32606',"," 'US',"," '455',"," '352.264.7200',","branch","29.7003853333333","-82.3888773333333","Sun:  'Closed',Mon:  '9:00 AM - 4:00 PM',Tue:  '9:00 AM - 4:00 PM',Wed:  '9:00 AM - 4:00 PM',Thur:  '9:00 AM - 4:00 PM',Fri:  '9:00 AM - 5:30 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/fl/gainesville/454/"," 'Gainesville Main Street Ameris Bank Location',"," '3631 N. Main Street',"," 'Gainesville',"," 'FL',"," '32609',"," 'US',"," '454',"," '352.264.7250',","branch","29.6861680361305","-82.3193654117298","Sun:  'Closed',Mon:  '9:00 AM - 4:00 PM',Tue:  '9:00 AM - 4:00 PM',Wed:  '9:00 AM - 4:00 PM',Thur:  '9:00 AM - 4:00 PM',Fri:  '9:00 AM - 5:30 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/fl/gainesville/450/"," 'Gainesville Tower Center Ameris Bank Location',"," '305 NW 75th Street',"," 'Gainesville',"," 'FL',"," '32607',"," 'US',"," '450',"," '352.264.7275',","branch","29.6555292462312","-82.4224270854271","Sun:  'Closed',Mon:  '9:00 AM - 4:00 PM',Tue:  '9:00 AM - 4:00 PM',Wed:  '9:00 AM - 4:00 PM',Thur:  '9:00 AM - 4:00 PM',Fri:  '9:00 AM - 5:30 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/fl/high-springs/456/"," 'High Springs Ameris Bank Location',"," '18785 High Springs Main Street',"," 'High Springs',"," 'FL',"," '32643',"," 'US',"," '456',"," '386.454.1785',","branch","29.8291268","-82.5948455","Sun:  'Closed',Mon:  '9:00 AM - 4:00 PM',Tue:  '9:00 AM - 4:00 PM',Wed:  '9:00 AM - 4:00 PM',Thur:  '9:00 AM - 4:00 PM',Fri:  '9:00 AM - 5:30 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/fl/jacksonville/648/"," 'Jacksonville Beach Boulevard Ameris Bank Location',"," '14288 Beach Boulevard',"," 'Jacksonville',"," 'FL',"," '32250',"," 'US',"," '648',"," '904.416.3150',","branch","30.287805","-81.43969","Sun:  'Closed',Mon:  '9:00 AM - 4:00 PM',Tue:  '9:00 AM - 4:00 PM',Wed:  '9:00 AM - 4:00 PM',Thur:  '9:00 AM - 4:00 PM',Fri:  '9:00 AM - 5:00 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/fl/jacksonville/680/"," 'Jacksonville Mandarin Ameris Bank Location',"," '11100 San Jose Boulevard',"," 'Jacksonville',"," 'FL',"," '32223',"," 'US',"," '680',"," '904.288.8933',","branch","30.173383001652","-81.6285915557575","Sun:  'Closed',Mon:  '9:00 AM - 5:00 PM',Tue:  '9:00 AM - 5:00 PM',Wed:  '9:00 AM - 5:00 PM',Thur:  '9:00 AM - 5:00 PM',Fri:  '9:00 AM - 5:00 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/fl/jacksonville/163-JX/"," 'Jacksonville Mortgage Only Ameris Bank Location',"," '10611 Deerwood Park Blvd',"," 'Jacksonville',"," 'FL',"," '32256',"," 'US',"," '163-JX',"," '904.996.1020',","branch","30.2477145636319","-81.5392674401385","Sun:  'Closed',Mon:  '8:30 AM - 5:00 PM',Tue:  '8:30 AM - 5:00 PM',Wed:  '8:30 AM - 5:00 PM',Thur:  '8:30 AM - 5:00 PM',Fri:  '8:30 AM - 5:00 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/fl/jacksonville/665/"," 'Jacksonville Normandy Blvd. Ameris Bank Location',"," '8048 Normandy Boulevard',"," 'Jacksonville',"," 'FL',"," '32221',"," 'US',"," '665',"," '904.786.8224',","branch","30.2918755243854","-81.7828292154596","Sun:  'Closed',Mon:  '9:00 AM - 5:00 PM',Tue:  '9:00 AM - 5:00 PM',Wed:  '9:00 AM - 5:00 PM',Thur:  '9:00 AM - 5:00 PM',Fri:  '9:00 AM - 5:00 PM',Sat:  'Closed',"
"https://banks.amerisbank.com/fl/jacksonville/645/"," 'Jacksonville Ortega Ameris Bank Location',"," '4343 Roosevelt Boulevard',"," 'Jacksonville',"," 'FL',"," '32210',"," 'US',"," '645',"," '904.899.0400',","branch","30.2834882352941","-81.72015","Sun:  'Closed',Mon:  '9:00 AM - 4:00 PM',Tue:  '9:00 AM - 4:00 PM',Wed:  '9:00 AM - 4:00 PM',Thur:  '9:00 AM - 4:00 PM',Fri:  '9:00 AM - 5:00 PM',Sat:  'Closed',"
