"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"http://familyfoods.ca/store-locator/","Lucky Supermarket","10628 King George Blv","Surrey","BC","V3T 2X3","CA","<MISSING>","(604) 653-7663","<MISSING>","49.1958065","-122.8471264","<MISSING>"
"http://familyfoods.ca/store-locator/","Wellburns Family Foods","1058 Pandora Ave ","Victoria","BC","V8V 3P5","CA","<MISSING>","(250) 384-3543","<MISSING>","48.427313","-123.3556459","<MISSING>"
"http://familyfoods.ca/store-locator/","McMynn's Family Foods","630 Florence Street","Midway","BC","V0H 1M0","CA","<MISSING>","(250) 449-2242","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","Port Alice Family Foods","1071 Marine Drive","Port Alice","BC","V0N 2N0","CA","<MISSING>","(250) 284-6212","<MISSING>","50.4266325","-127.4894498","<MISSING>"
"http://familyfoods.ca/store-locator/","Beachside Market","4824 - 50 Avenue","Alberta Beach","Alberta","T0E 0A0","CA","<MISSING>","(780) 924-3155","<MISSING>","53.6768359","-114.3560047","<MISSING>"
"http://familyfoods.ca/store-locator/","Bassano Family Foods","333 2nd Ave","Bassano","Alberta","T0J 0B0","CA","<MISSING>","(403) 641-3553","<MISSING>","50.787335","-112.4718805","<MISSING>"
"http://familyfoods.ca/store-locator/","Breton Supermarket","4932 - 50 Avenue","Breton","AB","T0C 0P0","CA","<MISSING>","(780) 696-3933","<MISSING>","53.1102985","-114.473837","<MISSING>"
"http://familyfoods.ca/store-locator/","Breton Family Foods","5003 - 51 Street","Breton","Alberta","T0C 0P0","CA","<MISSING>","(780) 696-2441","<MISSING>","53.1094562","-114.4765268","<MISSING>"
"http://familyfoods.ca/store-locator/","L &amp; P Family Foods","1312 17th Ave SW","Calgary","Alberta","T2T 0C3","CA","<MISSING>","(403) 245-9131","<MISSING>","51.0379758","-114.0945651","<MISSING>"
"http://familyfoods.ca/store-locator/","Lucky Supermarket Family Foods","4527  8th Avenue SE ","Calgary","AB","T2A 0A7","CA","<MISSING>","(403) 569-0778","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","Lucky Supermarket Sunridge","3333 Sunridge Way","Calgary","Alberta","T1Y 7H5","CA","<MISSING>","(403) 717-0770","<MISSING>","51.0679458","-113.9908982","<MISSING>"
"http://familyfoods.ca/store-locator/","MRT (Mayland) Family Foods","817 - 19th Street NE ","Calgary","AB","T2E 4X5","CA","<MISSING>","(403) 216-8800","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","Food Fair Market Square","5015 - 50 Avenue","Castor","AB","T0C 0X0","CA","<MISSING>","(403) 882-3031","<MISSING>","52.2188883","-111.9067237","<MISSING>"
"http://familyfoods.ca/store-locator/","Food Market Coaldale","1903 - 20th Avenue","Coaldale","AB","T1M 1N1","CA","<MISSING>","(403) 345-4757","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","Consort Food Fair","4919 - 49 Street","Consort","AB","T0C 1B0","CA","<MISSING>","(403) 577-3566","<MISSING>","52.0073042","-110.7760779","<MISSING>"
"http://familyfoods.ca/store-locator/","Coronation Family Foods","4913 Royal Street ","Coronation","AB","T0C 1C0","CA","<MISSING>","(403) 578-3849","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","Daysland Family Foods","5020 50 Street","Daysland","AB","T0B 1A0","CA","<MISSING>","(780) 374-3941","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","Lucky 97 Market Family Foods","10725 - 97 Street NW","Edmonton","AB","T5H 2L9","CA","<MISSING>","(780) 424-8011","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","North Edmonton Lucky Supermarket","13851 - 127 Street NW","Edmonton","AB","T6V 1A8","CA","<MISSING>","(780) 476-2225","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","Evansburg Family Foods","5020 - 50TH ST. ","Evansburg","AB","T0E 0T0","CA","<MISSING>","(780) 727-4118","<MISSING>","53.6027968","-115.0215671","<MISSING>"
"http://familyfoods.ca/store-locator/","Strawson General Store","9 State Ave ","Fort Assiniboine","Alberta","T0G 1A0","CA","<MISSING>","(780) 584-3730","<MISSING>","54.3339882","-114.775839","<MISSING>"
"http://familyfoods.ca/store-locator/","Hansen's Family Foods","332 - 24th Street ","Fort MacLeod","AB","T0L 0Z0","CA","<MISSING>","(403) 553-4438","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","Gregoire Family Foods","<MISSING>","<MISSING>","AB","T9H 4K6","CA","<MISSING>","<MISSING>","<MISSING>","56.6773541","-111.3508635","<MISSING>"
"http://familyfoods.ca/store-locator/","Gleichen Family Foods","517 Main Street ","Gleichen","AB","T0J 1N0","CA","<MISSING>","(403) 734-2666","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","Kinuso Family Foods","225 Centre Street","Kinuso","AB","T0G 1K0","CA","<MISSING>","(780) 775-3699","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","Rimbey Family Foods","5053 - 50th Avenue","Rimbey","Alberta","T0C 2J0","CA","<MISSING>","(403) 843-2650","<MISSING>","52.639685","-114.2430273","<MISSING>"
"http://familyfoods.ca/store-locator/","Redcliff Family Foods","615 Broadway Ave. N","Redcliff","Alberta","T0J 2P0","CA","<MISSING>","(403) 504-0034","<MISSING>","50.077182","-110.7813957","<MISSING>"
"http://familyfoods.ca/store-locator/","Trochu Family Foods","P.O. BOX 639","<MISSING>","<MISSING>","<MISSING>","CA","<MISSING>","(403) 442-4313","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","Village Supermarket","5013 51 Street","Thorsby","AB","T0C 2P0","CA","<MISSING>","(780) 789-2132","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","McDonald’s Family Foods","#100-4400 Railway Avenue","Vermillion","AB","T9X 1G1","CA","<MISSING>","(780) 853-5333","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","Carlyle Family Foods","111 1 Street East","Carlyle","SK","S0C 0R0","CA","<MISSING>","(306) 453-2250","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","Esterhazy Family Foods","615 Main Street","Esterhazy","Saskatchewan","S0A 0X0","CA","<MISSING>","(306) 745-3987","<MISSING>","50.6579265","-102.0797255","<MISSING>"
"http://familyfoods.ca/store-locator/","Perras Family Foods","303 Railway Ave ","Glenavon","SK","S0G 1Y0","CA","<MISSING>","(306) 429-2144","<MISSING>","50.1952677","-103.142329","<MISSING>"
"http://familyfoods.ca/store-locator/","McDonald's Family Foods","316 Churchill Street","Hudson Bay","SK","S0E 0Y0","CA","<MISSING>","(306) 865-2552","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","Closes Family Foods","108  2nd Avenue West","Kindersley","SK","S0L 1S0","CA","<MISSING>","(306) 463-3088","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","Luseland Family Foods","703 Grand Ave","Luseland","SK","S0L 2A0","CA","<MISSING>","(306) 372-4223","<MISSING>","52.0807107","-109.3955622","<MISSING>"
"http://familyfoods.ca/store-locator/","Moosomin Family Foods","Box 857","Moosomin","SK","S0G 3N0","CA","<MISSING>","(306) 435-2725","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","Harold's Family Foods","200 28 Street East","Prince Albert","SK","S6V 1X2","CA","<MISSING>","(306) 922-3663","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://familyfoods.ca/store-locator/","Raymore Foods","123 Main Street","Raymore","SK","S0A 3J0","CA","<MISSING>","<MISSING>","<MISSING>","49.9541076","-97.1732613","<MISSING>"
"http://familyfoods.ca/store-locator/","Redvers Family Foods","6 Broadway Street","Redvers","SK","S0C 2H0","CA","<MISSING>","(306) 452-1002","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
