"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://gokwikstop.com/store-locator/","Kwik Stop/Family Mart","3201 Central Ave.","Dubuque","Iowa","52001","US","672","<INACCESSIBLE>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://gokwikstop.com/store-locator/","Kwik Stop","3340 John F. Kennedy Road","Dubuque","Iowa","52002","US","674","<INACCESSIBLE>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://gokwikstop.com/store-locator/","Kwik Stop","2360 Central Ave.","Dubuque","Iowa","52001","US","670","<INACCESSIBLE>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://gokwikstop.com/store-locator/","Kwik Stop","2335 University Ave.","Dubuque","Iowa","52001","US","684","<INACCESSIBLE>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://gokwikstop.com/store-locator/","Kwik Stop","2255 Kerper Boulevard","Dubuque","Iowa","52001","US","676","<INACCESSIBLE>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://gokwikstop.com/store-locator/","Kwik Stop 16th Street","1210 E 16th Street","Dubuque","Iowa","52001","US","668","<INACCESSIBLE>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://gokwikstop.com/store-locator/","Kwik Stop BP 16th Street","1215 E 16th Street","Dubuque","Iowa","52001","US","666","<INACCESSIBLE>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://gokwikstop.com/store-locator/","Kwik Stop","4039 Pennsylvania Ave.","Dubuque","Iowa","52002","US","682","<INACCESSIBLE>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://gokwikstop.com/store-locator/","Kwik Stop","2150 Twin Valley Drive","Dubuque","Iowa","52003","US","680","<INACCESSIBLE>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://gokwikstop.com/store-locator/","Kwik Stop","2320 Highway 61","Dubuque","Iowa","52003","US","678","<INACCESSIBLE>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
