"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.harpsfood.com/StoreLocator/","Harps Food Store #194","25 Highway 64","West Alma","AR","72921","US","194","(479) 632-2152","<MISSING>","35.4806313","-94.2229762","Hours of Operation:7 AM to 10 PM | Holiday Hours:Open on Thanksgiving 7 AM to 2 PM, Open until 7 PM Christmas Eve | Holidays Closed:Closed Christmas Day "
"https://www.harpsfood.com/StoreLocator/","Harps Food Store #139","232 Hwy 167","Bald Knob","AR","72010","US","139","(501) 724-2234","<MISSING>","35.3354576","-91.5611088","Hours of Operation:Mon-Sun 6 a.m. to 10 p.m. | Holiday Hours:Open Thanksgiving Day 7 AM to 2 PM. Open until 7 PM Christmas Eve | Holidays Closed:Christmas Day "
"https://www.harpsfood.com/StoreLocator/","Harps Food Store #143","1740 Batesville Blvd.","Batesville","AR","72501","US","143","(870) 251-4082","<MISSING>","35.7078","-91.6300984","Hours of Operation:6AM-10PM | Holiday Hours:Open on Thanksgiving 7 AM to 2 PM, Open until 7 PM Christmas Eve | Holidays Closed:Closed Christmas Day "
"https://www.harpsfood.com/StoreLocator/","Harps Food Store #175","404 Town Center NE","Bella Vista","AR","72714","US","175","(479) 855-1153","<MISSING>","36.477090","-94.247016","Hours of Operation:CLOSED for remodel - OPENING Fall 2019 | Holiday Hours:Open until 7 PM Christmas Eve | Holidays Closed:Closed Thanksgiving & Christmas Day "
"https://www.harpsfood.com/StoreLocator/","Harps Food Store #138","1515 Hwy 5","North Benton","AR","72015","US","138","(501) 794-0820","<MISSING>","34.577416","-92.590531","Hours of Operation:6 AM to 11 PM | Holiday Hours:Open on Thanksgiving 7 AM to 2 PM, Open until 7 PM Christmas Eve | Holidays Closed:Closed Christmas Day "
"https://www.harpsfood.com/StoreLocator/","Harps Food Store #127","1209 N. Walton Blvd","Bentonville","AR","72712","US","127","(479) 273-2245","<MISSING>","36.386863","-94.22220399999","Hours of Operation:Mon-Sun 6 a.m. to 11 p.m. | Pharmacy Hours:Mon-Fri 8 a.m. to 6 p.m.; Sat 9 a.m. to 2 p.m. Closed Sunday. Pharmacy Closed Most National Holidays. See store for details. | Holiday Hours:Open on Thanksgiving 7 AM to 2 PM, Open until 7 PM Christmas Eve | Holidays Closed:Closed Christmas Day "
"https://www.harpsfood.com/StoreLocator/","Harps Food Store #130","939 Central Blvd.","Bull Shoals","AR","72619","US","130","(870) 445-4791","<MISSING>","36.3838894","-92.5820716","Hours of Operation:7 AM to 10 PM | Holiday Hours:Open on Thanksgiving 7 AM to 2 PM,Open until 7 PM Christmas Eve | Holidays Closed:Closed Christmas Day "
"https://www.harpsfood.com/StoreLocator/","Harps Food Store #114","801 N. 2nd Street","Cabot","AR","72023","US","114","(501) 843-3515","<MISSING>","34.9797055","-92.0113159","Hours of Operation:Mon-Sun: 6 a.m. to 11 p.m. | Pharmacy Hours:9 AM to 7 PM Mon-Fri, 9 AM to 2 PM Sat, Closed Sun. Pharmacy Closed Most National Holidays. See store for details. | Holiday Hours:Open on Thanksgiving 7 AM to 2 PM, Open until 7 PM Christmas Eve | Holidays Closed:Closed Christmas Day "
"https://www.harpsfood.com/StoreLocator/","Harps Food Store #197","2002 Hwy 56","Calico Rock","AR","72519","US","197","(870) 297-8851","<MISSING>","36.1396604","-92.1247211","Hours of Operation:7 AM to 10 PM | Holiday Hours:Open on Thanksgiving 7 AM to 2 PM, Open until 7 PM Christmas Eve | Holidays Closed:Closed Christmas Day "
"https://www.harpsfood.com/StoreLocator/","Harps Food Store #122","710 West Centerton Blvd.","Centerton","AR","72719","US","122","(479) 795-0861","<MISSING>","36.3586005","-94.2916815","Hours of Operation:7 AM to 10 PM | Holiday Hours:Open on Thanksgiving 7 AM to 2 PM, Open until 7 PM Christmas Eve | Holidays Closed:Closed Christmas Day "
