"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://inglotcosmetics.com/stores","MACY'S PHEASANT","310 Daniel Webster Hwy","Nashua","NH","03060","US","432","<MISSING>","<MISSING>","42.701849321325376","-71.43669602268449","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S DOWNTOWN BOSTON","450 Washington Street","Boston","MA","02111","US","414","<MISSING>","<MISSING>","42.35500502800074","-71.06050838776628","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S CROSS COUNTY","800 Central Park Ave","Yonkers","NY","10704","US","436","<MISSING>","<MISSING>","40.92857658439414","-73.85559964907378","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S GARDEN STATE PLAZA NEW JERSEY","One Garden State Plaza","Paramus","NJ","07652","US","445","<MISSING>","<MISSING>","40.91763875467924","-74.07581949508915","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S QUEENS CENTER MALL","90-15 Queens Blvd","New York","NY","11373","US","438","<MISSING>","<MISSING>","40.73478074346487","-73.86947322268446","<MISSING>"
"https://inglotcosmetics.com/stores","INGLOT STORE TIMES SQUARE","1592 Broadway","New York","NY","10036","US","433","<MISSING>","<MISSING>","40.759801","-73.98460999999998","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S HERALD SQUARE","151 West 34th Street","New York","NY","10001","US","437","<MISSING>","<MISSING>","40.75088110457115","-73.98953816994054","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S BRIDGEWATER COMMONS","400 Commons Way","Bridgewater","New York","08807","US","702","<MISSING>","<MISSING>","40.58473074996326","-74.61866331520537","<MISSING>"
"https://inglotcosmetics.com/stores","MACY'S METRO CENTER","1201 G. Street N.W.","<MISSING>","WA","20005","US","703","<MISSING>","<MISSING>","38.898692998406126","-77.02904709154052","<MISSING>"
"https://inglotcosmetics.com/stores","INGLOT POTOMAC MILLS","2700 Potomac Mills Circle,","Woodbridge,","VA","22192","US","791","<MISSING>","<MISSING>","38.645328","-77.296063","<MISSING>"
