"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.katahdintrust.com/Locations-Hours","Ashland","17 Main Street PO Box 287","Ashland","ME","04732","US","<MISSING>","(207) 435-6461","ATM","<MISSING>","<MISSING>","Monday - Friday: 9:00 am - 4:00 pm | Monday - Thursday: 9:00 am - 4:00 pm Friday: 9:00 am - 5:00 pm Saturday: 9:00 am - Noon"
"https://www.katahdintrust.com/Locations-Hours","Bangor","Broadway Shopping Center 609 Broadway","Bangor","ME","04401","US","<MISSING>","(207) 942-3146","Drive-up ATM","<MISSING>","<MISSING>","Monday - Friday: 9:00 am - 4:00 pm | Monday - Friday: 8:00 am - 5:30 pm Saturday: 8:00 am - 1:00 pm"
"https://www.katahdintrust.com/Locations-Hours","Bangor Christmas Tree","Christmas Tree Shops Plaza 52 Springer Drive","Bangor","ME","04401","US","<MISSING>","(207) 947-9674","Drive-up ATM","<MISSING>","<MISSING>","Monday - Friday: 9:00 am - 4:00 pm | Monday - Friday: 8:00 am - 5:30 pm Saturday: 8:00 am - 1:00 pm"
"https://www.katahdintrust.com/Locations-Hours","Caribou","105 Bennett Drive","Caribou","ME","04736","US","<MISSING>","(207) 498-4200","Drive-up ATM","<MISSING>","<MISSING>","Monday - Thursday: 9:00 am - 4:00 pmFriday: 9:00 am - 5:00 pm | Monday - Thursday: 8:00 am - 5:00 pm Friday: 8:00 am - 6:00 pm Saturday: 8:00 am - noon"
"https://www.katahdintrust.com/Locations-Hours","Eagle Lake","3440 Aroostook Road PO Box 247","Eagle Lake","ME","04739","US","<MISSING>","(207) 444-5543","<MISSING>","<MISSING>","<MISSING>","Monday - Thursday: 9:00 am - 3:00 pmFriday: 9:00 am - 5:00 pm"
"https://www.katahdintrust.com/Locations-Hours","Fort Fairfield","290 Main Street PO Box 309","Fort Fairfield","ME","04742","US","<MISSING>","(207) 472-3161","ATM","<MISSING>","<MISSING>","Monday - Friday: 9:00 am - 4:00 pm | Friday: 4:00 pm - 5:00 pm Saturday: 9:00 am - Noon"
"https://www.katahdintrust.com/Locations-Hours","Fort Kent","79 West Main Street","Fort Kent","ME","04743","US","<MISSING>","(207) 834-2348","Drive-up ATM","<MISSING>","<MISSING>","Monday - Friday: 8:30 am - 4:00 pm | Monday - Thursday: 8:30 am - 5:00 pm Friday: 8:30 am - 6:00 pm Saturday: 9:00 am - Noon"
"https://www.katahdintrust.com/Locations-Hours","Hampden","57 Western Avenue PO Box 217","Hampden","ME","04444","US","<MISSING>","(207) 862-2211","Drive-up ATM","<MISSING>","<MISSING>","Monday - Friday: 9:00 am - 4:00 pm | Monday - Thursday: 8:00 am - 5:00 pm Friday: 8:00 am - 5:30 pm Saturday: 9:00 am - Noon"
"https://www.katahdintrust.com/Locations-Hours","Houlton","65 North Street PO Box 1017","Houlton","ME","04730","US","<MISSING>","(207) 532-4277","Drive-up ATM","<MISSING>","<MISSING>","Monday - Thursday: 9:00 am - 4:00 pmFriday: 9:00 am - 5:00 pm | Monday - Thursday: 7:30 am - 5:00 pm Friday: 7:30 am - 6:00 pm Saturday: 9:00 am - Noon"
"https://www.katahdintrust.com/Locations-Hours","Island Falls","1007 Crystal Road PO Box 310","Island Falls","ME","04747","US","<MISSING>","(207) 463-2228","ATM","<MISSING>","<MISSING>","Monday- Wednesday- Friday: Closed Tuesday- Thursday: 9:00 am - 3:00 pm | Saturday: 9:00 am - Noon"
"https://www.katahdintrust.com/Locations-Hours","Limestone ATM","35 Main Street","Limestone","ME","04750","US","<MISSING>","<MISSING>","Drive-up ATM","<MISSING>","<MISSING>","24/7"
"https://www.katahdintrust.com/Locations-Hours","Mars Hill","28 Main Street","Mars Hill","ME","04758","US","<MISSING>","(207) 429-8400","ATM","<MISSING>","<MISSING>","Monday - Friday: 9:00 am - 4:00 pm | Monday - Thursday: 8:30 am - 5:00 pm Friday: 8:30 am - 6:00 pm Saturday: 8:30 am - Noon"
"https://www.katahdintrust.com/Locations-Hours","Oakfield","200 Oakfield Smyrna Road PO Box 279","Oakfield","ME","04763","US","<MISSING>","(207) 757-8288","ATM","<MISSING>","<MISSING>","Monday- Wednesday: 9:00 am - 3:00 pm Tuesday- Thursday: Closed Friday: 9:00 am - 5:00 pm"
"https://www.katahdintrust.com/Locations-Hours","Patten","11 Main Street PO Box 450","Patten","ME","04765","US","<MISSING>","(207) 528-2211","ATM","<MISSING>","<MISSING>","Monday - Friday: 9:00 am - 4:00 pm | Friday: 4:00 pm - 5:00 pm Saturday: 9:00 am - Noon"
"https://www.katahdintrust.com/Locations-Hours","Presque Isle","6 North Street","Presque Isle","ME","04769","US","<MISSING>","(207) 764-8000","Drive-up ATM","<MISSING>","<MISSING>","Monday - Thursday: 9:00 am - 4:00 pm Friday: 9:00 am - 5:00 pm | Monday - Thursday: 8:00 am - 5:00 pm Friday: 8:00 am - 6:00 pm Saturday: 9:00 am - Noon"
"https://www.katahdintrust.com/Locations-Hours","Scarborough","144 US Route One","Scarborough","ME","04074","US","<MISSING>","(207) 510-7017","<MISSING>","<MISSING>","<MISSING>","Monday - Friday: 9:00 am - 4:00 pm"
"https://www.katahdintrust.com/Locations-Hours","Van Buren","29 Main Street","Van Buren","ME","04785","US","<MISSING>","(207) 868-2728","Drive-up ATM","<MISSING>","<MISSING>","Monday - Thursday: 9:00 am - 3:00 pm Friday: 9:00 am - 4:00 pm | Monday - Thursday: 8:30 am - 4:00 pm Friday: 8:30 am - 5:00 pm Saturday: 9:00 am - Noon"
"https://www.katahdintrust.com/Locations-Hours","Maine Financial Group","144 US Route One","Scarborough","ME","04074","US","<MISSING>","(207) 885-5900","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
