"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.lewisdrug.com/stores","Lewis Family Drug","1044 Main St.","Hull","IA","51239","US","<MISSING>","712-439-1611","<MISSING>","43.18856080","-96.13361970","Monday-Friday: 8 a.m. to 5:30 p.m.; Saturday: 9 a.m. to 1 p.m.; Sunday: Closed | Monday-Friday: 8 a.m. to 5:30 p.m.; Saturday: 9 a.m. to 1 p.m.; Sunday: Closed"
"https://www.lewisdrug.com/stores","Lewis Family Drug","401 Second St.","Ida Grove","IA","51445","US","<MISSING>","712-364-2120","<MISSING>","42.34506680","-95.46997580","Monday-Friday: 8 a.m. to 6 p.m.; Saturday: 9 a.m. to 1 p.m.; Sunday: Closed | Monday-Friday: 8 a.m. to 6 p.m.; Saturday: 9 a.m. to 1 p.m.; Sunday: Closed"
"https://www.lewisdrug.com/stores","Lewis Family Drug","7 W. Second St.","Kingsley","IA","51028","US","<MISSING>","712-378-2700","<MISSING>","42.58848390","-95.96786220","Monday-Friday: 8:30 a.m. to 5:30 p.m.; Saturday: Closed; Sunday: Closed | Monday-Friday: 8:30 a.m. to 5:30 p.m.; Saturday: Closed; Sunday: Closed"
"https://www.lewisdrug.com/stores","Lewis Family Drug","528 S 3rd St.","Moville","IA","51039","US","<MISSING>","712-873-3401","<MISSING>","42.48269080","-96.07061240","Mon-Fri: 8:30am - 5:30pm, Sat: 9:00am - 1:00pm, Closed Sunday | Mon-Fri: 8:30am - 5:30pm, Sat: 9:00am - 1:00pm, Closed Sunday"
"https://www.lewisdrug.com/stores","Lewis Family Drug","106 North Boone Street","Rock Rapids","IA","51246","US","<MISSING>","712-472-4044","<MISSING>","43.43244920","-96.17043090","Monday-Friday: 9 a.m. to 7 p.m.; Saturday: 9 a.m. to 3 p.m.; Sunday: Closed | Monday-Friday: 9 a.m. to 7 p.m.; Saturday: 9 a.m. to 3 p.m.; Sunday: Closed"
"https://www.lewisdrug.com/stores","Lewis Family Drug","402 S. Second Ave.","Rock Rapids","IA","51246","US","<MISSING>","712-472-4220","<MISSING>","43.43055900","-96.16969000","Monday-Friday: 9 a.m. to 6 p.m.; Saturday-Sunday: Closed | Monday-Friday: 9 a.m. to 6 p.m.; Saturday-Sunday: Closed"
"https://www.lewisdrug.com/stores","Lewis Family Drug","1319 10th St.","Rock Valley","IA","51247","US","<MISSING>","712-476-5171","<MISSING>","43.20033580","-96.29864610","Monday-Friday: 8 a.m. to 6 p.m.; Saturday: 9 a.m. to 2 p.m.; Sunday: Closed | Monday-Friday: 8 a.m. to 6 p.m.; Saturday: 9 a.m. to 2 p.m.; Sunday: Closed"
"https://www.lewisdrug.com/stores","Lewis Family Drug","610 Park St.","Sheldon","IA","51201","US","<MISSING>","712-324-4331","<MISSING>","43.18578440","-95.84731490","Monday: 8 a.m. to 7 p.m.; Tuesday-Friday: 8 a.m. to 6 p.m.; Saturday: 8 a.m. to 3 p.m.; Sunday: Closed | Monday: 8 a.m. to 7 p.m.; Tuesday-Friday: 8 a.m. to 6 p.m.; Saturday: 8 a.m. to 3 p.m.; Sunday: Closed"
"https://www.lewisdrug.com/stores","Lewis Family Drug","420 Second Ave.","Sibley","IA","51249","US","<MISSING>","712-754-3859","<MISSING>","43.40488540","-95.75147650","Monday-Friday: 8:30 a.m. to 5:30 p.m.; Saturday: 9 a.m. to 2 p.m.; Sunday: Closed | Monday-Friday: 8:30 a.m. to 5:30 p.m.; Saturday: 9 a.m. to 2 p.m.; Sunday: Closed"
"https://www.lewisdrug.com/stores","Lewis Family Drug","143 S. Main Ave.","Sioux Center","IA","51250","US","<MISSING>","712-722-2704","<MISSING>","43.07692280","-96.17575410","Monday-Friday: 9 a.m. to 6 p.m.; Saturday: 9 a.m. to 1 p.m.; Sunday: Closed | Monday-Friday: 9 a.m. to 6 p.m.; Saturday: 9 a.m. to 1 p.m.; Sunday: Closed"
