"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://lundsandbyerlys.com/our-stores/locations/","NORTHEAST MINNEAPOLIS","25 University Ave SE","Minneapolis","MN","55414","US","1","612-548-3820","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","DOWNTOWN MINNEAPOLIS","1201 Hennepin Ave","Minneapolis","MN","55403","US","10","612-379-5040","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","UPTOWN MINNEAPOLIS","1450 W Lake St","Minneapolis","MN","55408","US","2","(612) 825-2440","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","GOLDEN VALLEY","5725 Duluth Street","Golden Valley","MN","55422","US","3","763-544-8846","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","ST. LOUIS PARK","3777 Park Center Boulevard","St. Louis Park","MN","55416","US","16","952-929-2100","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","ROSEVILLE","1601 West County Road C","Roseville","MN","55113","US","18","651-633-6949","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","50TH STREET EDINA","3945 West 50th Street","Edina","MN","55424","US","8","952-926-6833","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","HIGHLAND PARK","2128 Ford Parkway","St. Paul","MN","55116","US","9","651-698-5845","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","RICHFIELD","6228 Penn Ave","South Richfield","MN","55423","US","6","612-861-1881","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","FRANCE AVENUE EDINA","7171 France Avenue South","Edina","MN","55435","US","21","952-831-3601","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","HWY 7 MINNETONKA","11400 Highway 7","Minnetonka","MN","55305","US","11","952-935-0198","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","DOWNTOWN ST. PAUL","115 East 10th Street","St. Paul","MN","55101","US","14","651-999-1600","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","RIDGEDALE","13081 Ridgedale Drive","Minnetonka","MN","55305","US","19","952-541-1414","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","PLYMOUTH","3455 Vicksburg Lane","Plymouth","MN","55447","US","13","763-268-1624","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","GLEN LAKE MINNETONKA","14400 Excelsior Blvd","Minnetonka","MN","55345","US","27","952-512-7700","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","WAYZATA","1151 Wayzata Boulevard","East Wayzata","MN","55391","US","15","952-476-2222","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","EAGAN","1299 Promenade Place","Eagan","MN","55121","US","22","651-686-9669","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","MAPLE GROVE","12880 Elm Creek Boulevard","Maple Grove","MN","55369","US","20","763-416-1611","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","BLOOMINGTON","5159 West 98th Street","Bloomington","MN","55437","US","7","952-896-0092","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","EDEN PRAIRIE","970 Prairie Center Drive","Eden Prairie","MN","55344","US","25","952-525-8000","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","WHITE BEAR LAKE","4630 Centerville Road","White Bear Lake","MN","55110","US","29","651-653-0000","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","WOODBURY","7050 Valley Creek Plaza","Woodbury","MN","55125","US","26","651-999-1200","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","CHANHASSEN","800 West 78th Street","Chanhassen","MN","55317","US","23","952-474-1298","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","BURNSVILLE","401 E. County Road 42","Burnsville","MN","55306","US","24","952-892-5600","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","NAVARRE","3333 Shoreline Drive","Wayzata","MN","55391","US","12","952-471-8473","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","PRIOR LAKE","16731 Highway 13","Prior Lake","MN","55372","US","5","952-440-3900","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
"https://lundsandbyerlys.com/our-stores/locations/","ST. CLOUD","2510 West Division Street","St. Cloud","MN","56301","US","17","320-252-4112","<MISSING>","<MISSING>","<MISSING>","6:00 am - 12:00 am"
