"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.masseyspizza.com/locations/","BEECHCROFT/RT. 161","1951 E. Dublin-Granville Rd.","BEECHCROFT","Ohio","<MISSING>","US","<MISSING>","(614) 888-0022","<MISSING>","40.0903889","-82.9694044","Sun-Thu: 11am-10pm | Fri & Sat: 11am-11pm"
"https://www.masseyspizza.com/locations/","GAHANNA","261 Lincoln Circle","GAHANNA","Ohio","<MISSING>","US","<MISSING>","(614) 416-4444","<MISSING>","40.0176083","-82.8750958","Sun-Thu: 11am-11pm | Fri & Sat: 11am-Midnight"
"https://www.masseyspizza.com/locations/","REYNOLDSBURG","7070 E. Main Street","REYNOLDSBURG","Ohio","<MISSING>","US","<MISSING>","(614)868-0690","<MISSING>","<MISSING>","<MISSING>","Sun-Thu: 11am-10pm | Fri & Sat: 11am-Midnight"
"https://www.masseyspizza.com/locations/","LANCASTER","1229 N. Memorial Dr.","LANCASTER","Ohio","<MISSING>","US","<MISSING>","(740) 653-6633","<MISSING>","39.7274719","-82.6146089","Sun-Thu: 11am-10pm | Fri & Sat: 11am-11pm"
"https://www.masseyspizza.com/locations/","SULLIVANT AVE.","2970 Sullivant Avenue","SULLIVANT AVE.","Ohio","<MISSING>","US","<MISSING>","(614) 358-3333","<MISSING>","39.9438018","-83.0800497","Sun-Thu: 11am-11pm | Fri & Sat: 11am-Midnight"
"https://www.masseyspizza.com/locations/","WESTERVILLE","399 S. State Street","WESTERVILLE","Ohio","<MISSING>","US","<MISSING>","(614) 882-6466","<MISSING>","40.1153043","-82.9304702","Sun-Thu: 11am-10pm | Fri & Sat: 11am-11pm"
"https://www.masseyspizza.com/locations/","PATASKALA","440 E. Broad St.","PATASKALA","Ohio","<MISSING>","US","<MISSING>","(740)-927-0786","<MISSING>","40.0064944","-82.6648511","Everyday: 11am-10pm"
"https://www.masseyspizza.com/locations/","POWELL","9838 Brewster Ln.","POWELL","Ohio","<MISSING>","US","<MISSING>","(614)-799-5777","<MISSING>","40.1546363","-83.0961791","Sun: Noon-10pm | Mon-Thu: 11am-10pm"
"https://www.masseyspizza.com/locations/","WHITEHALL","4464 E. Main Street","WHITEHALL","Ohio","<MISSING>","US","<MISSING>","(614) 559-2222","<MISSING>","40.0175483","-82.9429551","Sun-Thu: 11am-11pm | Fri & Sat: 11am-1am"
"https://www.masseyspizza.com/locations/","Pawleys Island/Litchfield","115 Willbrook BlvdUnit O","Pawleys Island","South Carolina","<MISSING>","US","<MISSING>","(843) 23-PIZZA","<MISSING>","33.4838211","-79.0983286","Sun-Thu: 11am-9pm | Fri & Sat: 11am-10pm"
"https://www.masseyspizza.com/locations/","CANAL WINCHESTER","6394 Gender Rd.Wal-Mart Center","CANAL WINCHESTER","<MISSING>","<MISSING>","US","<MISSING>","(614) 837-7777","<MISSING>","39.8515911","-82.8307473","Sun-Thu: 11am-10pm | Fri & Sat 11am-11pm"
"https://www.masseyspizza.com/locations/","GROVE CITY","4015 Parkmead Dr.","GROVE CITY","<MISSING>","<MISSING>","US","<MISSING>","(614) 277-3200","<MISSING>","39.8810928","-83.0656257","Sun-Thu: 11am-11pm | Fri & Sat: 11am-Midnight"
"https://www.masseyspizza.com/locations/","HEATH","Indian Mound Mall771 South 30th St Unit 121","HEATH","<MISSING>","<MISSING>","US","<MISSING>","(740)344-0444","<MISSING>","40.031882","-82.448465","Sun-Thu: 11am-11pm | Fri & Sat 11am-Midnight"
"https://www.masseyspizza.com/locations/","GRACELAND SHOPPING CENTER","152 Graceland Blvd.","CLINTONVILLE","<MISSING>","<MISSING>","US","<MISSING>","(614)505-6262","<MISSING>","40.0664579","-83.025701","Sun-Thu: 11am-10pm | Fri & Sat 11am-11pm"
