"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"http://www.redapplestores.com/locations.htm","Red Apple - Athabasca,AB","4820-50th Street","Athabasca","AB","T9S 1C9","CA","112","780-675-9755","<MISSING>","54.7191774","-113.2858061","Sunday-opens:10:00-closes:18:00|Monday-opens:09:00-closes:21:00|Tuesday-opens:09:00-closes:21:00|Wednesday-opens:09:00-closes:21:00|Thursday-opens:09:00-closes:21:00|Friday-opens:9:00-closes:21:00|Saturday-opens:9:00-closes:19:00"
"http://www.redapplestores.com/locations.htm","Red Apple - Barrhead,AB","4912-50th Avenue","Barrhead","AB","T7N 1A4","CA","107","780-674-9582","<MISSING>","54.1181875","-114.402905","Sunday-opens:10:00-closes:18:00|Monday-opens:9:00-closes:19:00|Tuesday-opens:9:00-closes:19:00|Wednesday-opens:9:00-closes:19:00|Thursday-opens:9:00-closes:19:00|Friday-opens:9:00-closes:21:00|Saturday-opens:9:00-closes:19:00"
"http://www.redapplestores.com/locations.htm","Red Apple - Beaverlodge,AB","105-10th Street","Beaverlodge","AB","T0H 0C0","CA","148","780-354-3162","<MISSING>","55.2096207","-119.4291994","Sunday-opens:10:00-closes:18:00|Monday-opens:9:00-closes:19:00|Tuesday-opens:9:00-closes:19:00|Wednesday-opens:9:00-closes:19:00|Thursday-opens:9:00-closes:19:00|Friday-opens:9:00-closes:21:00|Saturday-opens:9:00-closes:19:00"
"http://www.redapplestores.com/locations.htm","Red Apple - Blairmore,AB","11001-20 Ave.","Blairmore","AB","T0K 0E0","CA","9","403-562-8811","<MISSING>","49.6151369","-114.4601646","Sunday-opens:10:00-closes:18:00|Monday-opens:9:00-closes:21:00|Tuesday-opens:9:00-closes:21:00|Wednesday-opens:9:00-closes:21:00|Thursday-opens:9:00-closes:21:00|Friday-opens:9:00-closes:21:00|Saturday-opens:09:00-closes:20:00"
"http://www.redapplestores.com/locations.htm","Red Apple - Bonnyville,AB","4719 - 50th Avenue","Bonnyville","AB","T9N 1A6","CA","131","780-826-4906","<MISSING>","54.2679833","-110.7344382","Sunday-opens:10:00-closes:18:00|Monday-opens:9:00-closes:21:00|Tuesday-opens:9:00-closes:21:00|Wednesday-opens:9:00-closes:21:00|Thursday-opens:9:00-closes:21:00|Friday-opens:9:00-closes:21:00|Saturday-opens:9:00-closes:19:00"
"http://www.redapplestores.com/locations.htm","Red Apple - Cardston,AB","388 Main Street","Cardston","AB","T0K 0K0","CA","67","403-653-4661","<MISSING>","49.1971316","-113.3018129","Sunday-opens:10:00-closes:18:00|Monday-opens:9:00-closes:19:00|Tuesday-opens:9:00-closes:19:00|Wednesday-opens:9:00-closes:19:00|Thursday-opens:9:00-closes:19:00|Friday-opens:9:00-closes:21:00|Saturday-opens:9:00-closes:19:00"
"http://www.redapplestores.com/locations.htm","Red Apple - Claresholm,AB","139-49th Avenue West","Claresholm","AB","T0L 0T0","CA","32","403-625-2820","<MISSING>","50.0249084","-113.5838644","Sunday-opens:10:00-closes:18:00|Monday-opens:09:00-closes:20:00|Tuesday-opens:09:00-closes:20:00|Wednesday-opens:09:00-closes:20:00|Thursday-opens:09:00-closes:20:00|Friday-opens:9:00-closes:21:00|Saturday-opens:09:00-closes:20:00"
"http://www.redapplestores.com/locations.htm","Red Apple - Coaldale,AB","1701-20th Avenue","Coaldale","AB","T1M 1J7","CA","111","403-345-6805","<MISSING>","49.7275255","-112.6182302","Sunday-opens:10:00-closes:18:00|Monday-opens:09:00-closes:20:00|Tuesday-opens:09:00-closes:20:00|Wednesday-opens:09:00-closes:20:00|Thursday-opens:09:00-closes:20:00|Friday-opens:9:00-closes:21:00|Saturday-opens:09:00-closes:20:00"
"http://www.redapplestores.com/locations.htm","Red Apple - Fairview,AB","10104 - 110th Street","Fairview","AB","T0H 1L0","CA","124","780-835-2895","<MISSING>","56.0658794","-118.3843646","Sunday-opens:10:00-closes:18:00|Monday-opens:9:00-closes:19:00|Tuesday-opens:9:00-closes:19:00|Wednesday-opens:9:00-closes:19:00|Thursday-opens:9:00-closes:19:00|Friday-opens:9:00-closes:21:00|Saturday-opens:9:00-closes:19:00"
"http://www.redapplestores.com/locations.htm","Red Apple - Falher,AB","205 Main Street S.W.","Falher","AB","T0H 1M0","CA","33","780-837-2022","<MISSING>","55.7350503","-117.2018766","Sunday-opens:10:00-closes:18:00|Monday-opens:9:00-closes:19:00|Tuesday-opens:9:00-closes:19:00|Wednesday-opens:9:00-closes:19:00|Thursday-opens:9:00-closes:19:00|Friday-opens:9:00-closes:21:00|Saturday-opens:9:00-closes:19:00"
"http://www.redapplestores.com/locations.htm","Red Apple - Fort Macleod,AB","554-24th St.","Fort Macleod","AB","T0L 0Z0","CA","39","403-553-2874","<MISSING>","49.7255227","-113.397691","Sunday-opens:10:00-closes:18:00|Monday-opens:09:00-closes:20:00|Tuesday-opens:09:00-closes:20:00|Wednesday-opens:09:00-closes:20:00|Thursday-opens:09:00-closes:20:00|Friday-opens:9:00-closes:21:00|Saturday-opens:09:00-closes:20:00"
"http://www.redapplestores.com/locations.htm","Red Apple - Grande Cache,AB","1615 Pine Plaza","Grande Cache","AB","T0E 0Y0","CA","133","780-827-2073","<MISSING>","53.888685","-119.1140219","Sunday-opens:10:00-closes:18:00|Monday-opens:9:00-closes:19:00|Tuesday-opens:9:00-closes:19:00|Wednesday-opens:9:00-closes:19:00|Thursday-opens:9:00-closes:19:00|Friday-opens:9:00-closes:21:00|Saturday-opens:9:00-closes:19:00"
"http://www.redapplestores.com/locations.htm","Red Apple - Grimshaw,AB","5001-54th Ave","Grimshaw","AB","T0H 1W0","CA","10","780-332-4762","<MISSING>","56.1908376","-117.6082232","Sunday-opens:10:00-closes:18:00|Monday-opens:09:00-closes:21:00|Tuesday-opens:09:00-closes:21:00|Wednesday-opens:09:00-closes:21:00|Thursday-opens:09:00-closes:21:00|Friday-opens:9:00-closes:21:00|Saturday-opens:9:00-closes:19:00"
"http://www.redapplestores.com/locations.htm","Red Apple - High Level,AB","10200-100th Ave","High Level","AB","T0H 1Z0","CA","15","780-926-4669","<MISSING>","58.5196544","-117.1351313","Sunday-opens:10:00-closes:18:00|Monday-opens:09:00-closes:21:00|Tuesday-opens:09:00-closes:21:00|Wednesday-opens:09:00-closes:21:00|Thursday-opens:09:00-closes:21:00|Friday-opens:09:00-closes:21:00|Saturday-opens:9:00-closes:19:00"
"http://www.redapplestores.com/locations.htm","Red Apple - High Prairie,AB","5000 53rd Avenue Libin Mall","High Prairie","AB","T0G 1E0","CA","125","780-523-9950","<MISSING>","55.4328776","-116.4963884","Sunday-opens:10:00-closes:18:00|Monday-opens:9:00-closes:21:00|Tuesday-opens:9:00-closes:21:00|Wednesday-opens:9:00-closes:21:00|Thursday-opens:9:00-closes:21:00|Friday-opens:9:00-closes:21:00|Saturday-opens:9:00-closes:19:00"
"http://www.redapplestores.com/locations.htm","Red Apple - Innisfail,AB","4804 50 Street Unit# 114-117","Innisfail","AB","T4G 1C2","CA","93","403-227-2777","<MISSING>","52.0287502","-113.946341","Sunday-opens:10:00-closes:18:00|Monday-opens:9:00-closes:19:00|Tuesday-opens:9:00-closes:19:00|Wednesday-opens:9:00-closes:19:00|Thursday-opens:9:00-closes:19:00|Friday-opens:9:00-closes:21:00|Saturday-opens:9:00-closes:19:00"
"http://www.redapplestores.com/locations.htm","Red Apple - La Crete,AB","10402 - 100 Street","La Crete","AB","T0H 2H0","CA","46","780-928-4004","<MISSING>","58.1912638","-116.404452","Sunday-opens:00:00-closes:00:00|Monday-opens:9:00-closes:19:00|Tuesday-opens:9:00-closes:19:00|Wednesday-opens:9:00-closes:19:00|Thursday-opens:9:00-closes:19:00|Friday-opens:9:00-closes:21:00|Saturday-opens:9:00-closes:19:00"
