"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"http://saharapizza.com/store_locations.htm","Bellevue ","8425 SE 68th St","Mercer Island","WA","98040","US","<MISSING>","425-269-4433","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://saharapizza.com/store_locations.htm","Black Diamond","31525 3rd Ave","Black Diamond","WA","98010","US","<MISSING>","360-886-2222","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://saharapizza.com/store_locations.htm","Chehalis","109 N. Market Blvd","Chehalis","WA","98532","US","<MISSING>","360-740-0600","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://saharapizza.com/store_locations.htm","Fall City","33723 Redmond-Fall City Rd","Fall City","WA","98024","US","<MISSING>","425-222-0700","<MISSING>","<MISSING>","<MISSING>","Sunday-Thursday 11am-9pm Friday-Saturday 11am-10pm"
"http://saharapizza.com/store_locations.htm","Lake Stevens ","12405 20th St NE","Lake Stevens","WA","98258","US","<MISSING>","425-335-5000","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://saharapizza.com/store_locations.htm","Mercer Island","8425 SE 68th St","Mercer Island","WA","98040","US","<MISSING>","206-232-9800","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://saharapizza.com/store_locations.htm","Monroe","349 Butler Street","Monroe","WA","98272","US","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://saharapizza.com/store_locations.htm","NapavineLocal Website","114 Alder Ave NW","Napavine","WA","98565","US","<MISSING>","360-262-0400","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://saharapizza.com/store_locations.htm","Seattle, Downtown ","8425 SE 68th St","Mercer Island","WA","98040","US","<MISSING>","425-269-4433","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://saharapizza.com/store_locations.htm","Snoqualmie","7940 Railroad Ave","Snoqualmie","WA","98065","US","<MISSING>","425-888-2300","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://saharapizza.com/store_locations.htm","Stanwood ","27018 102nd NW","Stanwood","WA","98292","US","<MISSING>","360-629-6886","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://saharapizza.com/store_locations.htm","Sultan","613 Stevens Ave","Sultan","WA","98294","US","<MISSING>","360-863-3637","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://saharapizza.com/store_locations.htm","Winlocklocal website","613 Stevens Ave","Sultan","WA","<MISSING>","US","<MISSING>","360-785-2030","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://saharapizza.com/store_locations.htm","Cle Elum","212 East 1st St","Cle Elum","WA","98922","US","<MISSING>","509-674-5444","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://saharapizza.com/store_locations.htm","Pasco","212 East 1st St","Cle Elum","WA","98922","US","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://saharapizza.com/store_locations.htm","AstoriaDownload Menu","740 Astor St.","Astoria","OR","97103","US","<MISSING>","503-325-0500","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://saharapizza.com/store_locations.htm","The Dalles","918 West 6th St","The Dalles","OR","97058","US","<MISSING>","541-296-0099","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
