"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.sephora.com/happening/storelist","Birmingham","205 Summit Blvd","Birmingham","AL","35243","US","0124","(205)969-4848","<MISSING>","33.44","-86.728","Mon - Sat:10AM - 9PM | Sun:12PM - 6PM"
"https://www.sephora.com/happening/storelist","Riverchase Galleria","2000 Riverchase Galleria","Hoover","AL","35244","US","0140","(205) 403-9920","<MISSING>","33.37","-86.808","Mon - Sat:10AM - 9PM | Sun:12PM - 6PM"
"https://www.sephora.com/happening/storelist","Huntsville","335 The Bridge St","Huntsville","AL","35806","US","0724","(256) 327-8737","<MISSING>","34.71","-86.674","Mon - Sat:10AM - 9PM | Sun:12PM - 7PM"
"https://www.sephora.com/happening/storelist","5TH AVE MALL","320 W. 5th Ave","Anchorage","AK","99501","US","0788","(907) 277-7700","<MISSING>","61.21","-149.888","Mon - Fri:10AM-9PM | Sat:10AM-8PM | Sun:11AM-6PM"
"https://www.sephora.com/happening/storelist","Chandler Fashion Center","3111 W. Chandler Blvd","Chandler","AZ","85226","US","0288","(480) 726-7733","<MISSING>","33.30","-111.898","Mon - Sat:10AM - 9PM | Sun:11AM - 6PM"
"https://www.sephora.com/happening/storelist","San Tan Village","2206 E Williams Field Rd","Gilbert","AZ","85295","US","0168","(480) 917-4555","<MISSING>","33.3","-111.743","Mon - Sat:10AM - 9PM | Sun:11AM - 6PM"
"https://www.sephora.com/happening/storelist","Arrowhead Towne Center","7700 W Arrowhead Towne Center","Glendale","AZ","85308","US","0094","(623) 334-8700","<MISSING>","33.64","-112.225","Mon - Sat:10AM - 9PM | Sun:11AM - 6PM"
"https://www.sephora.com/happening/storelist","Dana Park","1822 S Val Vista Dr Suite 106  ","Mesa","AZ","85204","US","1258","<MISSING>","<MISSING>","33.3","-111.76","<MISSING>"
"https://www.sephora.com/happening/storelist","Biltmore","2502 E. Camelback Rd. ","Phoenix","AZ","85016","US","0016","(602) 957-9400","<MISSING>","33.5","-112.026","Mon - Sat:10AM - 8PM | Sun:12PM - 6PM"
"https://www.sephora.com/happening/storelist","Scottsdale Fashion Center","7014 East Camelback Rd","Scottsdale","AZ","85251","US","0364","(480) 945-0100","<MISSING>","33.50","-111.929","Mon - Sat:10AM - 9PM | Sun:11AM - 6PM"
