"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.simplyss.com","Simply Self Storage Cypress CA","9141 Valley View St","Cypress","CA","90630","US		","<MISSING>","+1 (714) 729-4070","<MISSING>","33.829637","-118.028741	","Mo- Tu- We- Th- Fr 9:30AM-6:00PM Sa 8:30AM-5:00PM Su 8:30AM-5:00PM"
"https://www.simplyss.com","Simply Self Storage Orange","1600 North Glassell Street","Orange","CA","92867","US		","<MISSING>","+1 (714) 729-4071","<MISSING>","33.813732","-117.853460	","Mo- Tu- We- Th- Fr 9:30AM-6:00PM Sa 8:30AM-5:00PM Su 8:30AM-5:00PM"
"https://www.simplyss.com","Simply Self Storage Santa Fe Springs","13461 Rosecrans Avenue","Santa Fe Springs","CA","90670","US		","<MISSING>","+1 (562) 320-5045","<MISSING>","33.902634","-118.044572	","Mo- Tu- We- Th- Fr 9:30AM-6:00PM Sa 8:30AM-5:00PM Su 8:30AM-5:00PM"
"https://www.simplyss.com","Simply Self Storage Altamonte Springs","510 Douglas Avenue","Altamonte Springs","FL","32714","US		","<MISSING>","+1 (407) 865-7011","<MISSING>","28.669475","-81.391428	","Mo- Tu- We- Th- Fr 9:30AM-6:00PM Sa 8:30AM-5:00PM Su 10:00AM-2:00PM"
"https://www.simplyss.com","Simply Self Storage Cocoa W. King St.","2845 W. King Street","Cocoa","FL","32926","US		","<MISSING>","+1 (321) 639-3450","<MISSING>","28.354975","-80.776280	","Mo- Tu- We- Th- Fr 9:30AM-6:00PM Sa 8:30AM-5:00PM Su 10:00AM-2:00PM"
"https://www.simplyss.com","Simply Self Storage Ensley / Pensacola","1835 E. Olive Road","Pensacola","FL","32514","US		","<MISSING>","+1 (850) 497-6555","<MISSING>","30.509880","-87.222795	","Mo- Tu- We- Th- Fr 9:30AM-6:00PM Sa 8:30AM-5:00PM Su 10:00AM-2:00PM"
"https://www.simplyss.com","Simply Self Storage Gibsonton","12704 S US Highway 41","Gibsonton","FL","33534","US		","<MISSING>","+1 (813) 667-6002","<MISSING>","27.810983","-82.383854	","Mo- Tu- We- Th- Fr 9:30AM-6:00PM Sa 8:30AM-5:00PM Su 10:00AM-2:00PM"
"https://www.simplyss.com","Simply Self Storage Lake Nona","7628 Narcoossee Road","Orlando","FL","32822","US		","<MISSING>","+1 (407) 207-3335","<MISSING>","28.456929","-81.273287	","Mo- Tu- We- Th- Fr 9:30AM-6:00PM Sa 8:30AM-5:00PM Su 10:00AM-2:00PM"
"https://www.simplyss.com","Simply Self Storage Land O Lakes","22831 Preakness Blvd","Land O Lakes","FL","34639","US		","<MISSING>","+1 (813) 242-7867","<MISSING>","28.190130","-82.438132	","Mo- Tu- We- Th- Fr 9:30AM-6:00PM Sa 8:30AM-5:00PM Su Closed"
"https://www.simplyss.com","Simply Self Storage Naples","1361 Airport Road South","Naples","FL","34104","US		","<MISSING>","+1 (239) 530-7870","<MISSING>","26.139534","-81.766052	","Mo- Tu- We- Th- Fr 9:30AM-6:00PM Sa 8:30AM-5:00PM Su 8:30AM-5:00PM"
"https://www.simplyss.com","Simply Self Storage Navarre","9546 Navarre Parkway","Navarre","FL","32566","US		","<MISSING>","+1 (850) 936-8500","<MISSING>","30.411626","-86.822368	","Mo- Tu- We- Th- Fr 9:30AM-6:00PM Sa 8:30AM-5:00PM Su 10:00AM-2:00PM"
"https://www.simplyss.com","Simply Self Storage Ormond Beach","610 S. Yonge Street","Ormond Beach","FL","32174","US		","<MISSING>","+1 (386) 615-1266","<MISSING>","29.267116","-81.055317	","Mo- Tu- We- Th- Fr 9:30AM-6:00PM Sa 8:30AM-5:00PM Su 10:00AM-2:00PM"
