"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Mobile","516 Springhill Plaza Court ","Mobile","AL","36608","US","30363","+1-251-272-7240","<MISSING>","30.70427","-88.124212   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Montgomery","2060 Eastern Boulevard ","Montgomery","AL","36117","US","09978","+1-334-245-4684","<MISSING>","32.35338","-86.221260   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Tuscaloosa","4918 Skyland Blvd. E. ","Tuscaloosa","AL","35405","US","19173","+1-205-632-7404","<MISSING>","33.17639","-87.471091   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Page Lake Powell","671 Scenic View Rd ","Page","AZ","86040","US","49601","+1-928-484-1115","<MISSING>","36.92235","-111.474705   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Yuma","1760 Sunridge Drive ","Yuma","AZ","85365-2029","US","30539","+1-928-783-1400","<MISSING>","32.69559","-114.603242   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Bentonville Airport","7400 SouthWest Old Farm Blvd ","Bentonville","AR","72712","US","30353","+1-479-250-0361","<MISSING>","36.30180","-94.306432   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Little Rock","1212 South Shackleford Road ","Little Rock","AR","72211","US","30054","+1-501-712-3618","<MISSING>","34.74224","-92.394549   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham North Little Rock","4801 West Commercial Drive ","North Little Rock","AR","72116-7084","US","47907","+1-501-725-0491","<MISSING>","34.79813","-92.220398   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Los Angeles International Airport LAX","10300 La Cienega Blvd ","Inglewood","CA","90304","US","35786","+1-310-846-8324","<MISSING>","33.94258","-118.369591   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham San Jose","5190 Cherry Avenue ","San Jose","CA","95118","US","50620","+1-408-266-3535","<MISSING>","37.25652","-121.870601   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Denver Airport","6670 Yampa Street ","Denver","CO","80249","US","50092","+1-303-371-5959","<MISSING>","39.81832","-104.774390   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Greenwood Village/Denver Tech","8000 East Peakview Avenue ","Greenwood Village","CO","80111","US","13222","+1-303-626-2641","<MISSING>","39.59830","-104.895400   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Loveland","5360 Ronald Reagan Blvd ","Johnstown","CO","80534","US","47347","+1-970-729-8763","<MISSING>","40.40359","-104.964279   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Pueblo","4711 North Elizabeth ","Pueblo","CO","81008","US","08698","+1-719-586-9000","<MISSING>","38.32112","-104.618973   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Destin","117 Palm Street ","Destin","FL","32541","US","30308","+1-850-502-8968","<MISSING>","30.38930","-86.475713   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Miami Airport","3755 NW 78th Avenue ","Doral","FL","33166","US","48091","+1-786-749-7799","<MISSING>","25.80835","-80.322968   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Kissimmee at Celebration","3104 Parkway Blvd ","Kissimmee","FL","34747","US","52110","+1-407-997-9999","<MISSING>","28.34188","-81.535810   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Panama City Area Lynn Haven","2610 Lynn Haven Parkway ","Lynn Haven","FL","32444","US","30377","+1-850-248-8080","<MISSING>","30.20230","-85.652681   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Convention Ctr Closest Universal Orlando","5661 Windhover Drive ","Orlando","FL","32819","US","08947","+1-407-226-0900","<MISSING>","28.48684","-81.457382   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Orlando International Airport","5750 Hazeltine National Drive ","Orlando","FL","32822","US","12850","+1-407-826-5258","<MISSING>","28.46300","-81.308899   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Tampa/At USF","3751 East Fowler Ave ","Tampa","FL","33612","US","08894","+1-813-867-2878","<MISSING>","28.05424","-82.417039   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Albany","2735 Dawson Rd ","Albany","GA","31707","US","09852","+1-229-518-6521","<MISSING>","31.62069","-84.226588   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Alpharetta","1005 Kingswood Place ","Alpharetta","GA","30004-4731","US","07634","+1-770-649-0955","<MISSING>","34.03949","-84.323318   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Athens Near Downtown","255 North Ave ","Athens","GA","30601-2279","US","49471","+1-706-995-4000","<MISSING>","33.97270","-83.365811   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Atlanta Galleria/Ballpark","2762 Cobb Parkway Southeast ","Atlanta","GA","30339","US","30343","+1-678-813-1915","<MISSING>","33.88543","-84.471347   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Atlanta/Buckhead","3600 Piedmont Road Northeast ","Atlanta","GA","30305","US","10056","+1-404-692-6685","<MISSING>","33.85256","-84.381485   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Duluth/Atlanta","3450 Venture Pkwy ","Atlanta - Duluth","GA","30096","US","07932","+1-770-622-7277","<MISSING>","33.95549","-84.126633   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Augusta Washington Road","2650C Center West Pkwy ","Augusta","GA","30909","US","50891","+1-706-481-8849","<MISSING>","33.51261","-82.037827   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Augusta/Fort Gordon","2123 Noland Connector ","Augusta","GA","30909","US","30176","+1-706-550-6548","<MISSING>","33.44897","-82.078079   ","<MISSING>"
"https://www.wyndhamhotels.com/wingate/locations","Wingate by Wyndham Atlanta/Six Flags Austell","65 South Service Road ","Austell","GA","30168","US","30160","+1-770-988-6309","<MISSING>","33.77226","-84.554749   ","<MISSING>"
