locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation
https://www.aubonpain.com/stores/all-stores,Auburn University (Franchise),120 PO Davis Drive,Auburn,AL,36849,US,<MISSING>,334-224-1027,<MISSING>,32.6019, -85.4868,"{""Day"":""Sunday"",""Open"":""Closed"",""Close"":""Closed""},{""Day"":""Monday"",""Open"":""7:30 AM"",""Close"":""3:00 PM""},{""Day"":""Tuesday"",""Open"":""7:30 AM"",""Close"":""3:00 PM""},{""Day"":""Wednesday"",""Open"":""7:30 AM"",""Close"":""3:00 PM""},{""Day"":""Thursday"",""Open"":""7:30 AM"",""Close"":""3:00 PM""},{""Day"":""Friday"",""Open"":""7:30 AM"",""Close"":""3:00 PM""},{""Day"":""Saturday"",""Open"":""Closed"",""Close"":""Closed""}"
https://www.aubonpain.com/stores/all-stores,University of Alabama (UAB),1802 6th Avenue South,Birmingham,AL,35233,US,<MISSING>,205-558-4230,<MISSING>,33.5066461, -86.8030955,"{""Day"":""Sunday"",""Open"":""6:00 AM"",""Close"":""10:00 PM""},{""Day"":""Monday"",""Open"":""5:00 AM"",""Close"":""12:00 AM""},{""Day"":""Tuesday"",""Open"":""5:00 AM"",""Close"":""12:00 AM""},{""Day"":""Wednesday"",""Open"":""5:00 AM"",""Close"":""12:00 AM""},{""Day"":""Thursday"",""Open"":""5:00 AM"",""Close"":""12:00 AM""},{""Day"":""Friday"",""Open"":""5:00 AM"",""Close"":""12:00 AM""},{""Day"":""Saturday"",""Open"":""6:00 AM"",""Close"":""10:00 PM""}"
https://www.aubonpain.com/stores/all-stores,Mobile Infirmary (Franchise),5 Mobile Infirmary Circle,Mobile,AL,36607,US,<MISSING>,251-435-7222,<MISSING>,30.6963, -88.0798,"{""Day"":""Sunday"",""Open"":""6:00 AM"",""Close"":""2:00 PM""},{""Day"":""Monday"",""Open"":""6:00 AM"",""Close"":""2:00 PM""},{""Day"":""Tuesday"",""Open"":""6:00 AM"",""Close"":""2:00 PM""},{""Day"":""Wednesday"",""Open"":""6:00 AM"",""Close"":""2:00 PM""},{""Day"":""Thursday"",""Open"":""6:00 AM"",""Close"":""2:00 PM""},{""Day"":""Friday"",""Open"":""6:00 AM"",""Close"":""2:00 PM""},{""Day"":""Saturday"",""Open"":""6:00 AM"",""Close"":""2:00 PM""}"
https://www.aubonpain.com/stores/all-stores,University of Arkansas (Franchise),435 N. Garland (ARKU 209),Fayetteville,AR,72701,US,<MISSING>,580-748-1648,<MISSING>,36.0685, -94.1753,"{""Day"":""Sunday"",""Open"":""11:00 AM"",""Close"":""8:00 PM""},{""Day"":""Monday"",""Open"":""7:00 AM"",""Close"":""10:00 PM""},{""Day"":""Tuesday"",""Open"":""7:00 AM"",""Close"":""10:00 PM""},{""Day"":""Wednesday"",""Open"":""7:00 AM"",""Close"":""10:00 PM""},{""Day"":""Thursday"",""Open"":""7:00 AM"",""Close"":""10:00 PM""},{""Day"":""Friday"",""Open"":""7:00 AM"",""Close"":""10:00 PM""},{""Day"":""Saturday"",""Open"":""8:00 AM"",""Close"":""6:00 PM""}"
https://www.aubonpain.com/stores/all-stores,University of California Irvine (Franchise),4290 Pereira Dr. suite 1128,Irvine,CA,92697,US,<MISSING>,949-824-0492,<MISSING>,33.6469, -117.8377,"{""Day"":""Sunday"",""Open"":""Closed"",""Close"":""Closed""},{""Day"":""Monday"",""Open"":""7:30 AM"",""Close"":""5:00 PM""},{""Day"":""Tuesday"",""Open"":""7:30 AM"",""Close"":""5:00 PM""},{""Day"":""Wednesday"",""Open"":""7:30 AM"",""Close"":""5:00 PM""},{""Day"":""Thursday"",""Open"":""7:30 AM"",""Close"":""5:00 PM""},{""Day"":""Friday"",""Open"":""7:30 AM"",""Close"":""2:00 PM""},{""Day"":""Saturday"",""Open"":""Closed"",""Close"":""Closed""}"
https://www.aubonpain.com/stores/all-stores,UCLA (Franchise),10833 Le Conte Ave,Los Angeles,CA,90095,US,<MISSING>,310-825-6610,<MISSING>,34.0637, -118.4426,"{""Day"":""Sunday"",""Open"":""Closed"",""Close"":""Closed""},{""Day"":""Monday"",""Open"":""7:00 AM"",""Close"":""3:00 PM""},{""Day"":""Tuesday"",""Open"":""7:00 AM"",""Close"":""3:00 PM""},{""Day"":""Wednesday"",""Open"":""7:00 AM"",""Close"":""3:00 PM""},{""Day"":""Thursday"",""Open"":""7:00 AM"",""Close"":""3:00 PM""},{""Day"":""Friday"",""Open"":""7:00 AM"",""Close"":""3:00 PM""},{""Day"":""Saturday"",""Open"":""Closed"",""Close"":""Closed""}"
https://www.aubonpain.com/stores/all-stores,West Farms Mall,Space # E-117,Farmington,CT,06032,US,<MISSING>,860-521-5319,<MISSING>,41.7239, -72.7629,"{""Day"":""Sunday"",""Open"":""9:00 AM"",""Close"":""6:00 PM""},{""Day"":""Monday"",""Open"":""9:00 AM"",""Close"":""9:00 PM""},{""Day"":""Tuesday"",""Open"":""9:00 AM"",""Close"":""9:00 PM""},{""Day"":""Wednesday"",""Open"":""9:00 AM"",""Close"":""9:00 PM""},{""Day"":""Thursday"",""Open"":""9:00 AM"",""Close"":""9:00 PM""},{""Day"":""Friday"",""Open"":""9:00 AM"",""Close"":""9:00 PM""},{""Day"":""Saturday"",""Open"":""9:00 AM"",""Close"":""9:00 PM""}"
https://www.aubonpain.com/stores/all-stores,Quinnipiac University (Franchise),275 Mt. Carmel Avenue,Hamden,CT,06518,US,<MISSING>,203-582-8250,<MISSING>,41.4198, -72.8947,"{""Day"":""Sunday"",""Open"":""Closed"",""Close"":""Closed""},{""Day"":""Monday"",""Open"":""8:00 AM"",""Close"":""10:00 PM""},{""Day"":""Tuesday"",""Open"":""8:00 AM"",""Close"":""10:00 PM""},{""Day"":""Wednesday"",""Open"":""8:00 AM"",""Close"":""10:00 PM""},{""Day"":""Thursday"",""Open"":""8:00 AM"",""Close"":""10:00 PM""},{""Day"":""Friday"",""Open"":""8:00 AM"",""Close"":""4:00 PM""},{""Day"":""Saturday"",""Open"":""Closed"",""Close"":""Closed""}"
https://www.aubonpain.com/stores/all-stores,Hartford Hospital,80 Seymour Street,Hartford,CT,06102,US,<MISSING>,860-241-8260,<MISSING>,41.7542, -72.6793,"{""Day"":""Sunday"",""Open"":""Open 24 Hrs"",""Close"":""Open 24 Hrs""},{""Day"":""Monday"",""Open"":""Open 24 Hrs"",""Close"":""Open 24 Hrs""},{""Day"":""Tuesday"",""Open"":""Open 24 Hrs"",""Close"":""Open 24 Hrs""},{""Day"":""Wednesday"",""Open"":""Open 24 Hrs"",""Close"":""Open 24 Hrs""},{""Day"":""Thursday"",""Open"":""Open 24 Hrs"",""Close"":""Open 24 Hrs""},{""Day"":""Friday"",""Open"":""Open 24 Hrs"",""Close"":""Open 24 Hrs""},{""Day"":""Saturday"",""Open"":""Open 24 Hrs"",""Close"":""Open 24 Hrs""}"
https://www.aubonpain.com/stores/all-stores,St. Francis Hospital,114 Woodland St.,Hartford,CT,06105,US,<MISSING>,860-241-8980,<MISSING>,41.7735, -72.6985,"{""Day"":""Sunday"",""Open"":""Open 24 Hrs"",""Close"":""Open 24 Hrs""},{""Day"":""Monday"",""Open"":""Open 24 Hrs"",""Close"":""Open 24 Hrs""},{""Day"":""Tuesday"",""Open"":""Open 24 Hrs"",""Close"":""Open 24 Hrs""},{""Day"":""Wednesday"",""Open"":""Open 24 Hrs"",""Close"":""Open 24 Hrs""},{""Day"":""Thursday"",""Open"":""Open 24 Hrs"",""Close"":""Open 24 Hrs""},{""Day"":""Friday"",""Open"":""Open 24 Hrs"",""Close"":""Open 24 Hrs""},{""Day"":""Saturday"",""Open"":""Open 24 Hrs"",""Close"":""Open 24 Hrs""}"
