locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation,raw_address
https://www.dallasbbq.com/times-square/,Times Square,<MISSING>,<MISSING>,NY,<MISSING>,US,<MISSING>,2122219000,<MISSING>,<MISSING>,<MISSING>,Sunday – Wednesday: 11am – 12am Thursday –Saturday: 11am – 1:30am,241 West 42nd Street (located between 7th and 8th avenues)
https://www.dallasbbq.com/brooklyn/,Brooklyn,<MISSING>,<MISSING>,NY,<MISSING>,US,<MISSING>,7186435700,<MISSING>,<MISSING>,<MISSING>,Sunday – Thursday: 11:30am – 12am Friday & Saturday: 11:30am – 1am,180 Livingston Street (Downtown Brooklyn)
https://www.dallasbbq.com/bronx/,Bronx,<MISSING>,<MISSING>,NY,<MISSING>,US,<MISSING>,7182202822,<MISSING>,<MISSING>,<MISSING>,Sunday – Thursday: 11:30am – 12am Friday & Saturday: 11:30am – 1am,"281 West Fordham Road Bronx, NY 10468"
https://www.dallasbbq.com/chelsea/,Chelsea,<MISSING>,<MISSING>,NY,<MISSING>,US,<MISSING>,2124620001,<MISSING>,<MISSING>,<MISSING>,Sunday – Thursday: 11:30am – 12:00am Friday & Saturday: 11:30am – 1am,261 8th Avenue (Located on the corner of 23rd Street in the center of Chelsea)
https://www.dallasbbq.com/co-op-city/,Co-op City,<MISSING>,<MISSING>,NY,<MISSING>,US,<MISSING>,7183208800,<MISSING>,<MISSING>,<MISSING>,Monday – Thursday: 12am – 12am Friday: 11:30am – 1am Saturday: 12pm – 1am Sunday: 12pm – 12am,"2160 Bartow Avenue Bronx, NY 10475 (Located at Bay Plaza Center)"
https://www.dallasbbq.com/east-village/,East Village,<MISSING>,<MISSING>,NY,<MISSING>,US,<MISSING>,2127775574,<MISSING>,<MISSING>,<MISSING>,Sunday – Thursday: 11:30am – 11pm Friday & Saturday: 11:30am – 1am,132 Second Avenue @ St. Marks Place (This East Village location has easy access to the Lower East Side and Greenwich Village)
https://www.dallasbbq.com/jamaica/,Jamaica,<MISSING>,<MISSING>,NY,<MISSING>,US,<MISSING>,7182157300,<MISSING>,<MISSING>,<MISSING>,Subject to change Sunday – Thursday: 11:00am – 12:00am Friday & Saturday: 11:00am – 1am,"89-14 Parsons Blvd. Jamaica, NY 11432 (at 89th Ave.)"
https://www.dallasbbq.com/upper-east-side/,Upper East Side,<MISSING>,<MISSING>,NY,<MISSING>,US,<MISSING>,2127729393,<MISSING>,<MISSING>,<MISSING>,Sunday – Thursday: 11:30am – 11pm Friday & Saturday: 11:30am – 1am,1265 Third Avenue (located between 72nd and 73rd streets near the museums and Central Park)
https://www.dallasbbq.com/washington-heights/,Washington Heights,<MISSING>,<MISSING>,NY,<MISSING>,US,<MISSING>,2125683700,<MISSING>,<MISSING>,<MISSING>,Monday – Thursday: 11am – 12am Friday: 11:30am – 1am Saturday: 12pm – 1am Sunday: 12pm – 12am,3956 Broadway (located at the corner of 166th street)
https://www.dallasbbq.com/nostrand-ave/,Nostrand Ave.,<MISSING>,<MISSING>,NY,<MISSING>,US,<MISSING>,7189423000,<MISSING>,<MISSING>,<MISSING>,Sunday – Thursday: 11:30am – 12am Friday & Saturday: 11:30am – 1am,2146 Nostrand Ave (Flatbush and Nostrand)
https://www.dallasbbq.com/rego-park/,Rego Park,<MISSING>,<MISSING>,NY,<MISSING>,US,<MISSING>,7185929000,<MISSING>,<MISSING>,<MISSING>,Sunday – Thursday: 11:00am – 12:00am Friday & Saturday: 11:00am – 1am,"61-35 Junction Blvd (Rego Park, NY 11374)"
