locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation
http://www.lapizzaloca.com/?hcs=locatoraid&hca=search%3asearch%2f%2fproduct%2f_product_%2flat%2f%2flng%2f%2flimit%2f1000,PizzaLoca Anaheim 92805,1230 1/2 E. Lincoln Ave,Anaheim,CA,92805,US,9,7147728200,<MISSING>,33.838261,-117.901208,Monday – Thursday 11am-10pm Friday -Saturday 11am-12am Sunday 11am-11pm
http://www.lapizzaloca.com/?hcs=locatoraid&hca=search%3asearch%2f%2fproduct%2f_product_%2flat%2f%2flng%2f%2flimit%2f1000,PizzaLoca Compton 90221,961 S. Long Beach Blvd,Compton,CA,90221,US,18,3107476940,<MISSING>,33.8878667,-118.20729340000003,Monday – Thursday 11am-10pm Friday -Saturday 11am-12am Sunday 11am-11pm
http://www.lapizzaloca.com/?hcs=locatoraid&hca=search%3asearch%2f%2fproduct%2f_product_%2flat%2f%2flng%2f%2flimit%2f1000,PizzaLoca Fontana 92335,9030 Sierra Ave Fontana,Fontana,CA,92335,US,14,9093555505,<MISSING>,34.0896767,-117.43620629999998,Monday – Thursday 11am-10pm Friday -Saturday 11am-12am Sunday 11am-11pm
http://www.lapizzaloca.com/?hcs=locatoraid&hca=search%3asearch%2f%2fproduct%2f_product_%2flat%2f%2flng%2f%2flimit%2f1000,PizzaLoca Lennox 90304,10731 Hawthorne Blvd,Lennox,CA,90304,US,8,3106771117,<MISSING>,33.9383609,-118.35297479999997,Monday – Thursday 11am-10pm Friday -Saturday 11am-12am Sunday 11am-11pm
http://www.lapizzaloca.com/?hcs=locatoraid&hca=search%3asearch%2f%2fproduct%2f_product_%2flat%2f%2flng%2f%2flimit%2f1000,PizzaLoca Long Beach 90805,2001 South St,Long Beach,CA,90805,US,19,5624534105,<MISSING>,33.8602157,-118.16822079999997,Monday – Thursday 11am-10pm Friday -Saturday 11am-12am Sunday 11am-11pm
http://www.lapizzaloca.com/?hcs=locatoraid&hca=search%3asearch%2f%2fproduct%2f_product_%2flat%2f%2flng%2f%2flimit%2f1000,PizzaLoca Los Angeles 90001,1401 Gage Ave,Los Angeles,CA,90001,US,7,3235899150,<MISSING>,33.9822985,-118.25014970000001,Monday – Thursday 11am-10pm Friday -Saturday 11am-12am Sunday 11am-11pm
http://www.lapizzaloca.com/?hcs=locatoraid&hca=search%3asearch%2f%2fproduct%2f_product_%2flat%2f%2flng%2f%2flimit%2f1000,PizzaLoca Los Angeles 90011,250 E. Martin Luther King Jr. Blvd,Los Angeles,CA,90011,US,13,3232311288,<MISSING>,34.0109593,-118.26972390000003,Monday – Thursday 11am-10pm Friday -Saturday 11am-12am Sunday 11am-11pm
http://www.lapizzaloca.com/?hcs=locatoraid&hca=search%3asearch%2f%2fproduct%2f_product_%2flat%2f%2flng%2f%2flimit%2f1000,PizzaLoca Los Angeles 90022,5040 Whittier Blvd,Los Angeles,CA,90022,US,2,3232617744,<MISSING>,34.020637,-118.16077150000001,Monday – Thursday 11am-10pm Friday -Saturday 11am-12am Sunday 11am-11pm
http://www.lapizzaloca.com/?hcs=locatoraid&hca=search%3asearch%2f%2fproduct%2f_product_%2flat%2f%2flng%2f%2flimit%2f1000,PizzaLoca Los Angeles 90033,2924 E. Cesar Chavez Ave,E. Los Angeles,CA,90033,US,4,3232639949,<MISSING>,34.0433954,-118.20105590000003,Monday – Thursday 11am-10pm Friday -Saturday 11am-12am Sunday 11am-11pm
http://www.lapizzaloca.com/?hcs=locatoraid&hca=search%3asearch%2f%2fproduct%2f_product_%2flat%2f%2flng%2f%2flimit%2f1000,PizzaLoca Los Angeles 90057,610 S. Rampart Ave,Los Angeles,CA,90057,US,10,2133816161,<MISSING>,34.0618048,-118.28130299999998,Monday – Thursday 11am-10pm Friday -Saturday 11am-12am Sunday 11am-11pm
