locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation,co_brand
https://www.rmcf.com/NC/Aberdeen60006,"Aberdeen, NC (Cold Stone / RMCF)",11088 US Highway 15/501,Aberdeen,NC,28315,US,60006,9106929440,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/NY/Albany60092,"Albany, NY (Cold Stone / RMCF)",1475 Western Avenue,Albany,NY,12203,US,60092,5185142003,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/NM/Albuquerque50012,"Albuquerque, NM (Coronado)",6600 Menaul Blvd. Suite D-1,Albuquerque,NM,87110,US,50012,5058720478,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/NM/Albuquerque50832,"Albuquerque, NM (Cottonwood)","10000 Coors Blvd., Suite B5",Albuquerque,NM,87114,US,50832,5053691775,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/TX/Allen50597,"Allen, TX",820 W. Stacy Road Suite 628 (Allen Premium Outlets),Allen,TX,75013,US,50597,9726781480,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/MI/AllenPark50708,"Allen Park, MI",3116 Fairlane Drive,Allen Park,MI,48101,US,50708,3133596600,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/CA/Alpine50450,"Alpine, CA","5001 Willows Rd., Suite 301",Alpine,CA,91901,US,50450,6196598104,<MISSING>,<MISSING>,<MISSING>,<MISSING>,N/A
https://www.rmcf.com/UT/AmericanFork60026,"American Fork, UT (Cold Stone / RMCF)",456 East State Rd.,American Fork,UT,84003,US,60026,8017637540,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/ID/Ammon60075,"Ammon, ID (Cold Stone / RMCF)",2019 South 25th East,Ammon,ID,83406,US,60075,2085223347,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
https://www.rmcf.com/IA/Ankeny60120,"Ankeny, IA (Cold Stone / RMCF)","1631 SW Main Street, Suite 102, The District - Building 2,",Ankeny,IA,50023,US,60120,5152645565,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Cold Stone Creamery
