locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 491 Sardis Road,491 Sardis Road,Asheville,NC,<INACCESSIBLE>,US,148,8286651003,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 295 Smoky Park Hwy,295 Smoky Park Hwy,Asheville,NC,<INACCESSIBLE>,US,150,8286658177,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 1411 Tunnel Road,1411 Tunnel Road,Asheville,NC,<INACCESSIBLE>,US,152,8282990047,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 40 Merrimon Avenue,40 Merrimon Avenue,Asheville,NC,<INACCESSIBLE>,US,160,8282542373,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 202 NC #9,202 NC #9,Black Mountain,NC,<INACCESSIBLE>,US,135,8286695086,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 393 West Mills Street,393 West Mills Street,Columbus,NC,<INACCESSIBLE>,US,157,8288948858,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 1550 Highway 108,1550 Highway 108,Columbus,NC,<INACCESSIBLE>,US,158,8288945744,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 1980 Dellwood Road,1980 Dellwood Road,Waynesville,NC,<INACCESSIBLE>,US,184,8289261995,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 171 Weaver Blvd,171 Weaver Blvd,Weaverville,NC,<INACCESSIBLE>,US,151,8286582639,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 1880 Hwy 14E,1880 Hwy 14E,Landrum,SC,<INACCESSIBLE>,US,159,8644572334,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 1309 State Route 394,1309 State Route 394,Blountville,TN,<INACCESSIBLE>,US,121,4233239241,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 220 Carolina Pottery Drive,220 Carolina Pottery Drive,Blountville,TN,<INACCESSIBLE>,US,182,4233231401,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 4403 Highway 11E,4403 Highway 11E,Bluff City,TN,<INACCESSIBLE>,US,127,4235384859,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 648 Elizabethton Hwy,648 Elizabethton Hwy,Bluff City,TN,<INACCESSIBLE>,US,146,4235380770,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 1716 Volunteer Parkway,1716 Volunteer Parkway,Bristol,TN,<INACCESSIBLE>,US,101,4237645059,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 2887 West State Street,2887 West State Street,Bristol,TN,<INACCESSIBLE>,US,117,4239681454,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 400 Volunteer Parkway,400 Volunteer Parkway,Bristol,TN,<INACCESSIBLE>,US,183,4232740355,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 2602 Highway 107,2602 Highway 107,Chuckey,TN,<INACCESSIBLE>,US,112,4232576771,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 416 Hwy 91,416 Hwy 91,Elizabethton,TN,<INACCESSIBLE>,US,141,4235470557,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 525 Hwy 91,525 Hwy 91,Elizabethton,TN,<INACCESSIBLE>,US,166,4235423871,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 1068 North Main Street,1068 North Main Street,Erwin,TN,<INACCESSIBLE>,US,106,4237433511,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 519 Jonesborough Road,519 Jonesborough Road,Erwin,TN,<INACCESSIBLE>,US,140,4237357200,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 1415 N Main Avenue,1415 N Main Avenue,Erwin,TN,<INACCESSIBLE>,US,149,4237432466,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 4700 North Roan Street,4700 North Roan Street,Gray,TN,<INACCESSIBLE>,US,107,4232839042,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 5022 Bobby Hick Hwy,5022 Bobby Hick Hwy,Gray,TN,<INACCESSIBLE>,US,111,4234772815,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 6399 Kingsport Highway,6399 Kingsport Highway,Gray,TN,<INACCESSIBLE>,US,118,4234772683,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 2695 Boones Creek Road,2695 Boones Creek Road,Gray,TN,<INACCESSIBLE>,US,139,4236100485,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 5019 Bobby Hicks Hwy,5019 Bobby Hicks Hwy,Gray,TN,<INACCESSIBLE>,US,155,4234774101,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 225 E Andrew Johnson Hwy,225 E Andrew Johnson Hwy,Greenville,TN,<INACCESSIBLE>,US,108,4236399293,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 300 Van Hill Road,300 Van Hill Road,Greenville,TN,<INACCESSIBLE>,US,119,4232340503,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 2490 Andrew Johnson Hwy,2490 Andrew Johnson Hwy,Greenville,TN,<INACCESSIBLE>,US,129,4236382726,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 4953 Highway 19-E,4953 Highway 19-E,Hampton,TN,<INACCESSIBLE>,US,122,4237253373,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 1431 George Avenue,1431 George Avenue,Jefferson City,TN,<INACCESSIBLE>,US,181,8654758316,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 2607 South Roan Street,2607 South Roan Street,Johnson City,TN,<INACCESSIBLE>,US,104,4239288535,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 527 Princeton Road,527 Princeton Road,Johnson City,TN,<INACCESSIBLE>,US,105,4232828513,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 1310 Cherokee Road,1310 Cherokee Road,Johnson City,TN,<INACCESSIBLE>,US,114,4239291600,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 1702 W Market Street,1702 W Market Street,Johnson City,TN,<INACCESSIBLE>,US,115,4239288566,<MISSING>,<MISSING>,<MISSING>,<MISSING>
http://roadrunnermarkets.com/#locations,Roadrunner Markets - 3894 Bristol Highway,3894 Bristol Highway,Johnson City,TN,<INACCESSIBLE>,US,131,4232828567,<MISSING>,<MISSING>,<MISSING>,<MISSING>
