locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation,raw_address
https://www.robertwayne.com/pages/locations,Arizona Mills,5000 Arizona Mills Circle #453,Tempe,AZ,85282,US,<MISSING>,4804566996,<MISSING>,<MISSING>,<MISSING>,"Mon-Sat 10am-9pm, Sun 11am-6pm","['5000 Arizona Mills Circle #453', 'Tempe', 'AZ 85282']"
https://www.robertwayne.com/pages/locations,Phoenix Premium Outlets,4976 Premium Outlets Way Suite 824,Chandler,AZ,85226,US,<MISSING>,5207961615,<MISSING>,<MISSING>,<MISSING>,"Mon-Sat 10am-9pm, Sun 10am-7pm","['4976 Premium Outlets Way', 'Suite 824', 'Chandler', 'AZ 85226']"
https://www.robertwayne.com/pages/locations,Tanger Outlets Westgate,6800 N 95th Ave #770,Glendale,AZ,85305,US,<MISSING>,6238779211,<MISSING>,<MISSING>,<MISSING>,"Mon-Sat 9am-9pm, Sun 10am-7pm","['6800 N 95th Ave #770', 'Glendale', 'AZ 85305']"
https://www.robertwayne.com/pages/locations,The Shops at Montebello,2136 Montebello Town Center Drive,Montebello,CA,90640,US,<MISSING>,3237221739,<MISSING>,<MISSING>,<MISSING>,"Mon-Sat 10am-9pm, Sun 11am-7pm","['2136 Montebello Town Center Drive', 'Montebello', 'CA 90640']"
https://www.robertwayne.com/pages/locations,The Plaza at West Covina,639 Plaza Drive,West Covina,CA,91790,US,<MISSING>,6269620267,<MISSING>,<MISSING>,<MISSING>,"Mon-Sat 10am-9pm, Sun 11am-7pm","['639 Plaza Drive', 'West Covina', 'CA 91790']"
https://www.robertwayne.com/pages/locations,Montclair Plaza,2150 Montclair Plaza Lane,Montclair,CA,91763,US,<MISSING>,9096256655,<MISSING>,<MISSING>,<MISSING>,"Mon-Fri 10am-9pm, Sat 10am-8pm, Sun 11am-7pm","['2150 Montclair Plaza Lane', 'Montclair', 'CA 91763']"
https://www.robertwayne.com/pages/locations,Galleria at Tyler,1228 Galleria at Tyler,Riverside,CA,92503,US,<MISSING>,9516899665,<MISSING>,<MISSING>,<MISSING>,"Mon-Sat 10am-9pm, Sun 11am-7pm","['1228 Galleria at Tyler', 'Riverside', 'CA 92503']"
https://www.robertwayne.com/pages/locations,Lakewood Center Mall,315 Lakewood Center Mall,Lakewood,CA,90712,US,<MISSING>,5626339933,<MISSING>,<MISSING>,<MISSING>,"Mon-Sat 10am-9pm, Sat 10am-8pm, Sun 11am-7pm","['315 Lakewood Center Mall', 'Lakewood', 'CA 90712']"
https://www.robertwayne.com/pages/locations,Stonewood Center Mall,218 Stonewood Street,Downey,CA,90241,US,<MISSING>,5628625628,<MISSING>,<MISSING>,<MISSING>,"Mon-Fri 10am-9pm, Sat 10am-8pm, Sun 11am-7pm","['218 Stonewood Street', 'Downey', 'CA 90241']"
https://www.robertwayne.com/pages/locations,The Block at Orange,20 City Blvd. West Bldg. B #413,Orange,CA,92868,US,<MISSING>,7147693333,<MISSING>,<MISSING>,<MISSING>,"Mon-Thur 10am-9pm, Fri-Sat 10am-10pm, Sun 11am-9pm","['20 City Blvd. West Bldg. B #413', 'Orange', 'CA 92868']"
https://www.robertwayne.com/pages/locations,Brea Mall,1065 Brea Mall Suite 1025A,Brea,CA,92821,US,<MISSING>,7142564990,<MISSING>,<MISSING>,<MISSING>,"Mon-Fri 10am-9pm, Sat 10am-7pm, Sun 11am-6pm","['1065 Brea Mall', 'Suite 1025A', 'Brea', 'CA 92821']"
https://www.robertwayne.com/pages/locations,Parkway Plaza,429 Parkway Plaza,El Cajon,CA,92020,US,<MISSING>,6195939387,<MISSING>,<MISSING>,<MISSING>,"Mon-Sat 10am-9pm, Sun 11am-7pm","['429 Parkway Plaza', 'El Cajon', 'CA 92020']"
https://www.robertwayne.com/pages/locations,Plaza Bonita,3030 Plaza Bonita Road #1060,National City,CA,91950,US,<MISSING>,6194728075,<MISSING>,<MISSING>,<MISSING>,"Mon-Sat 10am-9pm, Sun 11am-7pm","['3030 Plaza Bonita Road #1060', 'National City', 'CA 91950']"
