locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation,raw_address
https://thaiexpress.ca/wp-content/plugins/superstorefinder-wp/ssf-wp-xml.php?wpml_lang=en&t=1564582064002,100e Avenue - Autoroute 440 Laval,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,US,<MISSING>,4506872555,<MISSING>,45.5585494,-73.7926457,"Sunday: 11:00, 21:00, Monday: 11:00, 21:00, Tuesday: 11:00, 21:00, Wednesday: 11:00, 21:00, Thursday: 11:00, 22:00, Friday: 11:00, 22:00, Saturday: 11:00, 21:00","4620 autoroute 440 Laval ouest  Laval,  QC H7T 2Z8"
https://thaiexpress.ca/wp-content/plugins/superstorefinder-wp/ssf-wp-xml.php?wpml_lang=en&t=1564582064002,13350 Dallas Parkway Suite #3650,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,US,<MISSING>,2142383838,<MISSING>,32.9285449,-96.8193573,"Monday: 10am, 9pm, Tuesday: 10am, 9pm, Wednesday: 10am, 9pm, Thursday: 10am, 9pm, Friday: 10am, 9pm, Saturday: 10am, 9pm, Sunday: 12pm, 6pm","13350 Dallas Parkway Suite #3650  Dallas,  Texas 75240"
https://thaiexpress.ca/wp-content/plugins/superstorefinder-wp/ssf-wp-xml.php?wpml_lang=en&t=1564582064002,150 King Street West,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,US,<MISSING>,4165931543,<MISSING>,43.6481,-79.3844515,"Sunday: Closed, Monday: 10:00, 18:30, Tuesday: 10:00, 19:00, Wednesday: 10:00, 19:00, Thursday: 10:00, 19:00, Friday: 10:30, 18:30, Saturday: Closed","150 King Street West  Toronto,  ON M5H 1J9"
https://thaiexpress.ca/wp-content/plugins/superstorefinder-wp/ssf-wp-xml.php?wpml_lang=en&t=1564582064002,181 boul. Sir Wilfrid Laurier&#44; St Basile Le Grand&#44; Qc J0L 2B0,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,US,<MISSING>,4504615151,<MISSING>,45.5289313,-73.2889504,"Monday to Sunday: 11:00am, 09:00pm","181 boul. Sir Wilfrid Laurier  St Basile Le Grand,  Quebec J0L 2B0"
https://thaiexpress.ca/wp-content/plugins/superstorefinder-wp/ssf-wp-xml.php?wpml_lang=en&t=1564582064002,1881 Yonge Street,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,US,<MISSING>,4164833993,<MISSING>,43.6976717,-79.3960999,"Sunday: 11:00, 21:00, Monday: 11:00, 21:00, Tuesday: 11:00, 21:00, Wednesday: 11:00, 21:00, Thursday: 11:00, 21:00, Friday: 11:00, 21:00, Saturday: 11:00, 21:00","1881 Yonge Street  Toronto,  ON M4S 3C4"
https://thaiexpress.ca/wp-content/plugins/superstorefinder-wp/ssf-wp-xml.php?wpml_lang=en&t=1564582064002,2020 University&#44; AXA Center,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,US,<MISSING>,5158448228,<MISSING>,45.5039643,-73.5722865,"Sunday: Monday: 10:30, 19:00, Tuesday: 10:30, 19:00, Wednesday: 10:30, 19:00, Thursday: 10:30, 21:00, Friday: 10:30, 21:00, Saturday: 11:30, 17:00","AXA Center&#44; 2020 Robert-Bourassa  Montreal,  QC H3A 2A5"
https://thaiexpress.ca/wp-content/plugins/superstorefinder-wp/ssf-wp-xml.php?wpml_lang=en&t=1564582064002,255 King Street (Waterloo),<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,US,<MISSING>,5197473888,<MISSING>,43.4773461,-80.5256995,"Sunday: 12:00, 22:00, Monday: 11:00, 22:00, Tuesday: 11:00, 22:00, Wednesday: 11:00, 22:00, Thursday: 11:00, 22:00, Friday: 11:00, 22:00, Saturday: 12:00, 22:00","255 King Street North  Waterloo,  ON N2J 4V2"
https://thaiexpress.ca/wp-content/plugins/superstorefinder-wp/ssf-wp-xml.php?wpml_lang=en&t=1564582064002,2745 King Ouest Sherbrooke,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,US,<MISSING>,8197911755,<MISSING>,45.3981593,-71.9406787,"Monday to Sunday: 11:00, 22:00","2745 rue King Ouest  Sherbrooke,  QC J1L 1C1"
https://thaiexpress.ca/wp-content/plugins/superstorefinder-wp/ssf-wp-xml.php?wpml_lang=en&t=1564582064002,3077 Mavis Road,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,US,<MISSING>,9056158424,<MISSING>,43.5678607,-79.6346734,"Sunday: 11:00, 20:00, Monday: 11:00, 21:00, Tuesday: 11:00, 21:00, Wednesday: 11:00, 21:00, Thursday: 11:00, 21:00, Friday: 11:00, 21:00, Saturday: 11:00, 21:00","3077 Mavis Road  Mississauga,  ON L5B 4M3"
https://thaiexpress.ca/wp-content/plugins/superstorefinder-wp/ssf-wp-xml.php?wpml_lang=en&t=1564582064002,320 Front Street West,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,<INACCESSIBLE>,US,<MISSING>,4165818853,<MISSING>,43.6436619,-79.3909279,"Sunday: Closed, Monday: 11:00, 18:00, Tuesday: 11:00, 18:00, Wednesday: 11:00, 18:00, Thursday: 11:00, 18:00, Friday: 11:00, 18:00, Saturday: Closed","320 Front Street West  Toronto,  ON M5V 3B6"
