locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation
https://www.thebeneficial.com/locations,Devon Campus,821 West Lancaster Avenue,Wayne,PA,19087,US,<MISSING>,4843677049,Branch,40.048793,-75.4134217,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Edgmont,4733 West Chester Pike,Newtown Square,PA,19073,US,<MISSING>,6103255660,Branch,40.0740668,-75.5018621,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Conshohocken,12 East Ridge Pike,Conshohocken,PA,19428,US,<MISSING>,6102383900,Branch,40.093428,-75.3556106,Mon - Fri: 10:00 AM - 07:00 PM Sat: 10:00 AM - 03:00 PM Sun: 10:00 AM - 02:00 PM
https://www.thebeneficial.com/locations,East Norriton,2905 Whitehall Road ,Norristown,PA,19403,US,<MISSING>,6106311003,Branch,40.1527634,-75.3502986,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Broomall Campus,2021 Sproul Road ,Lawrence Park,PA,19008,US,<MISSING>,6103256090,Branch,39.964507,-75.3598986,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Ardmore - Woodside Rd.,20 Woodside Rd.,Ardmore,PA,19003,US,<MISSING>,4844202800,Branch,40.011121,-75.2981677,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Havertown,1200 W Township Line Road,Havertown,PA,19083,US,<MISSING>,6104494254,Branch,39.9581785,-75.3186662,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Narberth,901 Montgomery Avenue,Narberth,PA,19072,US,<MISSING>,6106645002,Branch,40.0114428,-75.25974659999997,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Blue Bell,640 Skippack Pike ,Blue Bell,PA,19422,US,<MISSING>,2156198960,Branch,40.13935,-75.2460681,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat & Sun: closed
https://www.thebeneficial.com/locations,Springfield Campus ,537 Baltimore Pike ,Springfield,PA,19064  ,US,<MISSING>,4844727328,Branch,39.9196485,-75.3249012,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Roxborough ,5873 Ridge Avenue ,Philadelphia,PA,19128,US,<MISSING>,2673859850,Branch,40.0299236,-75.21085349999998,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,City Line ,7622 City Line Ave. ,Philadelphia,PA,19151,US,<MISSING>,2154733574,Branch,39.9780493,-75.2715991,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Media ,521 E. Baltimore Pike ,Media,PA,19063,US,<MISSING>,6105659427,Branch,39.9162665,-75.37912589999996,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat & Sun: closed
https://www.thebeneficial.com/locations,Flourtown,1311 Bethlehem Pike,Flourtown,PA,19031,US,<MISSING>,2158367823,Branch,40.10197,-75.21326010000001,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Exton,267 Main St.,Exton,PA,19341,US,<MISSING>,4848751800,Branch,40.023979,-75.62837810000002,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Maple Glen Campus,901 Limekiln Pike,Ambler,PA,19002,US,<MISSING>,2156438400,Branch,40.16455149999999,-75.1831378,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Woodland,6401 Woodland Avenue,Philadelphia,PA,19142,US,<MISSING>,2157272600,Branch,39.9264825,-75.2333936,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Chester Springs,165 Pottstown Pike,Chester Springs,PA,19425,US,<MISSING>,6103216900,Branch,40.0799023,-75.68927580000002,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat & Sun: closed
https://www.thebeneficial.com/locations,Folcroft,1862 Delmar Dr,Folcroft,PA,19032,US,<MISSING>,6105324486,Branch,39.8922527,-75.28381890000003,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Lansdale,1600 Sumneytown Pike,Lansdale,PA,19446,US,<MISSING>,2153935214,Branch,40.2432157,-75.33746739999998,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,LaSalle,5301 Chew Ave.,Philadelphia,PA,19141,US,<MISSING>,2157133750,Branch,40.0430618,-75.15960919999998,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Eddystone,1571 Chester Pike,Crum Lynne,PA,19022,US,<MISSING>,6108766309,Branch,39.8661572,-75.3414022,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:30 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,16th Street Campus,1600 Chestnut Street,Philadelphia,PA,19103,US,<MISSING>,2158646040,Branch,39.9510562,-75.16741230000002,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 10:00 AM - 02:00 PM
https://www.thebeneficial.com/locations,12th Street,1139 Chestnut Street,Philadelphia,PA,19107,US,<MISSING>,2158646015,Branch,39.9506107,-75.15994949999998,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 10:00 AM - 02:00 PM
https://www.thebeneficial.com/locations,21st & Passyunk Ave.,S. 21st & Passyunk Ave.,Philadelphia,PA,19145,US,<MISSING>,2154651600,Branch,39.908085,-75.1953934,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Broad & Porter,2444 S. Broad Street,Philadelphia,PA,19145,US,<MISSING>,2154652230,Branch,39.9195478,-75.1710807,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat & Sun: closed
https://www.thebeneficial.com/locations,10th & Catharine,775 S. Tenth Street,Philadelphia,PA,19147,US,<MISSING>,2159220700,Branch,39.9400789,-75.159041,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM
https://www.thebeneficial.com/locations,Aramingo Ave.,2514 Aramingo Ave.,Philadelphia,PA,19125,US,<MISSING>,2154255640,Branch,39.9772245,-75.11986430000002,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Jenkintown,1601 The Fairway,Jenkintown,PA,19046,US,<MISSING>,2155768550,Branch,40.1072243,-75.1169142,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Passyunk,1901 E. Passyunk Ave.,Philadelphia,PA,19148,US,<MISSING>,2154681700,Branch,39.926424,-75.16729400000003,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Fox Chase,1411 Rhawn Street,Philadelphia,PA,19111,US,<MISSING>,2157454360,Branch,40.0683095,-75.06580209999998,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Rosemore,1065 West County Line Road,Hatboro,PA,19040,US,<MISSING>,2159574960,Branch,40.2112707,-75.1383978,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Tyson & Brous,6918 Brous Avenue,Philadelphia,PA,19149,US,<MISSING>,2153312612,Branch,40.0388257,-75.05682200000001,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Holme Circle,2845 Holme Ave.,Philadelphia,PA,19152,US,<MISSING>,2156028800,Branch,40.0572222,-75.03089360000001,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Pennsauken,2501 Merchantville Avenue,Pennsauken,NJ,08110,US,<MISSING>,8566639200,Branch,39.9560828,-75.058404,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
https://www.thebeneficial.com/locations,Riverton,712 Broad Street,Riverton,NJ,08077,US,<MISSING>,8567865333,Branch,40.0115844,-75.00954460000003,Mon - Thu: 08:30 AM - 05:00 PM Fri: 08:30 AM - 06:00 PM Sat: 09:00 AM - 01:00 PM
