locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation
https://www.barkanmethod.com/,"ATM at 1350 West Street Pittsfield, MA",1350 West Street,Pittsfield,MA,01201,US,<MISSING>,<MISSING>,ATM,-73.31694,42.457997,<MISSING>
https://www.barkanmethod.com/,"ATM at 75 South Church Street Pittsfield, MA",75 South Church Street,Pittsfield,MA,01201,US,<MISSING>,<MISSING>,ATM,-73.260664,42.446498,<MISSING>
https://www.barkanmethod.com/,"Bank at 66 West Street Pittsfield, MA",66 West Street,Pittsfield,MA,01201,US,<MISSING>,(413) 445-8365,Bank,-73.25525201,42.44866394,"Monday - Friday 8:30am - 5:00pm
Saturday 8:30am - 12:30pm"
https://www.barkanmethod.com/,"Bank at 99 North Street Pittsfield, MA",99 North Street,Pittsfield,MA,01201,US,<MISSING>,(413) 445-3544,Bank,-73.25355,42.44984,"Monday - Wednesday 8:30am - 4:00pm
Thursday - Friday 8:30am - 5:00pm"
https://www.barkanmethod.com/,"Insurance at 43 East Street Pittsfield, MA",43 East Street,Pittsfield,MA,01201,US,<MISSING>,(866) 636-0244,Insurance,-73.25299306,42.4484823,<MISSING>
https://www.barkanmethod.com/,"Bank at 165 Elm Street Pittsfield, MA",165 Elm Street,Pittsfield,MA,01201,US,<MISSING>,(413) 447-1880,Bank,-73.23823,42.44395125,"Monday - Friday 8:30am - 5:00pm
Saturday 8:30am - 12:30pm"
https://www.barkanmethod.com/,"Bank at 495 Pittsfield-Lenox Rd Lenox, MA",495 Pittsfield-Lenox Rd,Lenox,MA,01240,US,<MISSING>,(413) 997-6050,Bank,-73.26513,42.40478554,"Monday - Friday 8:30 am - 5:00 pm
Saturday 9:00 am - 12:30 pm"
https://www.barkanmethod.com/,"Bank at 502 Route 20 New Lebanon, NY",502 Route 20,New Lebanon,NY,12125,US,<MISSING>,(518) 794-7845,Bank,-73.3925251,42.4665599,"Monday - Wednesday 9:00am - 4:00pm
Thursday - Friday 9:00am - 5:00pm
Saturday 9:00am - 12:00pm"
https://www.barkanmethod.com/,"Bank at 734 Williams Street Pittsfield, MA",734 Williams Street,Pittsfield,MA,01201,US,<MISSING>,(413) 499-5178,Bank,-73.214345,42.432465,"Monday - Wednesday 8:30am - 4:00pm
Thursday - Friday 8:30am - 5:00pm"
https://www.barkanmethod.com/,"Bank at 39 Cheshire Road Pittsfield, MA",39 Cheshire Road,Pittsfield,MA,01201,US,<MISSING>,(413) 499-1068,Bank,-73.20371519,42.46963444,"Monday - Friday 8:30am - 5:00pm
Saturday 9:00am - 12:00pm"
https://www.barkanmethod.com/,"Bank at 488 Main Street Dalton, MA",488 Main Street,Dalton,MA,01226,US,<MISSING>,(413) 684-5214,Bank,-73.1682344,42.4731624,"Monday - Wednesday 8:30am - 4:00pm
Thursday - Friday 8:30am - 5:00pm"
https://www.barkanmethod.com/,"Bank at 25 Main Street Lenox, MA",25 Main Street,Lenox,MA,01240,US,<MISSING>,(413) 445-3439,Bank,-73.28471,42.35780333,"Monday - Wednesday 8:30 am - 4:00 pm
Thursday - Friday 8:30 am - 5:00 pm
Saturday Seasonal (Memorial Day-Labor Day) 9:00 am - 12:00 pm"
https://www.barkanmethod.com/,"Bank at 2 Depot Street West Stockbridge, MA",2 Depot Street,West Stockbridge,MA,01266,US,<MISSING>,(413) 232-8542,Bank,-73.36829,42.33377,"Monday - Wednesday 8:30am - 4:00pm
Thursday - Friday 8:30am - 5:00pm"
https://www.barkanmethod.com/,"Bank at 1 Park Street Lee, MA",1 Park Street,Lee,MA,01238,US,<MISSING>,(413) 243-1800,Bank,-73.24619,42.30441,"Monday - Friday 8:30am - 5:00pm
Saturday 8:30am - 12:00pm"
https://www.barkanmethod.com/,"Bank at 32 Main Street Stockbridge, MA",32 Main Street,Stockbridge,MA,01262,US,<MISSING>,(413) 298-5526,Bank,-73.31190965,42.28224035,"Monday - Thursday 8:30am - 4:00pm
Friday 8:30am - 5:00pm"
https://www.barkanmethod.com/,"Insurance at 31 Main Street Stockbridge, MA",31 Main Street,Stockbridge,MA,01262,US,<MISSING>,(866) 636-0244,Insurance,-73.31174144,42.28220456,Monday - Friday 8:30am - 4:30pm
https://www.barkanmethod.com/,"Bank at 50-52 Main St Chatham, NY",50-52 Main St,Chatham,NY,12037,US,<MISSING>,(518) 392-2105,Bank,-73.59563,42.36310606,"Monday - Thursday 9:00am - 4:00pm
Friday 9:00am - 5:00pm"
https://www.barkanmethod.com/,"Bank at 255 Stockbridge Road Great Barrington, MA",255 Stockbridge Road,Great Barrington,MA,01230,US,<MISSING>,(413) 528-1664,Bank,-73.34619257,42.20807471,"Monday - Wednesday 8:30am - 4:00pm
Thursday - Friday8:30 am -5:00 pm
Saturday 9:00am - 12:00pm"
https://www.barkanmethod.com/,"Bank at 244 Main Street Great Barrington, MA",244 Main Street,Great Barrington,MA,01230,US,<MISSING>,(413) 644-3520,Bank,-73.36144,42.19549,"Monday - Wednesday 9:00am - 4:00pm
Thursday - Friday 9:00 am - 5:00pm
Saturday 9:00am - 12:30pm"
https://www.barkanmethod.com/,"Bank at 37 Main Street North Adams, MA",37 Main Street,North Adams,MA,01247,US,<MISSING>,(413) 664-4061,Bank,-73.11375,42.69939,<MISSING>
https://www.barkanmethod.com/,"Bank at 30 East Otis Road Otis, MA",30 East Otis Road,Otis,MA,01253,US,<MISSING>,(413) 269-7546,Bank,-73.0905305,42.19313919,"Monday - Thursday 9:00 am - 4:00 pm
Friday 9:00 am - 5:00 pm
Saturday Seasonal (Memorial Day-Labor Day) 9:00 am - 12:00 pm"
https://www.barkanmethod.com/,"Bank at 602 Columbia Turnpike East Greenbush, NY",602 Columbia Turnpike,East Greenbush,NY,12061,US,<MISSING>,(518) 729-1150,Bank,-73.709595,42.598465,"Monday - Thursday 9:00am - 4:00pm
Friday 9:00am - 5:00pm
Saturday 9:00am - 12:00pm"
https://www.barkanmethod.com/,"Bank at 576 North Greenbush Road North Greenbush, NY",576 North Greenbush Road,NorthGreenbush,NY,12144,US,<MISSING>,(518) 283-5384,Bank,-73.69716,42.64873,"Monday - Thursday 8:30 am - 4:00 pm
Friday 8:30am - 5:00pm
Saturday 8:30 am - 12:00 pm"
https://www.barkanmethod.com/,"Bank at 103 Main Street Sheffield, MA",103 Main Street,Sheffield,MA,01257,US,<MISSING>,(413) 229-8516,Bank,-73.353783,42.109696,"Monday - Wednesday 9:00am - 4:00pm
Thursday - Friday 9:00am - 5:00pm
Saturday 9:00am - 12:00pm"
https://www.barkanmethod.com/,"Bank at 30 South Pearl Street Albany, NY",30 South Pearl Street,Albany,NY,12207,US,<MISSING>,(518) 432-0318,Bank,-73.75334,42.64905,"Monday - Thursday 8:30am - 4:00pm
Friday 8:30am - 5:00pm"
https://www.barkanmethod.com/,"ATM at 194 Washington Avenue Albany, NY",194 Washington Avenue,Albany,NY,12205,US,<MISSING>,<MISSING>,ATM,-73.763071,42.656284,<MISSING>
https://www.barkanmethod.com/,"Bank at 399 Albany Shaker Rd Loudonville, NY",399 Albany Shaker Rd,Loudonville,NY,12211,US,<MISSING>,(518) 486-8195,Bank,-73.767805,42.697075,"Monday - Thursday 8:30am - 4:00pm
Friday 8:30am - 5:00pm
Saturday 8:30am - 12:00pm"
https://www.barkanmethod.com/,"Bank at 255 Delaware Avenue Delmar, NY",255 Delaware Avenue,Delmar,NY,12054,US,<MISSING>,(518) 475-2590,Bank,-73.82143,42.62637,"Monday - Thursday 9:00am - 4:00pm
Friday 9:00am - 5:00pm
Saturday 9:00am - 12:00pm"
https://www.barkanmethod.com/,"Bank at 561 Warren St Hudson, NY",561 Warren St,Hudson,NY,12534,US,<MISSING>,(518) 828-2997,Bank,-73.78531041,42.24866327,"Monday - Thursday 9:00am - 4:00pm
Friday 9:00am - 5:00pm
Saturday 9:00am - 12:00pm"
https://www.barkanmethod.com/,"Bank at 979 Central Ave Albany, NY",979 Central Ave,Albany,NY,12205,US,<MISSING>,(518) 269-3510,Bank,-73.7945675,42.68404,"Monday - Thursday 8:30am - 4:00pm
Friday 8:30am - 5:00pm"
