"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.crayolaexperience.com","<MISSING>","1572 Pitkin Avenue","Brooklyn","NY","11212","US","<MISSING>","(718)345-1117","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","<MISSING>","422 Knickerbocker Avenue","Brooklyn","NY","11237","US","<MISSING>","(718)455-2454","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","<MISSING>","60 Graham Avenue","<INACCESSIBLE>","NY","11206","US","<MISSING>","(718)388-1255","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","<MISSING>","162-21 Jamaica Avenue","Queens","NY","11432","US","<MISSING>","(718)297-1919","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","<MISSING>","686 Oak Tree Road","South Plainfield","NJ","07080","US","<MISSING>","(908)754-1770","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","<MISSING>","3127 Kennedy Blvd.","North Bergen","NJ","07047","US","<MISSING>","(201)770-2601","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","<MISSING>","100 Broad Street","Elizabeth","NJ","07201","US","<MISSING>","(908)351-3488","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","<MISSING>","233 Route 18 South","East Brunswick","NJ","08816","US","<MISSING>","(732)745-5500","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Brass Mill Center","495 Union Street","Waterbury","CT","06706","US","<MISSING>","(203)755-8502","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Lafayette Square Mall","3919 Lafayette Road","Indianapolis","IN","46254","US","<MISSING>","(317)347-0478","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Felbram Plaza North","3700 South East Street","Indianapolis","IN","46227","US","<MISSING>","(317)786-6231","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Esquire Plaza","8311 Pendleton Pike","Indianapolis","IN","46224","US","<MISSING>","(317)897-0636","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Broadway Place","6069 Broadway","Merrillville","IN","46410","US","<MISSING>","(219)980-0270","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Beltway Plaza Mall","6252 Greenbelt Road","Greenbelt","MD","20770","US","<MISSING>","(301)446-1710","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Reisterstown Road Plaza","6790 Reisterstown Road","Baltimore","MD","21215","US","<MISSING>","(410)585-0391","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","<MISSING>","2501 Belair Road","Baltimore","MD","21213","US","<MISSING>","(410)537-5860","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Victory Crossing Shopping Center","3701 Branch Avenue","Temple Hills","VA","23701","US","<MISSING>","(757)405-1410","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Circle Plaza","4020 Victory Boulevard","Portsmouth","VA","23224","US","<MISSING>","(804)233-0417","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","<MISSING>","449-B East Belt Boulevard","Richmond","VA","23320","US","<MISSING>","(757)494-1825","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Southlake Pavillion","1971 South Military Highway","<INACCESSIBLE>","GA","30260","US","<MISSING>","(770)472-3665","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Plaza Fiesta","1906 Mount Zion Road","Morrow","GA","30345","US","<MISSING>","(404)329-1885","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Eastland Center","4166 Buford Highway NE","Atlanta","MI","48225","US","<MISSING>","(313)527-1870","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com"," 21634 Libby Road","119 Pavillion Parkway","Fayetteville","OH","44137","US","<MISSING>","(216)662-6934","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Great Western Shopping Center","18000 Vernier Road","Harper Woods","OH","43204","US","<MISSING>","(614)351-8378","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Northern Lights","26013 Hoover Road","Warren","OH","43224","US","<MISSING>","(614)261-4577","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Westown Shopping Plaza","21634 Libby Road","Maple Heights","OH","44111","US","<MISSING>","(216)941-4634","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Manhattan Plaza","3400 North Blvd.","Columbus","OH","43608","US","<MISSING>","(419)729-4863","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Town & Country Shopping Center","3515B Cleveland Avenue","Columbus","OH","43213","US","<MISSING>","(614)235-1370","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Southland Shopping Center","10950 Lorain Avenue","Cleveland","OH","43614","US","<MISSING>","(419)382-3820","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","3399 Aramingo Avenue","701 East Manhattan Boulevard","Toledo","PA","19134","US","<MISSING>","(215)291-4923","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com"," Calumet City","3776 East Broad Street","Columbus","IL","60409","US","<MISSING>","(708)862-1063","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","Matteson Plaza","1339 South Byrne Road","Toledo","IL","60443","US","<MISSING>","(708)748-6530","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com"," 3634 Irving Mall Road","3399 Aramingo Avenue","Philadelphia","TX","75062","US","<MISSING>","(972)570-0620","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.crayolaexperience.com","White Rock Marketplace","550 River Oaks West","Calumet City","TX","75218","US","<MISSING>","(214)660-8932","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
