"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"http://www.speedystop.com","Speedy Stop Store #0001","8701 North Navarro","Victoria"," TX","<MISSING>","US","0001","361-573-0467","Food Service, Subway, UL Diesel, Tunnel Car Wash, Allpoint ATM","<MISSING>","<MISSING>","<MISSING>"
"http://www.speedystop.com","Subway #0001","8701 N. Navarro","Victoria"," TX","<MISSING>","US","0001","361-573-1501","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://www.speedystop.com","Speedy Stop Store #0014","8391 College","Beaumont"," TX","<MISSING>","US","0014","409-866-1445","Food Service, Subway, UL Diesel, Tunnel Car Wash, Allpoint ATM","<MISSING>","<MISSING>","<MISSING>"
"http://www.speedystop.com","Subway #0014","8391 College St","Beaumont"," TX","<MISSING>","US","0014","409-866-7604","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://www.speedystop.com","Speedy Stop Store #0018","1055 I-10 South","Beaumont"," TX","<MISSING>","US","0018","409-832-5700","UL Diesel, Allpoint ATM","<MISSING>","<MISSING>","<MISSING>"
"http://www.speedystop.com","Speedy Stop Store #0025","28015 Southwest Frwy","Rosenburg"," TX","<MISSING>","US","0025","281-239-7205","UL Diesel, Allpoint ATM","<MISSING>","<MISSING>","<MISSING>"
"http://www.speedystop.com","Speedy Stop Store #0032","690 N Main","Vidor"," TX","<MISSING>","US","0032","409-769-6455","UL Diesel, Allpoint ATM","<MISSING>","<MISSING>","<MISSING>"
"http://www.speedystop.com","Speedy Stop Store #0084","1620 W Adams (P.O Box 159)","Port O'Connor"," TX","<MISSING>","US","0084","361-983-4411","Food Service, Subway, UL Diesel, Allpoint ATM","<MISSING>","<MISSING>","<MISSING>"
"http://www.speedystop.com","Subway #0084","1620 W Adams (P.O Box 159)","Port O'Connor"," TX","<MISSING>","US","0084","361-983-2496","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://www.speedystop.com","Speedy Stop Store #0085","502 N Mechanic","El Campo"," TX","<MISSING>","US","0085","979-543-3045","Food Service, Subway, UL Diesel, Car Wash, Allpoint ATM","<MISSING>","<MISSING>","<MISSING>"
"http://www.speedystop.com","Subway #0085","502 N Mechanic","El Campo"," TX","<MISSING>","US","0085","979-543-3045","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://www.speedystop.com","Speedy Stop Store #0086","2998 I45 North","Conroe"," TX","<MISSING>","US","0086","936-788-2290","Food Service, UL Diesel, Allpoint ATM","<MISSING>","<MISSING>","<MISSING>"
"http://www.speedystop.com","Speedy Stop Store #0087","2500 N LOOP 336 W","Conroe"," TX","<MISSING>","US","0087","936-235-3690","Food Service, UL Diesel, Car Wash, Allpoint ATM","<MISSING>","<MISSING>","<MISSING>"
"http://www.speedystop.com","Speedy Stop Store #0095","551 University Blvd","Round Rock"," TX","<MISSING>","US","0095","512-388-2660","Food Service, Subway, UL Diesel, Tunnel Car Wash, Allpoint ATM","<MISSING>","<MISSING>","<MISSING>"
"http://www.speedystop.com","Subway #0095","551 University Blvd","Round Rock"," TX","<MISSING>","US","0095","512-310-2800","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://www.speedystop.com","Speedy Stop Store #0105","5003 Overpass Rd","Buda"," TX","<MISSING>","US","0105","512-312-0963","Food Service, UL Diesel, Allpoint ATM","<MISSING>","<MISSING>","<MISSING>"
"http://www.speedystop.com","Subway #0107","5725 E. Parmer Lane","Manor"," TX","<MISSING>","US","0107","512-521-0578","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://www.speedystop.com","Speedy Stop Store #0107","5725 E. Parmer Lane","Manor"," TX","<MISSING>","US","0107","512-521-0577","Food Service, Subway, UL Diesel, Tunnel Car Wash, Allpoint ATM","<MISSING>","<MISSING>","<MISSING>"
