locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
www.bancorpsouth.com,Hayneville Branch,10 Commerce St,Hayneville,Alabama,36040,US,,,Drive-Thru,,32.183546,-86.58092,
www.bancorpsouth.com,Fort Deposit Branch,307 Jones St,Fort Deposit,Alabama,36032,US,,,Drive-Thru,,31.985361,-86.57998,
www.bancorpsouth.com,Greenville Branch,1028 Fort Dale Rd,Greenville,Alabama,36037,US,,,ATM | Drive-Thru,,31.839116,-86.635269,
www.bancorpsouth.com,Montgomery Insurance Office,4216 Carmichael Rd.,Montgomery,Alabama,36106,US,,,Insurance,,32.358668,-86.232689,
www.bancorpsouth.com,Thomasville Branch,33440 Highway 43,Thomasville,Alabama,33440,US,,,ATM | Drive-Thru,,31.927257,-87.738356,
www.bancorpsouth.com,Troy Insurance Office,828 U.S. 231,Troy,Alabama,36081,US,,,Insurance,,31.833066,-85.991071,
www.bancorpsouth.com,Grove Hill Branch,103 Main Street,Grove Hill,Alabama,36451,US,,,ATM | Drive-Thru,,31.708441,-87.775314,
www.bancorpsouth.com,Tuscaloosa Mortgage Office,1100 Queen City Avenue,Tuscaloosa,Alabama,35401,US,,,Mortgage,,33.205306,-87.560774,
www.bancorpsouth.com,Hoover Branch,475 Southland Drive,Hoover,Alabama,35226,US,,,ATM | Drive-Thru,,33.409291,-86.808821,
www.bancorpsouth.com,Birmingham Inverness Branch,4680 Hwy 280,Birmingham,Alabama,35242,US,,,Mortgage | ATM | Drive-Thru,,33.423543,-86.701288,
www.bancorpsouth.com,Birmingham Colonnade Branch,3401 Colonnade Pkwy,Birmingham,Alabama,35243,US,,,Mortgage | ATM | Drive-Thru,,33.441288,-86.728462,
www.bancorpsouth.com,Jackson AL Branch,1901 College Avenue,Jackson,Alabama,36545,US,,,ATM | Drive-Thru,,31.530426,-87.892355,
www.bancorpsouth.com,Birmingham Mortgage Office,2201 Highland Avenue South,Birmingham,Alabama,35205,US,,,Mortgage,,33.500507,-86.789709,
