locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
marriott.com,Fairfield Inn & Suites Houston Missouri City,3533 FM 1092 Road,Missouri City,Texas,77459,US,HOUFM,18328998181,Fairfield Inn & Suites,NO-DATA,29.569206,-95.563142,NO-DATA
marriott.com,Fairfield Inn & Suites Kansas City Belton,151 North Mullen Road,Belton,Missouri,64012,US,MCIFE,,Fairfield Inn & Suites,NO-DATA,38.815133,-94.510408,NO-DATA
marriott.com,Courtyard Kansas City East/Blue Springs,1500 North East Coronado Drive,Blue Springs,Missouri,64014,US,MCIBS,18162288100,Courtyard,NO-DATA,39.026233,-94.242391,NO-DATA
marriott.com,Fairfield Inn & Suites Branson,220 Highway 165 South,Branson,Missouri,65616,US,SGFBN,14173365665,Fairfield Inn & Suites,NO-DATA,36.636721,-93.281164,NO-DATA
marriott.com,Marriott's Willow Ridge Lodge,2929 Green Mountain Drive,Branson,Missouri,65616,US,SGFHB,14173483100,Marriott Vacation Club,NO-DATA,36.631746,-93.272496,NO-DATA
marriott.com,Residence Inn Branson,280 Wildwood Drive South,Branson,Missouri,65616,US,SGFBR,14173364077,Residence Inn,NO-DATA,36.633085,-93.263299,NO-DATA
marriott.com,SpringHill Suites St. Louis Brentwood,1231 Strassner Drive,Brentwood,Missouri,63144,US,STLBW,13146478400,SpringHill Suites,NO-DATA,38.622806,-90.335034,NO-DATA
marriott.com,Courtyard Cape Girardeau Downtown,400 Broadway Street,Cape Girardeau,Missouri,63701,US,CGICY,15732409420,Courtyard,NO-DATA,37.306542,-89.522589,NO-DATA
marriott.com,Courtyard St Louis Chesterfield,17369 Chesterfield Airport Road,Chesterfield,Missouri,63005,US,STLXC,16367783230,Courtyard,NO-DATA,38.669983,-90.6037,NO-DATA
marriott.com,SpringHill Suites St. Louis Chesterfield,1065 Chesterfield Parkway East,Chesterfield,Missouri,63017,US,STLSH,16365197500,SpringHill Suites,NO-DATA,38.652812,-90.55105,NO-DATA
marriott.com,TownePlace Suites St. Louis Chesterfield,748 Premium Way,Chesterfield,Missouri,63005,US,STLTI,16367785100,TownePlace Suites,NO-DATA,38.673208,-90.663378,NO-DATA
marriott.com,Fairfield Inn & Suites Chillicothe,220 West Business 36 Highway,Chillicothe,Missouri,64601,US,TRXFI,16606463100,Fairfield Inn & Suites,NO-DATA,39.773961,-93.545664,NO-DATA
marriott.com,Courtyard Columbia,3301 Lemone Industrial Boulevard,Columbia,Missouri,65201,US,COUCY,15734438000,Courtyard,NO-DATA,38.914733,-92.291859,NO-DATA
marriott.com,Fairfield Inn & Suites Columbia,1115 Woodland Springs Ct.,Columbia,Missouri,65202,US,COUFS,15738868888,Fairfield Inn & Suites,NO-DATA,38.96295,-92.284743,NO-DATA
marriott.com,Residence Inn Columbia,1100 Woodland Springs Court,Columbia,Missouri,65202,US,COURI,15734425601,Residence Inn,NO-DATA,38.963309,-92.290723,NO-DATA
marriott.com,SpringHill Suites Columbia,3415 Clark Lane,Columbia,Missouri,65202,US,COUSH,15735549024,SpringHill Suites,NO-DATA,38.965261,-92.286736,NO-DATA
marriott.com,TownePlace Suites Columbia,4400 Nocona Parkway,Columbia,Missouri,65201,US,COUTS,15738170012,TownePlace Suites,NO-DATA,38.900729,-92.28679,NO-DATA
marriott.com,Courtyard St. Louis Creve Coeur,828 N New Ballas Road,Creve Coeur,Missouri,63146,US,STLCC,13149930515,Courtyard,NO-DATA,38.672319,-90.443145,NO-DATA
marriott.com,Residence Inn St. Louis Airport/Earth City,3290 Rider Trail South,Earth City,Missouri,63045,US,STLRI,13142090995,Residence Inn,NO-DATA,38.76209,-90.45431,NO-DATA
marriott.com,Fairfield Inn St. Louis Fenton,1680 Fenton Business Park Court,Fenton,Missouri,63026,US,STLFN,16363051500,Fairfield Inn & Suites,NO-DATA,38.541234,-90.446997,NO-DATA
marriott.com,TownePlace Suites St. Louis Fenton,1662 Fenton Business Park Ct.,Fenton,Missouri,63026,US,STLTF,16363057000,TownePlace Suites,NO-DATA,38.54034,-90.446844,NO-DATA
marriott.com,Residence Inn Kansas City Independence,3700 South Arrowhead Avenue,Independence,Missouri,64057,US,MCIRI,18167956466,Residence Inn,NO-DATA,39.051498,-94.359854,NO-DATA
marriott.com,Fairfield Inn & Suites Jefferson City,3621 West Truman Boulevard,Jefferson City,Missouri,65109,US,COUJC,15737610400,Fairfield Inn & Suites,NO-DATA,38.588926,-92.254771,NO-DATA
marriott.com,Fairfield Inn Joplin,3301 South Range Line Road,Joplin,Missouri,64804,US,JLNFI,14176247800,Fairfield Inn & Suites,NO-DATA,37.053612,-94.478414,NO-DATA
marriott.com,Residence Inn Joplin,3128 East Hammons Blvd.,Joplin,Missouri,64804,US,JLNRI,14177820908,Residence Inn,NO-DATA,37.04819,-94.474795,NO-DATA
marriott.com,TownePlace Suites Joplin,4026 S. Arizona Avenue,Joplin,Missouri,64804,US,JLNTS,14176598111,TownePlace Suites,NO-DATA,37.043589,-94.481113,NO-DATA
