locator_domain, location_name, street_address, city, state, zip, country_code, store_number, phone, location_type, naics_code, latitude, longitude, hours_of_operation
"shopnsavefood.com__api","Ambridge","2910 Duss Avenue","Ambridge","PA","15003","US","26","7242669758","Store","NO-DATA","40.611713","-80.226221","Mon-Sat 7:00am-10:00pm, Sun 7:00am-8:00pm"
"shopnsavefood.com__api","Belington Express","806 Crim Avenue ","Belington","WV","26250","US","28","3048233104","Store","NO-DATA","39.022257","-79.936953","Mon-Sun 7:00-11:00"
"shopnsavefood.com__api","Bethel Park","5001 Library Road","Bethel Park","PA","15102","US","30","4128317177","Store","NO-DATA","40.342063","-80.025895","Monday - Saturday 8am - 9pm, Sunday 9am - 9pm"
"shopnsavefood.com__api","Bolivar","455 Main Street","Bolivar","NY","14715","US","31","5859281708","Store","NO-DATA","42.064109","-78.16824","Mon-Sun 7:00-9:00"
"shopnsavefood.com__api","Brownsville","1119 Brownsville Rd","Pittsburgh","PA","15210","US","84","4128814447","Store","NO-DATA","40.405146","-79.990705","Mon-Sat 7:00am - 10:00pm, Sun 8:00am - 8:00pm"
"shopnsavefood.com__api","Buttermilk Hollow","4647 Buttermilk Hollow Road","West Mifflin","PA","15122","US","111","4124620639","Store","NO-DATA","40.35719","-79.910345","Mon-Fri 7am-10pm, Sat-Sun 7am-9pm"
"shopnsavefood.com__api","Canonsburg","617 West Pike Street ","Canonsburg","PA","15317","US","32","7247452900","Store","NO-DATA","40.257422","-80.204701","Mon-Sat 7:00-12:00, Sun 7:00-9:00"
"shopnsavefood.com__api","Carmichaels","560 Route 88 ","Carmichaels","PA","15320","US","33","7249667339","Store","NO-DATA","39.881091","-79.967229","Mon-Sun 8:00am-10:00pm "
"shopnsavefood.com__api","Castle Shannon","799 Castle Shannon Blvd ","Pittsburgh","PA","15234","US","85","4125611418","Store","NO-DATA","40.368569","-80.028126","Mon-Sun 6:00am-12:00am"
"shopnsavefood.com__api","Century Square","2381 Mountain View Drive ","West Mifflin","PA","15122","US","112","4126557090","Store","NO-DATA","40.346544","-79.943604","Mon-Sun 7:00am-10:00pm"
"shopnsavefood.com__api","Coudersport","7 West Second St.","Coudersport","PA","16915","US","37","8142749102","Store","NO-DATA","41.774624","-78.02222","Mon-Fri 7am-8pm, Sat 8am - 8pm, Sun 8am-8pm"
"shopnsavefood.com__api","Cranberry Township","1197 Freedom Road","Cranberry Twp.","PA","16066","US","38","7247412600","Store","NO-DATA","40.682677","-80.117716","Mon-Sun 6:00am-Midnight"
"shopnsavefood.com__api","Cresson","1213 Second Avenue ","Cresson","PA","16630","US","39","8148867221","Store","NO-DATA","40.459618","-78.591481","Mon-Sat 7:00am-10:00pm, Sun 7:00am-9:00pm"
"shopnsavefood.com__api","Davis Express","371 Williams Avenue ","Davis","WV","26260","US","40","3042594836","Store","NO-DATA","39.045186","-79.405575","Mon-Sun 8:00-9:00 "
"shopnsavefood.com__api","Deep Creek","24586 Garrett Highway","McHenry","MD","21541","US","62","NO-DATA","Store","NO-DATA","39.561815","-79.357531","Sun-Thur 7:30am - 9:00pm, Fri-Sat 7:30am - 10:00pm"
"shopnsavefood.com__api","Devines","529 North Main Street ","Hubbard","OH","44425","US","57","3305343625","Store","NO-DATA","41.163536","-80.568967","Mon-Sat 7:00am-10:00pm, Sun 8:00am-9:00pm"
"shopnsavefood.com__api","East Rochester","750 Ohio River Blvd.","Rochester","PA","15074","US","100","7247286728","Store","NO-DATA","40.699121","-80.272744","Mon-Sun 7:00am-11:00pm"
"shopnsavefood.com__api","Elkins Express","1513 Harrison Avenue ","Elkins","WV","26241","US","41","3046367990","Store","NO-DATA","38.931672","-79.86685","Mon-Sun 8:00am-9:00pm"
"shopnsavefood.com__api","Fairchance","58 West Church Street ","Fairchance","PA","15436","US","42","7245647810","Store","NO-DATA","39.820683","-79.754627","Mon-Sun 7:00am-10:00pm"
"shopnsavefood.com__api","Fillmore","44 Genesee St.","Fillmore","NY","14735","US","45","5855672701","Store","NO-DATA","42.461634","-78.112364","NO-DATA"
"shopnsavefood.com__api","Galeton","28 West Street","Galeton","PA","16922","US","47","8144356532","Store","NO-DATA","41.733949","-77.649951","NO-DATA"
"shopnsavefood.com__api","Glenshaw","917 Butler Street","Pittsburgh","PA","15223","US","87","4124871460","Store","NO-DATA","40.511674","-79.948062","Mon-Sun 6:00am-11:00pm"
"shopnsavefood.com__api","Gold Crown","1309 Shoemaker Avenue","Nanty Glo","PA","15943","US","70","8147490121","Store","NO-DATA","40.467601","-78.836324","Mon-Sat 8am-9pm, Sun 8am-6pm"
"shopnsavefood.com__api","Gowanda","10 Buffalo Street","Gowanda","NY","14070","US","49","7165325545","Store","NO-DATA","42.464436","-78.934793","Mon-Sat 7am-9pm, Sun 8am-8pm"
"shopnsavefood.com__api","Grafton Express","57 Maple Avenue","Grafton","WV","26354","US","50","3042652070","Store","NO-DATA","39.337617","-80.024006","Mon-Sun 7am-9pm"
"shopnsavefood.com__api","Grantsville","3249 Chestnut Ridge Road","Grantsville","MD","21536","US","51","3018955153","Store","NO-DATA","39.697347","-79.09873","Mon-Sat 8:00am - 9:00pm, Sun 8:00am - 7:00pm"
"shopnsavefood.com__api","Harrisville Express","1617 E Main St","Harrisville","WV","26362","US","54","3046432230","Store","NO-DATA","39.216029","-81.039619","Mon-Sun 8am-10pm"
"shopnsavefood.com__api","Haymaker Village","4548 Broadway Blvd ","Monroeville","PA","15146","US","65","4128585800","Store","NO-DATA","40.39044","-79.765956","Mon-Sat 7:00-11:00, Sun 7:00-9:00"
"shopnsavefood.com__api","Heidelberg","2100 Washington Pike ","Carnegie","PA","15106","US","34","4122765130","Store","NO-DATA","40.386926","-80.092413","24 Hours"
"shopnsavefood.com__api","Helds","Rt. 66 & 16th Street ","North Apollo","PA","15673","US","75","7244784751","Store","NO-DATA","40.594517","-79.560907","Mon-Sat 7:30-9:30, Sun 8:00-5:00"
"shopnsavefood.com__api","Holiday Park","2362 Route 286, Holiday Park Center","Pittsburgh","PA","15239","US","88","7243255400","Store","NO-DATA","40.462907","-79.705591","Mon-Sun 6:00am-12:00am"
"shopnsavefood.com__api","Horseheads Jubilee","2898 Westinghouse Road","Horseheads","NY","14845","US","56","6077962191","Store","NO-DATA","42.176079","-76.836319","Mon-Sun 6am-11pm"
"shopnsavefood.com__api","Houtzdale Express","541 Spring Street","Houtzdale","PA","16651","US","55","8143787659","Store","NO-DATA","40.826784","-78.343291","Mon-Sat 8:00am - 9:00pm, Sun 5:00am - 5:00pm"
"shopnsavefood.com__api","Imperial","600 Market Place Drive ","Oakdale","PA","15071","US","78","7246951669","Store","NO-DATA","40.496309","-80.224915","24 Hours"
"shopnsavefood.com__api","Latrobe","1910 Dailey Avenue ","Latrobe","PA","15650","US","58","7245393080","Store","NO-DATA","40.309574","-79.372981","Mon-Sat 7:00-10:00, Sun 7:00-7:00"
"shopnsavefood.com__api","Lawrenceville","450 56th Street ","Pittsburgh","PA","15201","US","89","4127848701","Store","NO-DATA","40.48438","-79.947574","Mon-Sun 7:00-10:00"
"shopnsavefood.com__api","Moorefield Express","Route 220 N MainSt","Moorefield","WV","26836","US","66","3045386396","Store","NO-DATA","39.072595","-78.965564","Mon-Sat 8:00am-9:00pm, Sun 9:00am-8:00pm"
"shopnsavefood.com__api","Mount Pleasant","210 North Diamond Street ","Mt. Pleasant","PA","15666","US","68","7245473581","Store","NO-DATA","40.151456","-79.538162","Mon-Sun 7:00am-10:00pm"
"shopnsavefood.com__api","Mt Washington","125 Virginia Ave","Pittsburgh","PA","15211","US","90","4124311566","Store","NO-DATA","40.429554","-80.008192","Mon - Sat 7:00am -9:00pm, Sun - 8:00am - 9:00pm"
"shopnsavefood.com__api","Murrysville","4536 William Penn Highway","Murrysville","PA","15668","US","69","7247330556","Store","NO-DATA","40.425571","-79.672127","Mon-Sat 7 AM - 11 PM, Sun 7 AM - 9 PM"
