locator_domain,location_name,street_address,city,state,zip,county_code,phone
https://www.marriott.com/hotels/travel/bhmmc-birmingham-marriott/,Birmingham Marriott,3590 Grandview Parkway,Birmingham,Alabama,35243,USA,+1 205-968-3775
https://www.marriott.com/hotels/travel/phfvi-marriotts-manor-club-at-fords-colony/,Marriott's Manor Club at Ford's Colony,101 St. Andrews Drive,Williamsburg,Virginia,23188,USA,+1 757-258-1120
https://www.marriott.com/hotels/travel/houwl-houston-marriott-west-loop-by-the-galleria/,Houston Marriott West Loop by The Galleria,1750 West Loop South,Houston,Texas,77027,USA,+1 713-960-0111
https://www.marriott.com/hotels/travel/mhtfa-fairfield-inn-amesbury/,Fairfield Inn Amesbury,35 Clarks Road,Amesbury,Massachusetts,01913,USA,+1 978-388-3400
https://www.marriott.com/hotels/travel/rocri-residence-inn-rochester-west-greece/,Residence Inn Rochester West/Greece,500 Paddy Creek Circle,Rochester,New York,14615,USA,+1 585-865-2090
https://www.marriott.com/hotels/travel/ewrwb-fairfield-inn-and-suites-woodbridge/,Fairfield Inn & Suites Woodbridge,1295 US Highway 1,Avenel,New Jersey,07001,USA,+1 732-396-9700
https://www.marriott.com/hotels/travel/atldn-aloft-atlanta-downtown/,Aloft Atlanta Downtown,300 Ted Turner Drive NW,Atlanta,Georgia,30308,USA,+1 678-515-0300
https://www.marriott.com/hotels/travel/phxox-moxy-phoenix-tempe-asu-area/,Moxy Phoenix Tempe/ASU Area,1333 South Rural Road,Tempe,Arizona,85281,USA,+1 480-968-3451
https://www.marriott.com/hotels/travel/ilgud-courtyard-newark-university-of-delaware/,Courtyard Newark-University of Delaware,400 David Hollowell Drive,Newark,Delaware,19716,USA,+1 302-737-0900
https://www.marriott.com/hotels/travel/oakpl-courtyard-pleasanton/,Courtyard Pleasanton,5059 Hopyard Road,Pleasanton,California,94588,USA,+1 925-463-1414
https://www.marriott.com/hotels/travel/denca-courtyard-denver-stapleton/,Courtyard Denver Stapleton,7415 East 41st Avenue,Denver,Colorado,80216,USA,+1 303-333-3303
https://www.marriott.com/hotels/travel/jaxca-courtyard-jacksonville-airport-northeast/,Courtyard Jacksonville Airport Northeast,14668 Duval Road,Jacksonville,Florida,32218,USA,+1 904-741-1122
https://www.marriott.com/hotels/travel/lextw-towneplace-suites-lexington-keeneland-airport/,TownePlace Suites Lexington Keeneland/Airport,980 Midnight Pass,Lexington,Kentucky,40513,USA,+1 859-368-9491
https://www.marriott.com/hotels/travel/houxc-springhill-suites-houston-westchase/,SpringHill Suites Houston Westchase,5851 Rogerdale Road,Houston,Texas,77072,USA,+1 832-300-0200
https://www.marriott.com/hotels/travel/hlnri-residence-inn-helena/,Residence Inn Helena,2500 East Custer Avenue,Helena,Montana,59602,USA,+1 406-443-8010
