locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
homesmart.com,Bellevue - HomeSmart Real Estate Associates,"11900 Northeast 1st Street, Suite 300",Bellevue,WA,98005,US,8366e1a33f8da24272127b033e33eade,(206) 650-8489,Office,,47.61148379999999,-122.182711,
homesmart.com,Bellingham - HomeSmart One Realty,"4164 Meridian Street, Suite 104",Bellingham,WA,98226,US,60378f03f6ff31458f84b06671e15fa6,(360) 738-9086,Office,,48.7930413,-122.486014,
homesmart.com,Everett Branch - HomeSmart One Realty,713 SE Everett Mall Way Suite E,Everett,WA,98208,US,,,Office,,47.9101211,-122.2227015,
homesmart.com,Lynnwood - HomeSmart ION Realty Group,"4114 198th Street Southwest, Suite 2",Lynnwood,WA,98036,US,c82994afe5031325c762dc0dd17a55fc,(425) 967-7175,Office,,47.818897,-122.2890745,
homesmart.com,Mill Creek - HomeSmart Ion Realty Group,15906 Mill Creek Blvd. Suite 108,Mill Creek,WA,98012,US,cc2f0b2d03f65fe6fdb9e0100cb84703,,Office,,47.8541816,-122.2210284,
homesmart.com,Seattle - HomeSmart Real Estate Associates,309 NE 103rd St,Seattle,WA,98125,US,59d945c51f7acf085867d19af76b882a,(206) 523-7653,Office,,47.7029897,-122.3252529,
homesmart.com,Tacoma - HomeSmart Real Estate Associates,"1201 Pacific Avenue, Suite 600",Tacoma,WA,98402,US,161c4d905a685b00b171df998a6f131d,,Office,,47.2521599,-122.4373977,
homesmart.com,Vancouver - HomeSmart Realty Group,237 NE Chkalov Dr Suite 201,Vancouver,WA,98684,US,e93ecf892a830b0cd19ab77651afae8c,(971) 559-5865,Office,,45.623038,-122.5564459,
homesmart.com,Kenosha - HomeSmart Leading Edge,3812 Roosevelt Road,Kenosha,WI,53142,US,,(262) 747-1100,Office,,42.5669575,-87.8547261,
homesmart.com,Honolulu - HomeSmart Island Homes,1888 Kalakaua Ave C-312,Honolulu,HI,96815,US,,(808) 799-8968,Office,,21.288,-157.8338316,
homesmart.com,State of Florida - HomeSmart HQ,,,,,US,,(407) 476-0461,Office,,28.5378743,-81.3687276,
homesmart.com,Casper - HomeSmart CH4 Realty,1432 E 2nd St.,Casper,WY,82601,US,,,Office,,42.8490016,-106.3058663,
homesmart.com,HomeSmart CH4 Realty Group - Rock Springs,"639 Pilot Butte Avenue, Suite B",Rock Springs,WY,82901,US,24c037fa0bae57be62c54a87fa14b28d,(307) 212-6900,Office,,41.5898463,-109.2198271,
homesmart.com,Cherry Hill - First Advantage Realty,498 Kings Highway North,Cherry Hill,NJ,08034,US,0ed28527558c211aeb1557de2a31e88d,(856) 666-3000,Office,,39.9276649,-74.9961695,
homesmart.com,New Jersey - HomeSmart Nexus Realty Group,103 Carnegie Center Suite 300,Princeton,NJ,08540,US,d37756dc01606a26ab5c09adaf9ec961,,Office,,40.3119391,-74.6528977,
homesmart.com,Turnersville - First Advantage Realty,215 Fries Mill Road,Turnersville,NJ,08012,US,a944ab27bd23668ccd6cba570d1c185f,(856) 666-3000,Office,,39.7290892,-75.0500261,
homesmart.com,Voorhees - First Advantage Realty,9 White Horse Road East,Voorhees Township,NJ,08043,US,1817c17449040e4c52d2b5379504f680,(856) 435-3400,Office,,39.83991,-74.997304,
homesmart.com,Albuquerque - HomeSmart Realty Pros,,,,,US,,(505) 962-2121,Office,,35.1664702,-106.5866404,
homesmart.com,HomeSmart Fine Properties - Galleria,"770 South Post Oak Lane, Suite 100",Houston,TX,77056,US,6ae059f3c2bc4e61858b08ffd329dfd3,(713) 461-1230,Office,,29.7605551,-95.46377439999999,
homesmart.com,HomeSmart Fine Properties - McAllen,4217 N. McColl Rd. #100A,McAllen,TX,78504,US,,,Office,,26.239586,-98.2068166,
