locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
kort.com,Selma,1391 EAST HIGHLAND AVENUE,SELMA,AL,36703,US,50067,(334) 875-6110,Physio,,32.4329,-87.0168,
kort.com,Prattville,1824 GLYNWOOD DRIVE,PRATTVILLE,AL,36066,US,50072,(334) 361-4711,Physio,,32.4624,-86.4212,
kort.com,Millbrook,40 WISTERIA PLACE,MILLBROOK,AL,36054,US,50075,(334) 285-0239,Physio,,32.5089,-86.3811,
kort.com,Mulberry Street / Jackson Hospital,1215 MULBERRY STREET,MONTGOMERY,AL,36106,US,50015,(334) 262-6161,Physio,,32.3678,-86.2829,
kort.com,Greenville,100 ADAMS STREET,GREENVILLE,AL,36037,US,50073,(334) 382-5308,Physio,,31.8291,-86.6251,
kort.com,East Montgomery,464 SAINT LUKES DRIVE,MONTGOMERY,AL,36117,US,50071,(334) 244-6699,Physio,,32.3773,-86.1715,
kort.com,Wetumpka,74240 TALLASSEE HIGHWAY,WETUMPKA,AL,36092,US,50074,(334) 514-4488,Physio,,32.5514,-86.1803,
kort.com,Troy,1118B HIGHWAY 231 S,TROY,AL,36081,US,50069,(334) 566-5021,Physio,,31.8125,-85.9862,
kort.com,Pelham,3143 PELHAM PARKWAY,PELHAM,AL,35124,US,50054,(205) 664-3197,Physio,,33.2890,-86.8101,
kort.com,Hoover,5295 PRESERVE PARKWAY,HOOVER,AL,35244,US,50065,(205) 988-8542,Physio,,33.3560,-86.8462,
kort.com,Tuscaloosa,2700 UNIVERSITY BLVD,TUSCALOOSA,AL,35401,US,50056,(205) 752-2266,Physio,,33.2090,-87.5732,
kort.com,Greystone,201 DOUG BAKER BLVD,BIRMINGHAM,AL,35242,US,50704,(205) 408-0700,Physio,,33.4084,-86.6666,
kort.com,Hueytown,3014 ALLISON BONNETT MEMORIAL DRIVE,HUEYTOWN,AL,35023,US,50059,(205) 744-9444,Physio,,33.4533,-86.9781,
kort.com,Shades Crest,200 MONTGOMERY HIGHWAY,VESTAVIA HILLS,AL,35216,US,50084,(205) 822-0067,Physio,,33.4531,-86.7878,
kort.com,St. Vincent's,805 SAINT VINCENTS DRIVE,BIRMINGHAM,AL,35205,US,50051,(205) 939-1557,Physio,,33.5089,-86.7880,
kort.com,Gardendale,592 FIELDSTOWN ROAD,GARDENDALE,AL,35071,US,50063,(205) 608-3606,Physio,,33.6530,-86.8207,
kort.com,Jasper,1705 HIGHWAY 78 E,JASPER,AL,35501,US,50082,(205) 302-0140,Physio,,33.8440,-87.2569,
kort.com,Defuniak Springs,931 US HIGHWAY 331 SOUTH,DEFUNIAK SPRINGS,FL,32435,US,40616,(850) 892-7644,Select PT,,30.8533,-86.2710,
kort.com,Oxford,2111 US HIGHWAY 78 EAST,ANNISTON,AL,36207,US,50052,(256) 832-1988,Physio,,33.6428,-85.9180,
kort.com,Crestview  ,184 EAST REDSTONE AVENUE,CRESTVIEW,FL,32539,US,21709,(850) 689-3127,Select PT,,30.7369,-86.5607,
kort.com,Oneonta,27550 STATE HIGHWAY 75,ONEONTA,AL,35121,US,50066,(205) 274-0111,Physio,,33.9319,-86.4943,
kort.com,Pace,3650 BERRYHILL ROAD,PACE,FL,32571,US,21713,(850) 995-1364,Select PT,,30.6464,-87.1701,
kort.com,Milton,5827 HIGHWAY 90,MILTON,FL,32583,US,21698,(850) 983-8583,Select PT,,30.6024,-87.0802,
kort.com,East Nine Mile Road,955 EAST NINE MILE ROAD,PENSACOLA,FL,32514,US,20817,(850) 361-3650,Select PT,,30.5320,-87.2451,
kort.com,Cullman,1837 PATRIOT WAY,CULLMAN,AL,35055,US,50083,(256) 775-4421,Physio,,34.1528,-86.8403,
kort.com,Niceville,1047B JOHN SIMS PARKWAY E,NICEVILLE,FL,32578,US,40645,(850) 729-1086,Select PT,,30.5170,-86.4708,
kort.com,Pensacola State College,"1000 COLLEGE BOULEVARD, ROOM 324, LOU ROSS CENTER",PENSACOLA,FL,32504,US,21712,(850) 477-6966,Select PT,,30.4783,-87.1981,
kort.com,Pine Forest,7030 PINE FOREST ROAD,PENSACOLA,FL,32526,US,21699,(850) 944-5360,Select PT,,30.4916,-87.3057,
kort.com,Airport,2065 AIRPORT BOULEVARD,PENSACOLA,FL,32504,US,21694,(850) 477-6966,Select PT,,30.4765,-87.2040,
kort.com,Fort Walton Beach,405 NE RACETRACK ROAD,FORT WALTON BEACH,FL,32547,US,40621,(850) 863-4747,Select PT,,30.4427,-86.6023,
kort.com,Navarre,1921 ORTEGA STREET,NAVARRE,FL,32566,US,21701,(850) 936-8919,Select PT,,30.4042,-86.8559,
kort.com,Tiger Point,"1464 TIGER PARK LANE, BUILDING A, SUITE 2",GULF BREEZE,FL,32563,US,41277,(850) 934-1833,Select PT,,30.3896,-87.0624,
kort.com,Westside,7581 HIGHWAY 98 WEST,PENSACOLA,FL,32506,US,21700,(850) 453-9475,Select PT,,30.3990,-87.3117,
kort.com,Destin,1008 AIRPORT ROAD,DESTIN,FL,32541,US,40619,(850) 837-3349,Select PT,,30.3951,-86.4706,
kort.com,Carrollton GA,"1004 BANKHEAD HIGHWAY, BLDG A, SUITE 5",CARROLLTON,GA,30117,US,50382,(770) 834-5609,Physio,,33.5938,-85.0453,
kort.com,Newnan,40 GREENWAY COURT,NEWNAN,GA,30265,US,50737,(770) 502-0195,Physio,,33.3967,-84.7377,
kort.com,Emory Peachtree City,331 COMMERCE DRIVE,Peachtree City,GA,30269,US,90020,(770) 631-0400,Emory,,33.3991,-84.5908,
kort.com,Peachtree City,3200 SHAKERAG HILL,PEACHTREE CITY,GA,30269,US,50735,(770) 487-0760,Physio,,33.4142,-84.5592,
kort.com,Emory Douglasville,4586 TIMBER RIDGE DRIVE,Douglasville,GA,30135,US,90010,(770) 949-0558,Emory,,33.7370,-84.7267,
kort.com,Douglasville,8509 HOSPITAL DRIVE,DOUGLASVILLE,GA,30134,US,50742,(770) 947-5440,Physio,,33.7487,-84.7321,
kort.com,Emory Fayetteville,560 GRADY AVENUE,Fayetteville,GA,30215,US,90012,(770) 461-6488,Emory,,33.4451,-84.4679,
kort.com,Hiram,76 HIGHLAND PAVILION COURT,HIRAM,GA,30141,US,50738,(678) 384-0844,Physio,,33.8997,-84.7709,
kort.com,Emory Griffin,1435 NORTH EXPRESSWAY,Griffin,GA,30223,US,90013,(770) 227-4049,Emory,,33.2721,-84.2926,
kort.com,Lithia Springs,665 THORNTON WAY,LITHIA SPRINGS,GA,30122,US,50384,(770) 739-5888,Physio,,33.7858,-84.6163,
kort.com,College Park,1669 PHOENIX PARKWAY,COLLEGE PARK,GA,30349,US,50732,(770) 907-1023,Physio,,33.6128,-84.4454,
kort.com,Scottsboro,24663 JOHN T REID PARKWAY,SCOTTSBORO,AL,35768,US,50061,(256) 574-4208,Physio,,34.6668,-86.0102,
kort.com,Tara,335 UPPER RIVERDALE ROAD,JONESBORO,GA,30236,US,50733,(770) 907-5743,Physio,,33.5827,-84.3802,
kort.com,Emory Austel ,3999 AUSTELL ROAD,Austell,GA,30106,US,90004,(770) 739-0090,Emory,,33.8564,-84.5994,
kort.com,Emory Morrow,1590 ADAMSON PARKWAY,Morrow,GA,30260,US,90018,(770) 960-9575,Emory,,33.5780,-84.3384,
