locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
marriott.com,Birmingham Marriott,3590 Grandview Parkway,Birmingham,Alabama,35243,USA,,+1 205-968-3775,MC,,33.436518,-86.718458,
marriott.com,Marriott's Manor Club at Ford's Colony,101 St. Andrews Drive,Williamsburg,Virginia,23188,USA,,+1 757-258-1120,MV,,37.303588,-76.782928,
marriott.com,Houston Marriott West Loop by The Galleria,1750 West Loop South,Houston,Texas,77027,USA,,+1 713-960-0111,MC,,29.749668,-95.456443,
marriott.com,Sheraton Grand Samsun Hotel,"Liman Mahallesi Ataturk Bulvari No:55, Ilkadim",Samsun,,55100,Turkey,,+90 362 312 00 00,SI,,41.316038,36.33536,
marriott.com,Fairfield Inn Amesbury,35 Clarks Road,Amesbury,Massachusetts,01913,USA,,+1 978-388-3400,FN,,42.844295,-70.909385,
marriott.com,Residence Inn Rochester West/Greece,500 Paddy Creek Circle,Rochester,New York,14615,USA,,+1 585-865-2090,RI,,43.205004,-77.67328,
marriott.com,Fairfield Inn & Suites Woodbridge,1295 US Highway 1,Avenel,New Jersey,07001,USA,,+1 732-396-9700,fn,,40.593535,-74.273717,
marriott.com,Madrid Marriott Auditorium Hotel & Conference Center,Avenida de Aragon No 400,Madrid,,28022,Spain,,+34 914 00 44 00,MC,,40.449057,-3.558685,
marriott.com,Aloft Atlanta Downtown,300 Ted Turner Drive NW,Atlanta,Georgia,30308,USA,,+1 678-515-0300,AL,,33.76281,-84.389763,
marriott.com,Moxy Phoenix Tempe/ASU Area,1333 South Rural Road,Tempe,Arizona,85281,USA,,+1 480-968-3451,OX,,33.413723,-111.92604,
marriott.com,Courtyard Newark-University of Delaware,400 David Hollowell Drive,Newark,Delaware,19716,USA,,+1 302-737-0900,CY,,39.687971,-75.759457,
marriott.com,Courtyard Pleasanton,5059 Hopyard Road,Pleasanton,California,94588,USA,,+1 925-463-1414,CY,,37.694212,-121.903604,
marriott.com,Courtyard Denver Stapleton,7415 East 41st Avenue,Denver,Colorado,80216,USA,,+1 303-333-3303,CY,,39.775101,-104.902437,
marriott.com,Moxy Ludwigshafen,Im Zollhof 5,Ludwigshafen am Rhein,,67061,Germany,,+49 621 37909007,OX,,49.484142,8.449386,
marriott.com,Courtyard Jacksonville Airport Northeast,14668 Duval Road,Jacksonville,Florida,32218,USA,,+1 904-741-1122,CY,,30.481662,-81.647512,
marriott.com,Marriott Maracay Golf Resort,"Avenida El Canal, Edificio Hotel de Golf Maracay, Urbanizacion Cantarrana",Maracay,,2102,Venezuela,,+58 243-2446222,MC,,10.28735,-67.579389,
