locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
shopnsavefood.com,,11564 Hopewell Rd.,Hagerstown,MD,21740,US,330,,Gas Station,,39.631447,-77.784293,
shopnsavefood.com,,Pitsburgh Int'l Airport - near parking lot,Aliquippa,PA,15231,US,125,,Gas Station,,40.4943071,-80.2671737,
shopnsavefood.com,,2680 Brodhead Road,Aliquippa,PA,15001,US,126,,Gas Station,,40.6061231,-80.2835837,
shopnsavefood.com,,2046 Brodhead - 5 Points Intersection,Aliquippa,PA,15001,US,127,,Gas Station,,40.5693741,-80.2594466,
shopnsavefood.com,,4785 Wm. Flynn. Hwy. Rt. 8,Allison Park,PA,15101,US,128,,Gas Station,,40.596914,-79.947908,
shopnsavefood.com,,2910 Duss Avenue,Ambridge,PA,15003,US,26,,,,40.611713,-80.226221,
shopnsavefood.com,,800 Merchant Street,Ambridge,PA,15003,US,129,,Gas Station,,40.589372,-80.2311673,
shopnsavefood.com,,400 Union Ave,Avalon,PA,15202,US,344,,Gas Station,,"40.504092
","-80.0622012
",
shopnsavefood.com,,Curry Hollow & Keeport,Pleasant Hills,PA,15236,US,227,,Gas Station,,40.33514,-79.98324,
shopnsavefood.com,,1199 Third Street,Beaver,PA,15009,US,130,,Gas Station,,40.6919313,-80.3144308,
shopnsavefood.com,,1721 Banksville Road.,Pittsburgh,PA,15216,US,223,,Gas Station,,40.40009,-80.04617,
shopnsavefood.com,,806 Crim Avenue ,Belington,WV,26250,US,28,,,,39.022257,-79.936953,
shopnsavefood.com,,4528 Ohio River Boulevard,Bellevue,PA,15202,US,131,,Gas Station,,40.492014,-80.061497,
shopnsavefood.com,,5001 Library Road,Bethel Park,PA,15102,US,30,,,,40.342063,-80.025895,
shopnsavefood.com,,51 Genesis Blvd,Bridgeport,WV,26330,US,347,,Gas Station,,39.3221619,-80.2326953,
shopnsavefood.com,,106 Wilsonburg Rd,Clarksburg,WV,26301,US,348,,Gas Station,,39.2864039,-80.3834048,
shopnsavefood.com,,169 Fairchance Rd.,Morgantown,WV,26508,US,271,,Gas Station,,39.59532,-79.92287,
shopnsavefood.com,,608 Emily Dr.,Clarksburg,WV,26301,US,274,,Gas Station,,39.3287,-80.27337,
shopnsavefood.com,,204 Venture Dr,Morgantown,WV,26508,US,270,,Gas Station,,39.59532,-79.92287,
shopnsavefood.com,,2201 Pleasant Valley Rd.,Fairmont,WV,26554,US,273,,Gas Station,,39.49411,-80.22128,
shopnsavefood.com,,1766 Mileground Rd.,Morgantown,WV,26505,US,275,,Gas Station,,39.59532,-79.92287,
shopnsavefood.com,,9615 Mall Loop,Fairmont,WV,26301,US,272,,Gas Station,,39.429370,-80.187752,
shopnsavefood.com,,24179 Garret Hwy,McHenry,MD,21541,US,295,,Gas Station,,39.556406,-79.351715,
shopnsavefood.com,,4068 Penn Avenue,Bloomfield,PA,15224,US,133,,Gas Station,,40.4654193,-79.9555033,
shopnsavefood.com,,4779 Liberty St. at Mathilda,Bloomfield,PA,15224,US,134,,Gas Station,,40.461144,-79.947298,
shopnsavefood.com,,455 Main Street,Bolivar,NY,14715,US,31,,,,42.064109,-78.16824,
shopnsavefood.com,,2929 Churchview Avenue,Brentwood,PA,15227,US,135,,Gas Station,,40.38051,-79.96672,
shopnsavefood.com,,3299 Saw Mill Run Boulevard,Brentwood,PA,15227,US,136,,Gas Station,,40.38051,-79.96672,
shopnsavefood.com,,1001 Washington Pike - Route 50,Bridgeville,PA,15017,US,137,,Gas Station,,40.35458,-80.09134,
shopnsavefood.com,,140 Miller Run Road,Bridgeville,PA,15017,US,138,,Gas Station,,40.35458,-80.09134,
shopnsavefood.com,,533 Brookline Boulevard,Brookline,PA,15226,US,139,,Gas Station,,40.3958975,-80.0225857,
shopnsavefood.com,,1640 Saw Mill Run Road,Pittsburgh,PA,15210,US,219,,Gas Station,,40.396446,-79.998606,
shopnsavefood.com,,1119 Brownsville Rd,Pittsburgh,PA,15210,US,84,,,,40.405146,-79.990705,
shopnsavefood.com,,565 High & Broad Streets,Brownsville,PA,15417,US,140,,Gas Station,,39.92161,-79.69047,
shopnsavefood.com,,301 N. Burhans Blvd.,Hagerstown,MD,21741,US,327,,Gas Station,,39.649420,-77.724219,
shopnsavefood.com,,4647 Buttermilk Hollow Road,West Mifflin,PA,15122,US,111,,,,40.35719,-79.910345,
shopnsavefood.com,,617 West Pike Street ,Canonsburg,PA,15317,US,32,,,,40.257422,-80.204701,
shopnsavefood.com,,404 West Pike Street,Canonsburg,PA,15317,US,141,,Gas Station,,40.1557,-80.12842,
shopnsavefood.com,,2300 Hill Church / Houston Rd.,Canonsburg,PA,15317,US,142,,Gas Station,,40.1557,-80.12842,
