locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
valuevillage.com,Thrift Stores Abbotsford BC Savers,31970 S Fraserway,Abbotsford,BC,V2T 1V6,CA,696595,(604) 850-3712,,,49.0479365,-122.3378808,
valuevillage.com,Thrift Stores Mission BC Savers,7178 Horne Street,Mission,BC,V2V 3X8,CA,696691,(604) 826-1133,,,49.1316105,-122.2999283,
valuevillage.com,Thrift Stores Chilliwack BC Savers,45150 Luckakuck Way,Chilliwack,BC,V2R 3C7,CA,696629,(604) 847-0667,,,49.1434124,-121.975483,
valuevillage.com,Thrift Stores Langley BC Savers,20501 56th Ave,Langley,BC,V3A 4H8,CA,696675,(604) 533-1663,,,49.104979,-122.653015,
valuevillage.com,Thrift Stores Maple Ridge BC Savers,"11998 207th St, Unit #4",Maple Ridge,BC,V2X 1X7,CA,696685,(604) 463-6053,,,49.219613,-122.647885,
valuevillage.com,Thrift Stores Bellingham WA Savers,150 East Bellis Fair Parkway,Bellingham,WA,98226,US,692711,(360) 733-2333,,,48.787394,-122.483762,
valuevillage.com,Thrift Stores Surrey BC Savers,6925 King George Blvd,Surrey,BC,V3W 5A1,CA,696771,(604) 635-1341,,,49.12921,-122.845678,
valuevillage.com,Thrift Stores Coquitlam BC Savers,2739 Barnett Highway,Coquitlam,BC,V3E 1K9,CA,696635,(604) 464-9179,,,49.278083,-122.8099,
valuevillage.com,Thrift Stores Coquitlam BC Savers,1301 United Boulevard,Coquitlam,BC,V3K 6V3,CA,696631,(604) 549-9310,,,49.2308106,-122.8588113,
valuevillage.com,Thrift Stores Coquitlam BC Savers,"Unit 301, 552 Clarke Rd",Coquitlam,BC,V3J 3X5,CA,696633,(604) 937-7087,,,49.263391,-122.887865,
valuevillage.com,Thrift Stores New Westminster BC Savers,"1135 Tanaka Court, Suite 110",New Westminster,BC,V3M 0A6,CA,696701,(604) 540-0400,,,49.186789,-122.952968,
valuevillage.com,Thrift Stores Vancouver BC Savers,6415 Victoria Dr,Vancouver,BC,V5P 3X5,CA,696799,(604) 327-4434,,,49.226397,-123.065747,
valuevillage.com,Thrift Stores Vancouver BC Savers,1820 E Hastings St,Vancouver,BC,V5L 1T2,CA,696797,(604) 254-4282,,,49.281017,-123.0673299,
valuevillage.com,Thrift Stores Richmond BC Savers,8240 Granville Ave,Richmond,BC,V6Y 1P3,CA,696739,(604) 248-2285,,,49.162838,-123.133592,
valuevillage.com,Thrift Stores Mt. Vernon WA Savers,525 E College Way,Mt. Vernon,WA,98273,US,692731,(360) 416-0104,,,48.4370026,-122.3328704,
valuevillage.com,Thrift Stores Victoria BC Savers,1810 Store St,Victoria,BC,V8T 4R4,CA,696805,(250) 380-9422,,,48.430578,-123.370811,
valuevillage.com,Thrift Stores Marysville WA Savers,1334 State Ave,Marysville,WA,98270,US,692729,(360) 659-0098,,,48.0654061,-122.1753951,
valuevillage.com,Thrift Stores Nanaimo BC Savers,"530-5th St, Ste 101",Nanaimo,BC,V9R 1P2,CA,696697,(250) 741-0803,,,49.155775,-123.952141,
valuevillage.com,Thrift Stores Everett WA Savers,6220 Evergreen Way,Everett,WA,98203,US,692717,(425) 355-8320,,,47.9412677,-122.2187097,
valuevillage.com,Thrift Stores Lynnwood WA Savers,17216 Hwy 99,Lynnwood,WA,98037,US,692727,(425) 745-6603,,,47.8423251,-122.2985864,
valuevillage.com,Thrift Stores Edmonds WA Savers,21558 Highway 99,Edmonds,WA,98020,US,692715,(425) 771-8323,,,47.803892,-122.329649,
valuevillage.com,Thrift Stores Woodinville WA Savers,14160 NE Woodinville Duvall Road,Woodinville,WA,98072,US,692755,(425) 415-0837,,,47.755849,-122.1506115,
valuevillage.com,Thrift Stores Kirkland WA Savers,12515 116th Ave NE,Kirkland,WA,98034,US,692723,(425) 821-7186,,,47.712413,-122.188554,
valuevillage.com,Thrift Stores Seattle WA Savers,8532 15th Ave NW,Seattle,WA,98117,US,692741,(206) 783-4648,,,47.6909192,-122.3767919,
valuevillage.com,Thrift Stores Redmond WA Savers,16771 Redmond Way,Redmond,WA,98052,US,692735,(425) 883-2049,,,47.671624,-122.115836,
valuevillage.com,Thrift Stores Silver Spring MD Savers,10121 New Hampshire Avenue,Silver Spring,MD,20903,US,680077,(301) 431-9670,,,39.020782,-76.9757798,
valuevillage.com,Thrift Stores Silver Spring MD Savers,10141 New Hampshire Ave NE,Silver Spring,MD,20903,US,574285,(301) 431-7450,,,39.0210351,-76.9767489,
valuevillage.com,Thrift Stores Adelphi MD Savers,2277 University Blvd.,Adelphi,MD,20783,US,680071,(301) 422-2406,,,38.983784,-76.971886,
valuevillage.com,Thrift Stores Landover Hills MD Savers,6611 Annapolis Road,Landover Hills,MD,20784,US,680075,(301) 341-0001,,,38.942101,-76.901861,
valuevillage.com,Thrift Stores Silver Spring MD Savers,12345 Georgia Ave,Silver Spring,MD,20906,US,697155,(425) 919-6858,,,39.0608291,-77.0492821,
valuevillage.com,Thrift Stores Wheaton MD Savers,12211 Veirs Mill Road,Wheaton,MD,20906,US,574289,(301) 962-0600,,,39.057978,-77.083100,
valuevillage.com,Thrift Stores Rockville MD Savers,5520 Randolph Rd,Rockville,MD,20852,US,697165,(425) 919-6858,,,39.0520518,-77.1109627,
valuevillage.com,Thrift Stores Rockville MD Savers,12202 Rockville Pike,Rockville,MD,20852,US,697157,(425) 919-6858,,,39.055353,-77.119017,
valuevillage.com,Thrift Stores Upper Marlboro MD Savers,950 Largo Centre Drive,Upper Marlboro,MD,20774,US,696899,(844) 799-2050,,,38.9010539,-76.8339889,
valuevillage.com,Thrift Stores Suitland MD Savers,4917 Allentown Road,Suitland,MD,20746,US,680069,(301) 967-0700,,,38.8188497,-76.8926399,
valuevillage.com,Thrift Stores Falls Church VA Savers,2956 Gallows Road,Falls Church,VA,22042,US,574275,(703) 992-6569,,,38.870878,-77.227399,
valuevillage.com,Thrift Stores Glen Burnie MD Savers,7740 Ritchie Highway,Glen Burnie,MD,21061,US,696897,(844) 799-2050,,,39.1506213,-76.6152577,
valuevillage.com,Thrift Stores Arbutus MD Savers,1052 Maiden Choice Lane,Arbutus,MD,21227,US,697163,(425) 919-6858,,,39.2616119,-76.6970676,
valuevillage.com,Thrift Stores Brooklyn Park MD Savers,"5604 Richie Hwy, #3",Brooklyn Park,MD,21225,US,680073,(410) 789-8621,,,39.219456,-76.615212,
valuevillage.com,Thrift Stores Pasadena MD Savers,8573 Fort Smallwood Rd,Pasadena,MD,21122,US,697161,(425) 919-6858,,,39.152032,-76.519092,
valuevillage.com,Thrift Stores Randallstown MD Savers,8700 Liberty Road,Randallstown,MD,21133,US,696901,(844) 799-2050,,,39.3639917,-76.7829021,
valuevillage.com,Thrift Stores Pikesville MD Savers,1636 Reisterstown Rd,Pikesville,MD,21208,US,697159,(425) 919-6858,,,39.3795538,-76.7284655,
valuevillage.com,Thrift Stores Woodbridge VA Savers,14427 Potomac Mills Rd,Woodbridge,VA,22192,US,550275,(703) 499-9170,,,38.6356289,-77.2972769,
valuevillage.com,Thrift Stores Manassas VA Savers,14811 Dumfries Road,Manassas,VA,20112,US,697137,(425) 919-6858,,,38.6351899,-77.4264605,
valuevillage.com,Thrift Stores Parkville MD Savers,1925 E Joppa Rd,Parkville,MD,21234,US,550097,(410) 663-7481,,,39.399464,-76.547868,
valuevillage.com,Thrift Stores Nottingham MD Savers,8675 Belair Road,Nottingham,MD,21236,US,696895,(844) 799-2050,,,39.3914819,-76.4889494,
valuevillage.com,Thrift Stores Ajax ON Savers,"155 Harwood Ave N, #D",Ajax,ON,L1Z 0A1,CA,696597,(905) 427-9338,,,43.866856,-79.025494,
valuevillage.com,Thrift Stores Pickering ON Savers,645 Kingston Road,Pickering,ON,L1V 3N7,CA,697035,(905) 420-1445,,,43.8153411,-79.1188078,
valuevillage.com,Thrift Stores Whitby ON Savers,1801 Dundas St E,Whitby,ON,L1N 7C5,CA,696809,(905) 571-4977,,,43.8885538,-78.9036335,
valuevillage.com,Thrift Stores Oshawa ON Savers,1199 Ritson Road North,Oshawa,ON,L1G 8B9,CA,696715,(905) 443-0264,,,43.9320883,-78.8657278,
valuevillage.com,Thrift Stores Toronto ON Savers,"3701 Lawrence Ave E, #1",Toronto,ON,M1G 1P7,CA,696781,(416) 439-4464,,,43.761525,-79.218415,
valuevillage.com,Thrift Stores Markham ON Savers,"7655 Markham Road, Units C-1 & C-2",Markham,ON,L3S 4S1,CA,696687,(905) 201-6164,,,43.852566,-79.254368,
valuevillage.com,Thrift Stores North York ON Savers,2776 Victoria Park Ave,North York,ON,M2J 4A8,CA,696707,(416) 499-6177,,,43.7880443,-79.3290417,
valuevillage.com,Thrift Stores Toronto ON Savers,1525 Victoria Park Ave,Toronto,ON,M1L 2T3,CA,696793,(416) 752-0060,,,43.7260093,-79.302359,
valuevillage.com,Thrift Stores Toronto ON Savers,2119 Danforth Ave,Toronto,ON,M4C 1J9,CA,696785,(416) 698-0621,,,43.686108,-79.311762,
valuevillage.com,Thrift Stores Toronto ON Savers,924 Queen St E,Toronto,ON,M4M 1J5,CA,696789,(416) 778-4818,,,43.660703,-79.3417348,
valuevillage.com,Thrift Stores Richmond Hill ON Savers,10620 Yonge St,Richmond Hill,ON,L4C 3C8,CA,696741,(905) 737-7444,,,43.8863279,-79.4408126,
valuevillage.com,Thrift Stores Concord ON Savers,1520 Steeles Ave W,Concord,ON,L4K 3B9,CA,550025,(905) 761-7990,,,43.7882942,-79.4716469,
valuevillage.com,Thrift Stores Toronto ON Savers,1030 Wilson Ave,Toronto,ON,M3K 1G6,CA,696795,(416) 633-2623,,,43.7280081,-79.4786641,
valuevillage.com,Thrift Stores Toronto ON Savers,1319 Bloor St W,Toronto,ON,M6H 1P3,CA,696783,(416) 539-0585,,,43.65826,-79.444131,
valuevillage.com,Thrift Stores Toronto ON Savers,"605 Rogers Rd, #C1",Toronto,ON,M6M 1B9,CA,696791,(416) 247-7372,,,43.681946,-79.473407,
valuevillage.com,Thrift Stores Vaughan ON Savers,101 Northview Blvd,Vaughan,ON,L4L 8X9,CA,696801,(905) 850-8535,,,43.792272,-79.543231,
valuevillage.com,Thrift Stores Newmarket ON Savers,130 Davis Dr,Newmarket,ON,L3Y 2N1,CA,696699,(905) 953-1344,,,44.05507,-79.474825,
valuevillage.com,Thrift Stores Toronto ON Savers,1020 Islington Avenue,Toronto,ON,M8Z 6A4,CA,697073,(416) 309-0425,,,43.6311529,-79.5186173,
valuevillage.com,Thrift Stores Toronto ON Savers,45 Woodbine Downs Blvd,Toronto,ON,M9W 6N5,CA,696787,(416) 675-7450,,,43.7370799,-79.6059129,
valuevillage.com,Thrift Stores Mississauga ON Savers,1475 Dundas St E,Mississauga,ON,L4X 1L3,CA,696693,(905) 949-4440,,,43.6118051,-79.5834335,
valuevillage.com,Thrift Stores Brampton ON Savers,2975 Bovaird Drive  East,Brampton,ON,L6S 0C6,CA,550029,(905) 799-3618,,,43.7608265,-79.7251453,
valuevillage.com,Thrift Stores Mississauga ON Savers,70 Bristol Road East,Mississauga,ON,L4Z 3K8,CA,550027,(905) 361-1190,,,43.6157667,-79.661316,
valuevillage.com,Thrift Stores Brampton ON Savers,"150 West Dr, #12",Brampton,ON,L6T 4P9,CA,696607,(905) 451-7975,,,43.706539,-79.734249,
valuevillage.com,Thrift Stores Oakville ON Savers,2506 Hampshire Gate,Oakville,ON,L6H 6A2,CA,696709,(905) 829-1213,,,43.5194666,-79.6829711,
valuevillage.com,Thrift Stores Peterborough ON Savers,1101 Lansdowne St W,Peterborough,ON,K9J 7M2,CA,696729,(705) 741-2644,,,44.28164,-78.347268,
valuevillage.com,Thrift Stores St Catharines ON Savers,360 Ontario St E,St Catharines,ON,L2R 5L8,CA,696761,(905) 688-7764,,,43.172122,-79.265059,
valuevillage.com,Thrift Stores Burlington ON Savers,2030 Appleby Line,Burlington,ON,L7L 6M6,CA,697133,(289) 812-0247,,,43.3943762,-79.7949272,
valuevillage.com,Thrift Stores Barrie ON Savers,165 Wellington W,Barrie,ON,L4N 1L7,CA,696603,(705) 733-9224,,,44.388683,-79.70542,
valuevillage.com,Thrift Stores Burlington ON Savers,2340 Fairview St,Burlington,ON,L7R 2E3,CA,696613,(905) 631-6990,,,43.3439513,-79.801708,
valuevillage.com,Thrift Stores Niagara Falls ON Savers,6278 Lundy's Lane,Niagara Falls,ON,L2E 5E9,CA,696703,(905) 354-6336,,,43.089679,-79.099027,
valuevillage.com,Thrift Stores Stoney Creek ON Savers,840 Queenston Rd,Stoney Creek,ON,L8G 4A8,CA,696767,(905) 664-8884,,,43.22772,-79.763483,
valuevillage.com,Thrift Stores Orillia ON Savers,8000 Highway 12 Unit #15-A,Orillia,ON,L3V 7W7,CA,696711,(705) 327-8288,,,44.612783,-79.46314,
valuevillage.com,Thrift Stores Hamilton ON Savers,50 Horseshoe Crescent,Hamilton,ON,L0R 2H2,CA,696661,(905) 689-0565,,,43.316895,-79.91861,
valuevillage.com,Thrift Stores Welland ON Savers,21 Seaway Drive,Welland,ON,L3C7J5,CA,697169,289-273-5180,,,43.0134759,-79.247758,
valuevillage.com,Thrift Stores Hamilton ON Savers,530 Fennell Ave,Hamilton,ON,L8V 1S9,CA,696663,(905) 318-0409,,,43.232545,-79.856796,
valuevillage.com,Thrift Stores Tonawanda NY Savers,2309 Eggert Road,Tonawanda,NY,14150,US,550089,(716) 833-2391,,,42.9816571,-78.8254188,
valuevillage.com,Thrift Stores Buffalo NY Savers,2658 Delaware Ave,Buffalo,NY,14216,US,696937,(844) 799-2050,,,42.9564714,-78.871461,
valuevillage.com,Thrift Stores Cheektowaga NY Savers,2195 Harlem Road,Cheektowaga,NY,14225,US,696939,(844) 799-2050,,,42.9050622,-78.7821948,
valuevillage.com,Thrift Stores Guelph ON Savers,214 Silvercreek Pkwy N,Guelph,ON,N1H 7P8,CA,696657,(519) 821-9994,,,43.54328,-80.284678,
valuevillage.com,Thrift Stores Ancaster ON Savers,120 Portia Drive,Ancaster,ON,L9G 0G1,CA,697051,(289) 204-1135,,,43.1988639,-80.0209247,
valuevillage.com,Thrift Stores Cambridge ON Savers,480 Hespeler Rd,Cambridge,ON,N1R 7R9,CA,696623,(519) 624-1812,,,43.3989727,-80.3258056,
valuevillage.com,Thrift Stores Hamburg NY Savers,3701 McKinley Parkway,Hamburg,NY,14219,US,550091,(716) 827-6550,,,42.788527,-78.809887,
valuevillage.com,Thrift Stores Kitchener ON Savers,50 Gateway Park Drive,Kitchener,ON,N2P 2J4,CA,696671,(519) 653-3900,,,43.4083986,-80.3921972,
valuevillage.com,Thrift Stores Brantford ON Savers,595 West St,Brantford,ON,N3S 7P2,CA,696611,(519) 751-4424,,,43.169826,-80.246411,
valuevillage.com,Thrift Stores Kitchener ON Savers,120 Ottawa St N,Kitchener,ON,N2H 3K5,CA,696673,(519) 576-4403,,,43.4440781,-80.4689925,
valuevillage.com,Thrift Stores Waterloo ON Savers,330 Farmer's Market Road,Waterloo,ON,N2V 0A5,CA,550031,(519) 885-4436,,,43.511093,-80.54976,
valuevillage.com,Thrift Stores Belleville ON Savers,151 Bell Blvd,Belleville,ON,K8P 5K6,CA,696605,(613) 968-9188,,,44.187403,-77.400405,
valuevillage.com,Thrift Stores Webster NY Savers,980 Ridge Road,Webster,NY,14580,US,550093,(585) 872-4536,,,43.2091763,-77.4603462,
