locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
verizonwireless.com,VerizonWireless,"95116thSt,Ste100A",Denver,CO,80202,US,,+1720.946.0102,Store,,39.7470443,-104.9941193,
verizonwireless.com,VerizonWireless,"7301SSantaFeDr,Ste724",Littleton,CO,80120,US,,+1303.797.3224,Store,,39.5823397,-105.0258531,
verizonwireless.com,VerizonWireless,199PineSt,SanFrancisco,CA,94111,US,,+1415.984.0360,Store,,37.7921501,-122.3995853,
verizonwireless.com,VerizonWireless,"1DanielBurnhamCt,Ste20C",SanFrancisco,CA,94109,US,,+1415.351.1700,Store,,37.7869701,-122.4219786,
verizonwireless.com,VerizonWireless,2290BridgepointePkwy,SanMateo,CA,94404,US,,+1650.357.0288,Store,,37.5608705,-122.2804274,
verizonwireless.com,VerizonWireless,"150ElCaminoReal,SteB",SouthSanFrancisco,CA,94080,US,,+1650.624.0370,Store,,37.6412306,-122.4231937,
verizonwireless.com,VerizonWireless,"2130SouthgateRd,Ste102",ColoradoSprings,CO,80906,US,,+1719.635.0874,Store,,38.8019641,-104.8192105,
verizonwireless.com,VerizonWireless,8444thSt,SantaRosa,CA,95404,US,,+1707.525.5010,Store,,38.4424028,-122.7090588,
verizonwireless.com,VerizonWireless,1141LocustSt,WalnutCreek,CA,94596,US,,+1925.988.6990,Store,,37.8951666,-122.061389,
verizonwireless.com,VerizonWireless,"1950E20thSt,#H805",Chico,CA,95928,US,,+1530.892.6900,Store,,39.72926,-121.80351,
verizonwireless.com,VerizonWireless,"7405LagunaBlvd,Ste140",ElkGrove,CA,95758,US,,+1916.691.2500,Store,,38.4240571,-121.4167194,
verizonwireless.com,VerizonWireless,6123PacificAve,Stockton,CA,95207,US,,+1209.955.6300,Store,,38.0054138,-121.3189638,
verizonwireless.com,VerizonWireless,"3000E1stAve,Ste199",Denver,CO,80206,US,,+1303.321.7138,Store,,39.7175014,-104.952671,
verizonwireless.com,VerizonWireless,"1000KamehamehaHwy,Ste225",PearlCity,HI,96782,US,,+1808.456.0687,Store,,21.3964034,-157.9764884,
verizonwireless.com,VerizonWireless,"2500EImperialHwy,Ste178",Brea,CA,92821,US,,+1714.256.6015,Store,,33.910593,-117.869996,
verizonwireless.com,VerizonWireless,243WVenturaBlvd,Camarillo,CA,93010,US,,+1805.484.5945,Store,,34.2184432,-119.0735639,
verizonwireless.com,VerizonWireless,1846MarronRd,Carlsbad,CA,92008,US,,+1760.720.8400,Store,,33.177716,-117.3375969,
verizonwireless.com,VerizonWireless,"7203SPlazaCenterDr,Suite100",WestJordan,UT,84084,US,,+1801.280.3388,Store,,40.6206274,-111.9785362,
verizonwireless.com,VerizonWireless,"355SWadsworthBlvd,UnitC",Lakewood,CO,80226,US,,+1720.963.8002,Store,,39.7101219,-105.0821055,
verizonwireless.com,VerizonWireless,"4680W120thAve,Ste400",Westminster,CO,80020,US,,+1303.439.0557,Store,,39.913554,-105.0469105,
verizonwireless.com,VerizonWireless,"2403SStemmonsFwy,Suite107",Lewisville,TX,75067,US,,+1972.459.7111,Store,,33.0054065,-96.9728529,
verizonwireless.com,VerizonWireless,4601BryantIrvinRd,FortWorth,TX,76132,US,,+1817.370.0881,Store,,32.6821975,-97.4132381,
verizonwireless.com,VerizonWireless,2009NMainSt,Crossville,TN,38555,US,,+1931.484.8840,Store,,35.9742379,-85.0392073,
verizonwireless.com,VerizonWireless,11476UsHighway431,Guntersville,AL,35976,US,,+1256.894.3063,Store,,34.3024766,-86.2774505,
verizonwireless.com,VerizonWireless,3080JohnHawkinsPkwy,Birmingham,AL,35244,US,,+1205.402.3974,Store,,33.3770317,-86.8045912,
verizonwireless.com,VerizonWireless,"7945WinchesterRd,Suite101",Memphis,TN,38125,US,,+1901.368.6822,Store,,35.0480651,-89.7982033,
verizonwireless.com,VerizonWireless,"10400SanJoseBLVD,Unit14",Jacksonville,FL,32257,US,,+1904.880.8282,Store,,30.1904929,-81.6276708,
verizonwireless.com,VerizonWireless,714SDaleMabryHwy,Tampa,FL,33609,US,,+1813.874.5718,Store,,27.9368203,-82.5054157,
verizonwireless.com,VerizonWireless,"1911WellsRd,Suite3",OrangePark,FL,32073,US,,+1904.215.9444,Store,,30.1873892,-81.7366679,
verizonwireless.com,VerizonWireless,173ColumbianaDr,Columbia,SC,29212,US,,+1803.749.4500,Store,,34.077381,-81.1602267,
verizonwireless.com,VerizonWireless,469CongareeRd,Greenville,SC,29607,US,,+1864.627.3000,Store,,34.8498123,-82.3282861,
verizonwireless.com,VerizonWireless,"9705SamFurrRd,SteB",Huntersville,NC,28078,US,,+1704.987.2355,Store,,35.4430146,-80.8639254,
verizonwireless.com,VerizonWireless,2718NorthRd,Orangeburg,SC,29118,US,,+1803.534.4150,Store,,33.5256391,-80.8879613,
