locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
"https://www.marriott.com","Birmingham Marriott","3590 Grandview Parkway","Birmingham","Alabama","35243","US","bhmmc","+1 205-968-3775","Marriott Hotels & Resorts","","33.436518","-86.718458",""
"https://www.marriott.com","Marriott's Manor Club at Ford's Colony","101 St. Andrews Drive","Williamsburg","Virginia","23188","US","phfvi","+1 757-258-1120","Marriott Vacation Club","","37.303588","-76.782928",""
"https://www.marriott.com","Houston Marriott West Loop by The Galleria","1750 West Loop South","Houston","Texas","77027","US","houwl","+1 713-960-0111","Marriott Hotels & Resorts","","29.749668","-95.456443",""
"https://www.marriott.com","Fairfield Inn Amesbury","35 Clarks Road","Amesbury","Massachusetts","01913","US","mhtfa","+1 978-388-3400","Fairfield Inn & Suites","","42.844295","-70.909385",""
"https://www.marriott.com","Residence Inn Rochester West/Greece","500 Paddy Creek Circle","Rochester","New York","14615","US","rocri","+1 585-865-2090","Residence Inn","","43.205004","-77.67328",""
"https://www.marriott.com","Fairfield Inn & Suites Woodbridge","1295 US Highway 1","Avenel","New Jersey","07001","US","ewrwb","+1 732-396-9700","Fairfield Inn & Suites","","40.593535","-74.273717",""
"https://www.marriott.com","Aloft Atlanta Downtown","300 Ted Turner Drive NW","Atlanta","Georgia","30308","US","atldn","+1 678-515-0300","Aloft Hotels","","33.76281","-84.389763",""
"https://www.marriott.com","Moxy Phoenix Tempe/ASU Area","1333 South Rural Road","Tempe","Arizona","85281","US","phxox","+1 480-968-3451","MOXY Hotels","","33.413723","-111.92604",""
"https://www.marriott.com","Courtyard Newark-University of Delaware","400 David Hollowell Drive","Newark","Delaware","19716","US","ilgud","+1 302-737-0900","Courtyard","","39.687971","-75.759457",""
"https://www.marriott.com","Courtyard Pleasanton","5059 Hopyard Road","Pleasanton","California","94588","US","oakpl","+1 925-463-1414","Courtyard","","37.694212","-121.903604",""
"https://www.marriott.com","Courtyard Denver Stapleton","7415 East 41st Avenue","Denver","Colorado","80216","US","denca","+1 303-333-3303","Courtyard","","39.775101","-104.902437",""
"https://www.marriott.com","Courtyard Jacksonville Airport Northeast","14668 Duval Road","Jacksonville","Florida","32218","US","jaxca","+1 904-741-1122","Courtyard","","30.481662","-81.647512",""
"https://www.marriott.com","TownePlace Suites Lexington Keeneland/Airport","980 Midnight Pass","Lexington","Kentucky","40513","US","lextw","+1 859-368-9491","TownePlace Suites","","38.018083","-84.556994",""
"https://www.marriott.com","SpringHill Suites Houston Westchase","5851 Rogerdale Road","Houston","Texas","77072","US","houxc","+1 832-300-0200","SpringHill Suites","","29.714778","-95.560237",""
"https://www.marriott.com","Residence Inn Helena","2500 East Custer Avenue","Helena","Montana","59602","US","hlnri","+1 406-443-8010","Residence Inn","","46.616649","-111.990678",""
"https://www.marriott.com","Residence Inn Sarasota Bradenton","1040 University Parkway","Sarasota","Florida","34234","US","srqri","+1 941-358-1468","Residence Inn","","27.381839","-82.550199",""
"https://www.marriott.com","Residence Inn St. Louis O'Fallon","101 Progress Point Ct.","OFallon","Missouri","63368","US","stlof","+1 636-300-3535","Residence Inn","","38.716136","-90.702107",""
"https://www.marriott.com","Aloft Plano","6853 North Dallas Parkway","Plano","Texas","75024","US","dalnl","+1 214-474-2520","Aloft Hotels","","33.071013","-96.82561",""
"https://www.marriott.com","SpringHill Suites Sacramento Airport Natomas","2555 Venture Oaks Way","Sacramento","California","95833","US","sacsh","+1 916-925-2280","SpringHill Suites","","38.610979","-121.514304",""
"https://www.marriott.com","Courtyard Edgewater NYC Area","3 Pembroke Place","Edgewater","New Jersey","07020","US","lgaew","+1 201-945-5440","Courtyard","","40.802848","-73.993049",""
"https://www.marriott.com","Courtyard Carrollton","180 Barnes Avenue","Carrollton","Georgia","30117","US","atlll","+1 678-664-5200","Courtyard","","33.581811","-85.076845",""
"https://www.marriott.com","Sheraton Portsmouth Harborside Hotel","250 Market Street","Portsmouth","New Hampshire","03801","US","psmsi","+1 603-431-2300","Sheraton","","43.079951","-70.759516",""
"https://www.marriott.com","Courtyard Boston Danvers","275 Independence Way","Danvers","Massachusetts","01923","US","bosdv","+1 978-777-8630","Courtyard","","42.554404","-70.93685",""
"https://www.marriott.com","SpringHill Suites Birmingham Downtown at UAB","2024 4th Avenue South","Birmingham","Alabama","35233","US","bhmsd","+1 205-322-8600","SpringHill Suites","","33.509236","-86.801698",""
