"city","country_code","hours_of_operation","latitude","location_name","location_type","locator_domain","longitude","page_url","phone","state","store_number","street_address","zip"
"Ludwigsburg","DE","<MISSING>","48.8997","Ludwigsburg - Marstall-Center","JACK & JONES","jackjones.com","9.19072","https://www.jackjones.com/nl/en/stores","4971417028120","<MISSING>","3811","Marstallstraße1","71634"
"Ludwigsburg","DE","<MISSING>","48.9214","Ludwigsburg - Breuningerland","JACK & JONES","jackjones.com","9.1518","https://www.jackjones.com/nl/en/stores","4971417965942","<MISSING>","12993","Heinkelstrasse1 -11","71634"
"Carrington","AU","<MISSING>","-32.019","Myer - Carousel","JACK & JONES","jackjones.com","115.938","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11211","1358 Albany Hwy","6107"
"Walldürn","DE","<MISSING>","49.5756","AWG ALLGEMEINE WARENVERTRIEBS- GMBH","JACK & JONES","jackjones.com","9.36921","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","11636","Otto-Hahn-Str.3 A","74731"
"Bergheim","AT","<MISSING>","47.8368","BESTSELLER Showroom - Salzburg","JACK & JONES","jackjones.com","13.0609","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","16476","Carl-Zuckmayer-Straße40","5101"
"Avellino (AV)","IT","<MISSING>","40.9137","Falo, Avellino","JACK & JONES","jackjones.com","14.7854","https://www.jackjones.com/nl/en/stores","393666159733","<MISSING>","15618","Corso Vittorio Emanuele182","83100"
"Dublin 9","IE","<MISSING>","53.3922","Omni Park Centre","JACK & JONES","jackjones.com","-6.24649","https://www.jackjones.com/nl/en/stores","35318623294","<MISSING>","10263","Unit214 Omni park shopping centre","D09 N668"
"Halton Hills","CA","<MISSING>","43.5756","Toronto - Halton Hills Premium","JACK & JONES","jackjones.com","-79.8301","https://www.jackjones.com/nl/en/stores","9058752397","<MISSING>","4000","836 13850 Steeles Ave. w. Space","L7G 5G2"
"Halle","DE","<MISSING>","51.4834","Kaufhof - CD1 - Fil. 589 - Abt. 241","JACK & JONES","jackjones.com","11.9701","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","15022","Marktplatz20 -24","06108"
"Siderno (Rc)","IT","<MISSING>","38.2882","La Novembre","JACK & JONES","jackjones.com","16.3144","https://www.jackjones.com/nl/en/stores","<MISSING>","<MISSING>","15567","SS106 _ CC La Gru","89048"
"Jessheim","NO","<MISSING>","60.1427","Jessheim","JACK & JONES","jackjones.com","11.1718","https://www.jackjones.com/nl/en/stores","4763977200","<MISSING>","3697","Storgata6","2050"
"Kungsbacka","SE","<MISSING>","57.4917","Kungsmässan","JACK & JONES","jackjones.com","12.0745","https://www.jackjones.com/nl/en/stores","4630019670","<MISSING>","3026","Borgmästareg5","434 38"
"Halfweg","NL","<MISSING>","52.3821","Amsterdam - The Style Outlets","JACK & JONES","jackjones.com","4.75427","https://www.jackjones.com/nl/en/stores","310207231991","<MISSING>","5325","Unit C50","1165 PA"
"Hamburg","DE","<MISSING>","53.4562","Hamburg - Phoenix Center","JACK & JONES","jackjones.com","9.98795","https://www.jackjones.com/nl/en/stores","494030094698","<MISSING>","3066","Hannoversche Strasse86","21079"
