locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
www.marriott.com,Fairfield Inn & Suites Belleville,407 North Front St.,Belleville,NO-DATA,K8P 3C8,CA,YGKFI,6139629211,Fairfield Inn & Suites,NO-DATA,44.188629,-77.396507,false,NO-DATA
www.marriott.com,TownePlace Suites Belleville,400 Bell Boulevard,Belleville,NO-DATA,K8P 5H8,CA,YTRTS,6137791212,TownePlace Suites,NO-DATA,44.182997,-77.419258,false,NO-DATA
www.marriott.com,"The Westin Trillium House, Blue Mountain",220 Gord Canning Drive,Blue Mountains,NO-DATA,L9Y 0V9,CA,YYZTH,7054438080,Westin Hotels & Resorts,NO-DATA,44.501832,-80.310074,false,NO-DATA
www.marriott.com,Four Points by Sheraton Barrie,60 Bryne Drive,Barrie,NO-DATA,L4N 9Y4,CA,RQSFP,7057338989,Four Points by Sheraton,NO-DATA,44.355309,-79.69574,false,NO-DATA
www.marriott.com,COURTYARD TORONTO BRAMPTON,90 Biscayne Crescent,Brampton,NO-DATA,L6W 4S1,CA,YYZBM,9054559000,Courtyard,NO-DATA,43.681027,-79.712214,false,NO-DATA
www.marriott.com,Element Vancouver Metrotown,5988 Willingdon Avenue,Burnaby,NO-DATA,V5H 2A7,CA,YVREL,6045683696,Element Hotels,NO-DATA,49.230314,-123.003657,false,NO-DATA
www.marriott.com,Delta Hotels Burnaby Conference Centre,4331 Dominion Street,Burnaby,NO-DATA,V5G 1C7,CA,YVRDB,6044530750,Delta Hotels and Resorts,NO-DATA,49.25649,-123.00584,false,NO-DATA
www.marriott.com,Fairfield Inn & Suites Toronto Brampton,150 Westcreek Blvd.,Brampton,NO-DATA,L6T 5V7,CA,YYZBP,9058747177,Fairfield Inn & Suites,NO-DATA,43.681686,-79.704913,false,NO-DATA
www.marriott.com,COURTYARD BURLINGTON,1110 Burloak Drive,Burlington,NO-DATA,L7L 6P8,CA,YHMBU,2893372700,Courtyard,NO-DATA,43.3972,-79.760492,false,NO-DATA
www.marriott.com,TownePlace Suites Brantford and Conference Centre,30 Fen Ridge Court,Brantford,NO-DATA,N3V 1G2,CA,YHMBF,5197202777,TownePlace Suites,NO-DATA,43.164178,-80.338981,false,NO-DATA
