locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation,hours_of_operation
shopnsavefood.com,AC&T Exxon Travel Center,11564 Hopewell Rd.,Hagerstown,MD,21740,NO-DATA,330,NO-DATA,Fuel,NO-DATA,39.631447,-77.784293,,NO-DATA
shopnsavefood.com,Airport-Pittsburgh Int'l,Pitsburgh Int'l Airport - near parking lot,Aliquippa,PA,15231,NO-DATA,125,NO-DATA,Fuel,NO-DATA,40.4943071,-80.2671737,,NO-DATA
shopnsavefood.com,Aliquippa,2680 Brodhead Road,Aliquippa,PA,15001,NO-DATA,126,NO-DATA,Fuel,NO-DATA,40.6061231,-80.2835837,,NO-DATA
shopnsavefood.com,"Aliquippa, Hopewell",2046 Brodhead - 5 Points Intersection,Aliquippa,PA,15001,NO-DATA,127,NO-DATA,Fuel,NO-DATA,40.5693741,-80.2594466,,NO-DATA
shopnsavefood.com,Allison Park,4785 Wm. Flynn. Hwy. Rt. 8,Allison Park,PA,15101,NO-DATA,128,NO-DATA,Fuel,NO-DATA,40.596914,-79.947908,,NO-DATA
shopnsavefood.com,Ambridge,2910 Duss Avenue,Ambridge,PA,15003,NO-DATA,26,7242669758,Store,NO-DATA,40.611713,-80.226221,Mon-Sat 7:00am-10:00pm,NO-DATA
shopnsavefood.com,Ambridge,800 Merchant Street,Ambridge,PA,15003,NO-DATA,129,NO-DATA,Fuel,NO-DATA,40.589372,-80.2311673,,NO-DATA
shopnsavefood.com,Avalon,400 Union Ave,Avalon,PA,15202,NO-DATA,344,NO-DATA,Fuel,NO-DATA,"40.504092
","-80.0622012
",,NO-DATA
shopnsavefood.com,Baldwin,Curry Hollow & Keeport,Pleasant Hills,PA,15236,NO-DATA,227,NO-DATA,Fuel,NO-DATA,40.33514,-79.98324,,NO-DATA
shopnsavefood.com,"Beaver, West Bridgewater",1199 Third Street,Beaver,PA,15009,NO-DATA,130,NO-DATA,Fuel,NO-DATA,40.6919313,-80.3144308,,NO-DATA
shopnsavefood.com,Beechview,1721 Banksville Road.,Pittsburgh,PA,15216,NO-DATA,223,NO-DATA,Fuel,NO-DATA,40.40009,-80.04617,,NO-DATA
shopnsavefood.com,Belington Express,806 Crim Avenue ,Belington,WV,26250,NO-DATA,28,3048233104,Store,NO-DATA,39.022257,-79.936953,Mon-Sun 7:00-11:00,NO-DATA
shopnsavefood.com,Bellevue,4528 Ohio River Boulevard,Bellevue,PA,15202,NO-DATA,131,NO-DATA,Fuel,NO-DATA,40.492014,-80.061497,,NO-DATA
shopnsavefood.com,Bethel Park,5001 Library Road,Bethel Park,PA,15102,NO-DATA,30,4128317177,Store,NO-DATA,40.342063,-80.025895,Monday - Saturday 8am - 9pm,NO-DATA
shopnsavefood.com,BFS - Bridgeport,51 Genesis Blvd,Bridgeport,WV,26330,NO-DATA,347,NO-DATA,Fuel,NO-DATA,39.3221619,-80.2326953,,NO-DATA
shopnsavefood.com,BFS - Clarksburg,106 Wilsonburg Rd,Clarksburg,WV,26301,NO-DATA,348,NO-DATA,Fuel,NO-DATA,39.2864039,-80.3834048,,NO-DATA
shopnsavefood.com,BFS - South Fairmont SNS Cheat Lake,169 Fairchance Rd.,Morgantown,WV,26508,NO-DATA,271,NO-DATA,Fuel,NO-DATA,39.59532,-79.92287,,NO-DATA
shopnsavefood.com,BFS - South Fairmont SNS Clarksburg,608 Emily Dr.,Clarksburg,WV,26301,NO-DATA,274,NO-DATA,Fuel,NO-DATA,39.3287,-80.27337,,NO-DATA
shopnsavefood.com,BFS - South Fairmont SNS Glenmark,204 Venture Dr,Morgantown,WV,26508,NO-DATA,270,NO-DATA,Fuel,NO-DATA,39.59532,-79.92287,,NO-DATA
