locator_domain, location_name, street_address, city, state, zip, country_code, store_number, phone, location_type, naics_code, latitude, longitude, hours_of_operation
"marriott.com__search__findHotels.mi","Courtyard Montreal West Island/Baie D’Urfe","20000 Trans Canada Highway","Baie D'Urfe","QC","H9X0B3","CA","NO-DATA","15146748000","CY","NO-DATA","45.427121","-73.91616","NO-DATA"
"marriott.com__search__findHotels.mi","Delta Hotels Banff Royal Canadian Lodge","459 Banff Avenue","Banff","AB","T1L1B4","CA","NO-DATA","14037623307","DE","NO-DATA","51.183102","-115.563565","NO-DATA"
"marriott.com__search__findHotels.mi","Fairfield Inn & Suites Barrie","261 Essa Road","Barrie","ON","L4N9C7","CA","NO-DATA","17057379999","FI","NO-DATA","44.3508839791831","-79.700336783287","NO-DATA"
"marriott.com__search__findHotels.mi","Four Points by Sheraton Barrie","60 Bryne Drive","Barrie","ON","L4N9Y4","CA","NO-DATA","17057338989","FP","NO-DATA","44.355309","-79.69574","NO-DATA"
"marriott.com__search__findHotels.mi","Fairfield Inn & Suites Belleville","407 North Front St.","Belleville","ON","K8P3C8","CA","NO-DATA","16139629211","FI","NO-DATA","44.188629","-77.396507","NO-DATA"
"marriott.com__search__findHotels.mi","TownePlace Suites Belleville","400 Bell Boulevard","Belleville","ON","K8P5H8","CA","NO-DATA","16137791212","TS","NO-DATA","44.182997","-77.419258","NO-DATA"
"marriott.com__search__findHotels.mi","The Westin Trillium House, Blue Mountain","220 Gord Canning Drive","Blue Mountains","ON","L9Y0V9","CA","NO-DATA","17054438080","WI","NO-DATA","44.501832","-80.310074","NO-DATA"
"marriott.com__search__findHotels.mi","Courtyard Toronto Brampton","90 Biscayne Crescent","Brampton","ON","L6W4S1","CA","NO-DATA","19054559000","CY","NO-DATA","43.681027","-79.712214","NO-DATA"
"marriott.com__search__findHotels.mi","Fairfield Inn & Suites Toronto Brampton","150 Westcreek Blvd.","Brampton","ON","L6T5V7","CA","NO-DATA","19058747177","FI","NO-DATA","43.681686","-79.704913","NO-DATA"
"marriott.com__search__findHotels.mi","TownePlace Suites Brantford and Conference Centre","30 Fen Ridge Court","Brantford","ON","N3V1G2","CA","NO-DATA","15197202777","TS","NO-DATA","43.164178","-80.338981","NO-DATA"
"marriott.com__search__findHotels.mi","Courtyard Burlington","1110 Burloak Drive","Burlington","ON","L7L6P8","CA","NO-DATA","12893372700","CY","NO-DATA","43.3972","-79.760492","NO-DATA"
"marriott.com__search__findHotels.mi","Delta Hotels Burnaby Conference Centre","4331 Dominion Street","Burnaby","BC","V5G1C7","CA","NO-DATA","16044530750","DE","NO-DATA","49.25649","-123.00584","NO-DATA"
"marriott.com__search__findHotels.mi","Element Vancouver Metrotown","5988 Willingdon Avenue","Burnaby","BC","V5H2A7","CA","NO-DATA","16045683696","EL","NO-DATA","49.230314","-123.003657","NO-DATA"
"marriott.com__search__findHotels.mi","Courtyard Calgary Airport","2500 48th Avenue NE","Calgary","AB","T3J4V8","CA","NO-DATA","14032381000","CY","NO-DATA","51.096111","-113.998711","NO-DATA"
"marriott.com__search__findHotels.mi","Courtyard Calgary South","3750 Market Street SE","Calgary","AB","T3M2P2","CA","NO-DATA","15873497599","CY","NO-DATA","50.8799","-113.95559","NO-DATA"
"marriott.com__search__findHotels.mi","Delta Hotels Calgary Airport In-Terminal","2001 Airport Road NE","Calgary","AB","T2E6Z8","CA","NO-DATA","14032912600","DE","NO-DATA","51.130575","-114.008725","NO-DATA"
"marriott.com__search__findHotels.mi","Delta Hotels Calgary Downtown","209 Fourth Avenue SE","Calgary","AB","T2G0C6","CA","NO-DATA","14032661980","DE","NO-DATA","51.048675","-114.060119","NO-DATA"
"marriott.com__search__findHotels.mi","Delta Hotels Calgary South","135 Southland Drive SE","Calgary","AB","T2J5X5","CA","NO-DATA","14032785050","DE","NO-DATA","50.964786","-114.069147","NO-DATA"
"marriott.com__search__findHotels.mi","Fairfield Inn & Suites Calgary Downtown","239 12th Avenue SW","Calgary","AB","T2R1H7","CA","NO-DATA","14033516500","FI","NO-DATA","51.040818","-114.067679","NO-DATA"
"marriott.com__search__findHotels.mi","Calgary Airport Marriott In-Terminal Hotel","2008 Airport Road NE","Calgary","AB","T2E3B9","CA","NO-DATA","14037170522","MC","NO-DATA","51.130711","-114.007275","NO-DATA"
"marriott.com__search__findHotels.mi","Calgary Marriott Downtown Hotel","110 9th Avenue SE","Calgary","AB","T2G5A6","CA","NO-DATA","14032667331","MC","NO-DATA","51.044599","-114.062882","NO-DATA"
"marriott.com__search__findHotels.mi","Residence Inn Calgary Airport","2530 48th Avenue NE","Calgary","AB","T3J4V8","CA","NO-DATA","14032781000","RI","NO-DATA","51.09755","-113.998573","NO-DATA"
"marriott.com__search__findHotels.mi","Residence Inn Calgary Downtown/Beltline District","610 10th Avenue SW","Calgary","AB","T2R1M3","CA","NO-DATA","15878852288","RI","NO-DATA","51.043442","-114.074443","NO-DATA"
"marriott.com__search__findHotels.mi","Residence Inn Calgary South","3710 Market Street SE.","Calgary","AB","T3M2P2","CA","NO-DATA","15873498633","RI","NO-DATA","50.88029","-113.95594","NO-DATA"
"marriott.com__search__findHotels.mi","Aloft Calgary University","2359 Banff Trail NW","Calgary","AB","T2M-4L2","CA","NO-DATA","14032891973","AL","NO-DATA","51.06945","-114.1148","NO-DATA"
"marriott.com__search__findHotels.mi","Element Calgary Airport","2855 Sunridge Way NE","Calgary","AB","T1Y7K7","CA","NO-DATA","14039845515","EL","NO-DATA","51.07157","-113.99875","NO-DATA"
"marriott.com__search__findHotels.mi","Four Points by Sheraton Calgary Airport","2875 Sunridge Way NE","Calgary","AB","T1Y7K7","CA","NO-DATA","14036483180","FP","NO-DATA","51.071032","-113.999333","NO-DATA"
"marriott.com__search__findHotels.mi","Four Points by Sheraton Hotel & Suites Calgary West","8220 Bowridge Crescent NW","Calgary","AB","T3B2V1","CA","NO-DATA","14032884441","FP","NO-DATA","51.0838","-114.2064","NO-DATA"
"marriott.com__search__findHotels.mi","Sheraton Cavalier Calgary Hotel","2620 32nd Avenue NE","Calgary","AB","T1Y6B8","CA","NO-DATA","14032910107","SI","NO-DATA","51.0816","-114.0009","NO-DATA"
"marriott.com__search__findHotels.mi","Sheraton Suites Calgary Eau Claire","255 Barclay Parade SW","Calgary","AB","T2P5C2","CA","NO-DATA","14032667200","SI","NO-DATA","51.052694","-114.0709","NO-DATA"
"marriott.com__search__findHotels.mi","The Westin Calgary","320 4th Avenue SW","Calgary","AB","T2P2S6","CA","NO-DATA","14032661611","WI","NO-DATA","51.0496","-114.0689","NO-DATA"
"marriott.com__search__findHotels.mi","The Westin Calgary Airport","671 Aero Drive NE, Aero Drive NE & Aero Crescent NE","Calgary","AB","T2E7Y5","CA","NO-DATA","14034525406","WI","NO-DATA","51.137467","-114.034572","NO-DATA"
"marriott.com__search__findHotels.mi","Four Points by Sheraton Cambridge Kitchener, Ontario","210 Preston Parkway","Cambridge","ON","N3H5N1","CA","NO-DATA","15196532690","FP","NO-DATA","43.399262","-80.377157","NO-DATA"
"marriott.com__search__findHotels.mi","Delta Hotels Prince Edward","18 Queen Street","Charlottetown","PE","C1A4A1","CA","NO-DATA","19025662222","DE","NO-DATA","46.231051","-63.12401","NO-DATA"
"marriott.com__search__findHotels.mi","Courtyard Cold Lake","Route 28 & Highway 897, PO Box 536","Cold Lake","AB","T9M1P4","CA","NO-DATA","17805940989","CY","NO-DATA","54.355431","-110.232536","NO-DATA"
"marriott.com__search__findHotels.mi","Courtyard Halifax Dartmouth","35 Shubie Drive","Dartmouth","NS","B3B0N4","CA","NO-DATA","19024063000","CY","NO-DATA","44.708003","-63.564467","NO-DATA"
"marriott.com__search__findHotels.mi","Delta Hotels Dartmouth","240 Brownlow Avenue","Dartmouth","NS","B3B1X6","CA","NO-DATA","19024688888","DE","NO-DATA","44.694494","-63.579143","NO-DATA"
"marriott.com__search__findHotels.mi","Residence Inn Halifax Dartmouth","35 Shubie Drive","Dartmouth","NS","B3B0G2","CA","NO-DATA","19024064000","RI","NO-DATA","44.708075","-63.564092","NO-DATA"
"marriott.com__search__findHotels.mi","Montreal Airport Marriott In-Terminal Hotel","800 Place Leigh Capreol","Dorval","QC","H4Y0A4","CA","NO-DATA","15146366700","MC","NO-DATA","45.455908","-73.751942","NO-DATA"
"marriott.com__search__findHotels.mi","Courtyard Edmonton Downtown","One Thornton Court, 99 Street and Jasper Avenue","Edmonton","AB","T5J2E7","CA","NO-DATA","17804239999","CY","NO-DATA","53.540898","-113.488115","NO-DATA"
"marriott.com__search__findHotels.mi","Courtyard Edmonton West","10011 184th Street NW","Edmonton","AB","T5S0C7","CA","NO-DATA","17806386070","CY","NO-DATA","53.537772","-113.639745","NO-DATA"
"marriott.com__search__findHotels.mi","Delta Hotels Edmonton Centre Suites","10222 102 Street","Edmonton","AB","T5J4C5","CA","NO-DATA","17804293900","DE","NO-DATA","53.544211","-113.495931","NO-DATA"
"marriott.com__search__findHotels.mi","Delta Hotels Edmonton South Conference Centre","4404 Gateway Boulevard NW","Edmonton","AB","T6H5C2","CA","NO-DATA","17804346415","DE","NO-DATA","53.481419","-113.492662","NO-DATA"
"marriott.com__search__findHotels.mi","Fairfield by Marriott Edmonton International Airport","4545 Airport Perimeter Road","Edmonton","AB","T9E1J5","CA","NO-DATA","17807392200","FI","NO-DATA","53.306081","-113.559911","NO-DATA"
"marriott.com__search__findHotels.mi","Fairfield Inn & Suites Edmonton North","581 Griesbach Parade NW","Edmonton","AB","T5E6W1","CA","NO-DATA","17805405100","FI","NO-DATA","53.601958","-113.492886","NO-DATA"
"marriott.com__search__findHotels.mi","JW Marriott Edmonton ICE District","10344-102 Street","Edmonton","AB","T5J0K9","CA","NO-DATA","17807847950","JW","NO-DATA","53.545722","-113.495869","NO-DATA"
"marriott.com__search__findHotels.mi","Element Edmonton West","18540 100 Avenue NW","Edmonton","AB","T5S0C2","CA","NO-DATA","17802505566","EL","NO-DATA","53.53749","-113.6398","NO-DATA"
"marriott.com__search__findHotels.mi","Four Points by Sheraton Edmonton Gateway","10010, 12th Avenue SW","Edmonton","AB","T6X0P9","CA","NO-DATA","17808014000","FP","NO-DATA","53.42319","-113.484306","NO-DATA"
"marriott.com__search__findHotels.mi","Four Points by Sheraton Edmonton South","7230 Argyll Road","Edmonton","AB","T6C4A6","CA","NO-DATA","17804657931","FP","NO-DATA","53.510342","-113.4393","NO-DATA"
"marriott.com__search__findHotels.mi","Four Points by Sheraton Edmonton West","18540 100 Avenue NW","Edmonton","AB","T5S0C2","CA","NO-DATA","17802448355","FP","NO-DATA","53.545611","-113.639617","NO-DATA"
"marriott.com__search__findHotels.mi","TownePlace Suites Edmonton South","1115 103A Street SW","Edmonton","AB","T6W2P6","CA","NO-DATA","17805405110","TS","NO-DATA","53.423981","-113.495204","NO-DATA"
"marriott.com__search__findHotels.mi","The Westin Edmonton","10135 100th Street","Edmonton","AB","T5J0N7","CA","NO-DATA","17804263636","WI","NO-DATA","53.5422","-113.4903","NO-DATA"
"marriott.com__search__findHotels.mi","Renaissance Edmonton Airport Hotel","4236 36th Street East","Edmonton International Airport","AB","T9E0V4","CA","NO-DATA","17804887159","BR","NO-DATA","53.310354","-113.581896","NO-DATA"
"marriott.com__search__findHotels.mi","Four Points by Sheraton Edmundston","100 rue Rice","Edmundston","NB","E3V1T4","CA","NO-DATA","15067397321","FP","NO-DATA","47.364031","-68.330991","NO-DATA"
"marriott.com__search__findHotels.mi","TownePlace Suites Fort McMurray","321 Sakitawaw Trail","Fort McMurray","AB","T9H5E7","CA","NO-DATA","17807508530","TS","NO-DATA","56.6847","-111.354506","NO-DATA"
"marriott.com__search__findHotels.mi","Delta Hotels Fredericton","225 Woodstock Road","Fredericton","NB","E3B2H8","CA","NO-DATA","15064577000","DE","NO-DATA","45.964577","-66.662979","NO-DATA"
"marriott.com__search__findHotels.mi","Four Points by Sheraton Hotel & Conference Centre Gatineau-Ottawa","35 Rue Laurier","Gatineau","QC","J8X4E9","CA","NO-DATA","18197786111","FP","NO-DATA","45.4291","-75.7104","NO-DATA"
"marriott.com__search__findHotels.mi","Four Points by Sheraton Grande Prairie","6702 106 Street","Grande Prairie","AB","T8W0K8","CA","NO-DATA","15877711300","FP","NO-DATA","55.140907","-118.81596","NO-DATA"
"marriott.com__search__findHotels.mi","Residence Inn Gravenhurst Muskoka Wharf","285 Steamship Bay Road","Gravenhurst","ON","P1P1Z9","CA","NO-DATA","17056876600","RI","NO-DATA","44.919356","-79.389279","NO-DATA"
"marriott.com__search__findHotels.mi","Delta Hotels Guelph Conference Centre","50 Stone Road West","Guelph","ON","N1G0A9","CA","NO-DATA","15197803700","DE","NO-DATA","43.525724","-80.223642","NO-DATA"
"marriott.com__search__findHotels.mi","Fairfield Inn & Suites Guelph","35 Cowan Place","Guelph","ON","N1G0C1","CA","NO-DATA","15197632339","FI","NO-DATA","43.493497","-80.210429","NO-DATA"
"marriott.com__search__findHotels.mi","Courtyard Halifax Downtown","5120 Salter Street","Halifax","NS","B3J0A1","CA","NO-DATA","19024281900","CY","NO-DATA","44.644982","-63.571624","NO-DATA"
"marriott.com__search__findHotels.mi","Halifax Marriott Harbourfront Hotel","1919 Upper Water Street","Halifax","NS","B3J3J5","CA","NO-DATA","19024211700","MC","NO-DATA","44.651007","-63.573443","NO-DATA"
"marriott.com__search__findHotels.mi","Residence Inn Halifax Downtown","1599 Grafton St.","Halifax","NS","B3J2C3","CA","NO-DATA","19024220493","RI","NO-DATA","44.645904","-63.574882","NO-DATA"
"marriott.com__search__findHotels.mi","Four Points by Sheraton Halifax","1496 Hollis Street","Halifax","NS","B3J3Z1","CA","NO-DATA","19024234444","FP","NO-DATA","44.644146","-63.571143","NO-DATA"
"marriott.com__search__findHotels.mi","The Westin Nova Scotian","1181 Hollis Street","Halifax","NS","B3H2P6","CA","NO-DATA","19024211000","WI","NO-DATA","44.6398","-63.569","NO-DATA"
"marriott.com__search__findHotels.mi","Courtyard Hamilton","1224 Upper James Street","Hamilton","ON","L9C3B1","CA","NO-DATA","19053837772","CY","NO-DATA","43.214569","-79.8876","NO-DATA"
"marriott.com__search__findHotels.mi","Four Points by Sheraton Hamilton - Stoney Creek","49 Goderich Road","Hamilton","ON","L8E4W8","CA","NO-DATA","19055781212","FP","NO-DATA","43.244257","-79.75922","NO-DATA"
"marriott.com__search__findHotels.mi","Sheraton Hamilton Hotel","116 King Street West","Hamilton","ON","L8P4V3","CA","NO-DATA","19055295515","SI","NO-DATA","43.257959","-79.873481","NO-DATA"
"marriott.com__search__findHotels.mi","Delta Hotels Saguenay Conference Centre","2675 Boul Du Royaume","Jonquiere","QC","G7S5B8","CA","NO-DATA","14185483124","DE","NO-DATA","48.403576","-71.171853","NO-DATA"
"marriott.com__search__findHotels.mi","Delta Hotels Kamloops","540 Victoria Street","Kamloops","BC","V2C2B2","CA","NO-DATA","12503722281","DE","NO-DATA","50.675992","-120.328706","NO-DATA"
"marriott.com__search__findHotels.mi","Fairfield Inn & Suites Kamloops","1475 Hugh Allan Drive","Kamloops","BC","V1S1J3","CA","NO-DATA","17784710902","FI","NO-DATA","50.651215","-120.379573","NO-DATA"
"marriott.com__search__findHotels.mi","Four Points by Sheraton Kamloops","1175 Rogers Way","Kamloops","BC","V1S1R5","CA","NO-DATA","12503744144","FP","NO-DATA","50.6518","-120.3674","NO-DATA"
"marriott.com__search__findHotels.mi","Kananaskis Mountain Lodge, Autograph Collection","1 Centennial Drive","Kananaskis Village","AB","T0L2H0","CA","NO-DATA","14035917711","AK","NO-DATA","50.918153","-115.146242","NO-DATA"
"marriott.com__search__findHotels.mi","Fairfield Inn & Suites Ottawa Kanata","578 Terry Fox Drive","Kanata","ON","K2L4G8","CA","NO-DATA","16135997767","FI","NO-DATA","45.301258","-75.908697","NO-DATA"
"marriott.com__search__findHotels.mi","TownePlace Suites Ottawa Kanata","1251 Maritime Way","Kanata","ON","K2K0J6","CA","NO-DATA","16135997200","TS","NO-DATA","45.314346","-75.900794","NO-DATA"
"marriott.com__search__findHotels.mi","Delta Hotels by Marriott Grand Okanagan Resort","1310 Water Street","Kelowna","BC","V1Y9P3","CA","NO-DATA","12507634500","DE","NO-DATA","49.891541","-119.496875","NO-DATA"
"marriott.com__search__findHotels.mi","Fairfield Inn & Suites Kelowna","1655 - Powick Rd.","Kelowna","BC","V1X-4L1","CA","NO-DATA","12507632800","FI","NO-DATA","49.888914","-119.422565","NO-DATA"
"marriott.com__search__findHotels.mi","Four Points by Sheraton Kelowna Airport","5505 Airport Way","Kelowna","BC","V1V3C3","CA","NO-DATA","18559005505","FP","NO-DATA","49.951343","-119.388773","NO-DATA"
