locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
airgas.com,South Division - Southeast Region,2805 Earl Goodwin Pkwy,Selma,AL,36703,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - Southeast Region,3986 Birmingham Hwy,Montgomery,AL,36108,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - Southeast Region,1611 US Highway 80 E,Demopolis,AL,36732,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - South Region,964 S Alabama Ave,Monroeville,AL,36460,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - Southeast Region,3440 Highway 31 S,Pelham,AL,35124,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - Southeast Region,40591 US Highway 280,Sylacauga,AL,35150,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - Southeast Region,1701 51st Ave,Tuscaloosa,AL,35401,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - Southeast Region,2610 18th Ave N,Bessemer,AL,35020,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - South Region,3124 N College Ave,Jackson,AL,36545,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - Southeast Region,1371 South Boulevard,Brewton,AL,36426,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - South Region,1641 South Blvd,Brewton,AL,36426,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - Southeast Region,50 McDonald St,Birmingham,AL,35217,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - South Region,1520 Parker Ln,Enterprise,AL,36330,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - Southeast Region,1651 Columbus Pkwy,Opelika,AL,36804,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - Southeast Region,136 Bonita Rd,Meridian,MS,39301,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - South Region,19435 Highway 43,Vernon,AL,36560,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - South Region,950 Dale Rd,Eufaula,AL,36027,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - Southeast Region,11 Elliott Blvd,Jasper,AL,35501,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - Southeast Region,60 Airgas Dr,Anniston,AL,36207,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
airgas.com,South Division - Southeast Region,3129 5th Ave,Columbus,GA,31904,US,,(334)872-4497,Branch,,32.3182314,-86.902298,
