locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
bassett.brickworksoftware.com,,240 Route 17 North,Paramus,NJ,07652,US,3283,(201) 265-4400,Bassett Home Furnishings,,40.92,-74.08,
bassett.brickworksoftware.com,,464 W. Mt. Pleasant Ave.,Livingston,NJ,07039,US,3294,(973) 533-5000,Bassett Home Furnishings,,40.796647,-74.344829,
bassett.brickworksoftware.com,,950 Old Country Road,Garden City,NY,11530,US,5189,(516) 222-0063,Bassett Home Furnishings,,40.7266,-73.6343,
bassett.brickworksoftware.com,,120 South Central Ave,Hartsdale,NY,10530,US,3292,(914) 328-7800,Bassett Home Furnishings,,41.015451,-73.801755,
bassett.brickworksoftware.com,,9 Kanes Lane,Middletown,NJ,07748,US,3214,(732) 671-0400,Bassett Home Furnishings,,40.38581,-74.094501,
bassett.brickworksoftware.com,,292 Route 22,Green Brook,NJ,08812,US,3274,(732) 926-8800,Bassett Home Furnishings,,40.592793,-74.49714,
bassett.brickworksoftware.com,,220 Route 110,Farmingdale,NY,11735,US,3225,(631) 752-2300,Bassett Home Furnishings,,40.7146928,-73.4283053,
bassett.brickworksoftware.com,,10 Route 10 West,Succasunna,NJ,07876,US,27048,(973) 927-7100,HGTV Design Studio,,40.86215,-74.629035,
bassett.brickworksoftware.com,,1100 Post Rd. East,Westport,CT,06880,US,3290,(203) 222-3888,Bassett Home Furnishings,,41.13842,-73.32688,
bassett.brickworksoftware.com,,530 Route 70,Brick,NJ,08723,US,3219,(732) 477-4004,Bassett Home Furnishings,,40.057,-74.153689,
bassett.brickworksoftware.com,,88-1 Dunning Road,Middletown,NY,10940,US,27967,(845) 956-0159,Bassett Home Furnishings,,41.4459,-74.4229,
bassett.brickworksoftware.com,,549 Boston Post Road,Orange,CT,06477,US,3258,(203) 799-2595,Bassett Home Furnishings,,41.252838,-73.019424,
bassett.brickworksoftware.com,,578 Bethlehem Pike,Colmar,PA,18915,US,3268,(215) 996-1550,Bassett Home Furnishings,,40.264166,-75.252748,
bassett.brickworksoftware.com,,1602 West Marlton Pike,Cherry Hill,NJ,08034,US,3267,(856) 795-8680,Bassett Home Furnishings,,39.900999,-74.953335,
bassett.brickworksoftware.com,,611 West DeKalb Pike,King of Prussia,PA,19406,US,7387,(610) 337-1249,Bassett Home Furnishings,,40.087565,-75.382279,
bassett.brickworksoftware.com,,504 State Route 28,Kingston,NY,12401,US,27089,(845) 339-3400,Bassett Independent Retailer,,41.964221,-74.062806,
bassett.brickworksoftware.com,,5938 North Elm Ave.,Millerton,NY,12546,US,27080,(518) 789-3848,Bassett Independent Retailer,,41.952729,-73.512521,
bassett.brickworksoftware.com,,3583 Berlin Turnpike,Newington,CT,06111,US,3257,(860) 666-8666,Bassett Home Furnishings,,41.6979,-72.7237,
bassett.brickworksoftware.com,,6125 East Blackhorse Pike,Egg Harbor Township,NJ,08234,US,27110,(609) 484-2453,HGTV Design Studio,,39.39,-74.56,
bassett.brickworksoftware.com,,5515 Concord Pike,Wilmington,DE,19803,US,3209,(302) 477-3970,Bassett Home Furnishings,,39.832136,-75.5427529,
bassett.brickworksoftware.com,,99 South Main Street,Wilkes-Barre,PA,18701,US,27103,(570) 823-0578,HGTV Design Studio,,41.248021,-75.878038,
bassett.brickworksoftware.com,,4444 New Holland Rd.,Mohnton,PA,19540,US,27927,(610) 777-1326,HGTV Design Studio,,40.264097,-75.951596,
bassett.brickworksoftware.com,,139 Myron Street,West Springfield,MA,01089,US,27164,(413) 739-1101,HGTV Design Studio,,42.133605,-72.631307,
bassett.brickworksoftware.com,,20 East Street,Ludlow,MA,01056,US,27948,(413) 589-9103,HGTV Design Studio,,42.156388,-72.482964,
bassett.brickworksoftware.com,,69 Ceperly Ave,Oneonta,NY,13820,US,27097,(607) 432-7963,HGTV Design Studio,,42.4535,-75.063,
bassett.brickworksoftware.com,,25 Erie Boulevard,Albany,NY,12204,US,27147,(518) 465-3373,HGTV Design Studio,,42.664619,-73.737694,
bassett.brickworksoftware.com,,2230 South Dupont Hwy,Dover,DE,19901,US,26959,(302) 697-7799,HGTV Design Studio,,39.117571,-75.536326,
bassett.brickworksoftware.com,,5078 Jonestown Rd (Rt 22),Harrisburg,PA,17112,US,27925,(717) 233-2955,HGTV Design Studio,,40.310767,-76.804793,
bassett.brickworksoftware.com,,962 Lycoming Mall Drive,Muncy,PA,17756,US,27135,(570) 326-5958,Bassett Independent Retailer,,41.235454,-76.819334,
bassett.brickworksoftware.com,,725 Southbridge St,Worcester,MA,01610,US,26843,(800) 768-6267,Bassett Independent Retailer,,42.239794,-71.816403,
bassett.brickworksoftware.com,,1371 Harwood Hill Rd,Bennington,VT,05201,US,27099,(802) 447-3212,Bassett Independent Retailer,,42.92043,-73.209689,
bassett.brickworksoftware.com,,100 Shawan Rd.,Cockeysville,MD,21030,US,3598,(410) 329-9828,Bassett Home Furnishings,,39.498709,-76.652234,
bassett.brickworksoftware.com,,33 Route 100,West Dover,VT,05356,US,27100,(802) 464-7600,Bassett Independent Retailer,,42.929167,-72.848482,
