locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
brusters.com,Bridgewater,1525 Riverside Dr.,Beaver,PA,15009,US,1,,,,34.8966314,-117.0003033,
brusters.com,Hermitage,1688 East State St.,Hermitage,PA,16148,US,3,,,,41.2328887,-80.4786458,
brusters.com,Hopewell,2291 Brodhead Rd.,Aliquippa,PA,15001,US,4,,,,40.5860951,-80.259744,
brusters.com,Calcutta,49094 Calcutta Smithferry Rd,East Liverpool,OH,43920,US,6,,,,40.6766613,-80.57392039999999,
brusters.com,Marietta,3735 Trickum Rd.,Marietta,GA,30066,US,10,,,,34.0424023,-84.48212559999999,
brusters.com,Webster,1041 Ridge Road SR404,Webster,NY,14580,US,11,,,,43.2092628,-77.4536368,
brusters.com,Snellville,2324 Scenic Highway,Snellville,GA,30078,US,12,,,,33.8551992,-84.021183,
brusters.com,Conyers,"1172 Dogwood Drive, SE",Conyers,GA,30012,US,14,,,,33.6550026,-84.0076328,
brusters.com,Newnan,138 Newnan Station Drive,Newnan,GA,30265,US,16,,,,33.3977279,-84.7334132,
brusters.com,Beaufort,304 Robert Smalls Prky.,Beaufort,SC,29906,US,17,,,,32.4255878,-80.7295189,
brusters.com,Peters Twp.,444 Valley Brook Rd,McMurray,PA,15317,US,18,,,,40.4217485,-79.06815139999999,
brusters.com,Bloomington,4531 E 3rd St,Bloomington,IN,47401,US,27,,,,39.1646855,-86.4724471,
brusters.com,Woodstock,2905 Eagle Drive,Woodstock,GA,30189,US,31,,,,46.8724067,-96.73435409999999,
brusters.com,Ross Twp.,493 Lowries Run Road,Pittsburgh,PA,15237,US,34,,,,40.5340206,-80.05159979999999,
brusters.com,Suwanee,555 Peachtree Industrial Blvd.,Suwanee,GA,30024,US,39,,,,34.062028,-84.07675669999999,
brusters.com,Indian River Road,5317 Indian River Road,Virginia Beach,VA,23464,US,41,,,,36.7976856,-76.17633649999999,
brusters.com,Mall of Georgia,3256 Buford Drive,Buford,GA,30519,US,42,,,,34.0663816,-83.9886657,
brusters.com,New Stanton,South Center Ave & Painterville Road,New Stanton,PA,15672,US,45,,,,40.2093061,-79.6055198,
brusters.com,Richmond,9101 W. Staples Mill Road,Richmond,VA,23228,US,46,,,,37.6406704,-77.5148451,
brusters.com,Indian Trail,1590 Indian Trail Rd.,Norcross,GA,30093,US,47,,,,33.9222563,-84.1708179,
brusters.com,Dacula,2720 Braselton Hwy.,Dacula,GA,30019,US,49,,,,34.0510385,-83.92866769999999,
brusters.com,Glen Mills,1118 Smithbridge Rd.,Glen Mills,PA,19342,US,50,,,,39.8551316,-75.5398386,
brusters.com,Augusta,1115 Agerton Ln.,Augusta,GA,30909,US,53,,,,33.4864449,-82.07788719999999,
brusters.com,Roswell,675 W. Crossville Road Suite 144,Roswell,GA,30075,US,58,,,,34.0590112,-84.3812016,
brusters.com,Cartersville,183 Cherokee Place,Cartersville,GA,30121,US,59,,,,34.1712243,-84.7845261,
brusters.com,Lawrenceville-Suwanee,1702 Lawrenceville-Suwanee Rd.,Lawrenceville,GA,30043,US,60,,,,33.9915007,-84.0333673,
brusters.com,Albany,2822 Old Dawson Road,Albany,GA,31707,US,66,,,,31.6131534,-84.22123100000002,
brusters.com,Jodeco Road-McDonough,4244 Jodeco Road,McDonough,GA,30253,US,67,,,,33.4874664,-84.1762669,
brusters.com,Canton,101 Riverwalk Court,Canton,GA,30114,US,69,,,,34.0989523,-81.1484436,
brusters.com,Spartanburg,100 Peachshed Rd.,Spartanburg,SC,29307,US,71,,,,34.965682,-81.8938323,
brusters.com,Jonesboro,7181 Mount Zion Blvd,Jonesboro,GA,30236,US,72,,,,33.5587242,-84.32568719999999,
brusters.com,Decatur,2550 Lawrenceville Hwy.,Decatur,GA,30033,US,74,,,,33.821243,-84.26452599999999,
brusters.com,Sugarloaf,3380 Sugarloaf PKWY ,Lawrenceville,GA,30044,US,79,,,,33.92268,-84.01778900000001,
brusters.com,Roanoke,6498 Williamson Road,Roanoke,VA,24019,US,80,,,,37.3351251,-79.95553319999999,
brusters.com,Girard,1300 N. State Street,Girard,OH,44420,US,84,,,,41.9059886,-87.6290089,
brusters.com,Richmond 2,11221 Hull Street,Midlothian,VA,23112,US,86,,,,37.4360692,-77.6014974,
brusters.com,Ingomar,9600 Perry Hwy.,Pittsburgh,PA,15237,US,89,,,,40.5818827,-80.0371985,
brusters.com,Holcomb Bridge,8420 Holcomb Bridge Rd.,Alpharetta,GA,30022,US,90,,,,33.9853402,-84.2705527,
brusters.com,Rome,"1911 Shorter Ave., SW",Rome,GA,30165,US,92,,,,34.2694222,-85.2178351,
brusters.com,Easley,5152 Calhoun Memorial Hwy.,Easley,SC,29640,US,93,,,,34.824935,-82.5580828,
brusters.com,Lakeland,955 East CR540A,Lakeland,FL,33813,US,94,,,,27.9525681,-81.94881459999999,
brusters.com,Evans,516 N. Belair Rd.,Evans,GA,30809,US,95,,,,33.5354348,-82.13002949999999,
brusters.com,Cornelius,17029 Kenton Drive,Cornelius,NC,28031,US,97,,,,35.448294,-80.8909358,
brusters.com,Dillsburg  ,1 Tristan Drive,Dillsburg,PA,17019,US,101,,,,40.1341245,-77.0189092,
brusters.com,Due West-Marietta,3795 Due West Rd.,Marietta,GA,30064,US,102,,,,33.9650919,-84.66321669999999,
brusters.com,Cumming,878 Buford Road,Cumming,GA,30041,US,103,,,,37.5093982,-77.552548,
brusters.com,Knoxville,1043 Old Cedar Bluff Road,Knoxville,TN,37923,US,104,,,,35.94101819999999,-84.09302369999999,
brusters.com,Cobb Parkway - Smyrna,"2420 Cobb Parkway, SE",Smyrna,GA,30080,US,105,,,,33.8921318,-84.4780676,
brusters.com,Williamsburg,5289 John Tyler Highway,Williamsburg,VA,23185,US,106,,,,37.258164,-76.7378681,
brusters.com,Gainesville,165 John W Morrow Jr Pkwy,Gainesville,GA,30501,US,108,,,,34.2970484,-83.84193669999999,
brusters.com,Nashua,621 Amherst Street (Route 101A),Nashua,NH,03063,US,111,,,,42.8025586,-71.53922039999999,
brusters.com,Toco Hill,2095 Lavista Road,Atlanta,GA,30329,US,112,,,,33.8157181,-84.3162937,
brusters.com,Richmond 3,11501 Robious Road,North Chesterfield,VA,23235,US,114,,,,37.5207839,-77.6093428,
brusters.com,Greenville,6412 White Horse Rd.,Greenville,SC,29611,US,117,,,,34.8658027,-82.4631497,
brusters.com,Old Milton Parkway,3855 Old Milton Parkway,Alpharetta,GA,30005,US,119,,,,34.0617853,-84.24723449999999,
brusters.com,Sharon Rd,1540 Sharon Rd.,Cumming,GA,30041,US,120,,,,36.0683567,-80.28237229999999,
brusters.com,Woodruff Rd,1850 Woodruff Rd.,Greenville,SC,29607,US,121,,,,34.8195675,-82.26747449999999,
brusters.com,Columbus I,1654 Whittlesey Road,Columbus,GA,31904,US,128,,,,32.5362715,-84.96877049999999,
brusters.com,Glen Burnie,801 Aquahart Rd.,Glen Burnie,MD,21061,US,129,,,,39.15194260000001,-76.6177367,
brusters.com,Birmingham,5212 Caldwell Mill Rd.,Birmingham,AL,35242,US,130,,,,33.382527,-86.73768869999999,
brusters.com,Tucker,4535 Hugh Howell Rd.,Tucker,GA,30084,US,133,,,,33.8485718,-84.202968,
brusters.com,Austell,1845 Anderson Mill Rd,Austell,GA,30106,US,134,,,,33.84866,-84.60868289999999,
brusters.com,Old Alabama Road,3000 Old Alabama Road Suite 100,Alpharetta,GA,30022,US,139,,,,34.0226995,-84.2713053,
brusters.com,Jacksonville,12224 Atlantic Blvd.,Jacksonville,FL,32225,US,141,,,,30.318583,-81.48764129999999,
brusters.com,Montgomery,6835 Vaughn Road,Montgomery,AL,36117,US,144,,,,32.3402401,-86.1979984,
brusters.com,Mooresville,252 Williamson Road,Mooresville,NC,28117,US,146,,,,35.5877293,-80.8747806,
brusters.com,Pelham Road,207 Pelham Rd.,Greenville,SC,29615,US,148,,,,34.8666176,-82.3479546,
brusters.com,Auburn,2172 E. University Drive,Auburn,AL,36830,US,149,,,,32.6291718,-85.45329129999999,
brusters.com,Boiling Springs,2099 Boiling Springs Rd.,Boiling Springs,SC,29316,US,150,,,,35.0201048,-81.9632621,
brusters.com,Harrisonburg,221 University Blvd.,Harrisonburg,VA,22801,US,153,,,,38.4299365,-78.8493014,
brusters.com,Lower Roswell,2044 Lower Roswell Road,Marietta,GA,30060,US,154,,,,33.9491859,-84.4925971,
brusters.com,Anderson,3201 Martin Luther King Jr Blvd,Anderson,SC,29625,US,155,,,,38.5456825,-121.4645206,
brusters.com,Aston,3630 Concord Rd.,Aston,PA,19014,US,156,,,,39.991265,-76.654887,
brusters.com,Powhatan,2602 Anderson Hwy,Powhatan,VA,23139,US,158,,,,37.5237884,-77.8229246,
brusters.com,Matthews,545 West John Street,Matthews,NC,28105,US,160,,,,40.7651405,-73.5491498,
brusters.com,Virginia Beach Blvd,4921 Virginia Beach Blvd,Virginia Beach,VA,23462,US,162,,,,36.8433272,-76.14692459999999,
brusters.com,Titusville,855 Cheney Highway,Titusville,FL,32780,US,167,,,,28.5573019,-80.8121931,
brusters.com,Columbus II,3465-G Macon Road,Columbus,GA,31907,US,172,,,,32.4846331,-84.9384187,
brusters.com,Raleigh,10450 Durant Rd. Suite 100,Raleigh,NC,27614,US,174,,,,35.905027,-78.5886365,
brusters.com,Florence,116 N. Dunbarton Dr.,Florence,SC,29501,US,175,,,,34.1914406,-79.8375307,
brusters.com,Fayetteville,120 Hwy. 314,Fayetteville,GA,30214,US,177,,,,33.4649806,-84.450515,
brusters.com,Douglasville,6920 Douglas Blvd. Suite A,Douglasville,GA,30135,US,181,,,,33.7256908,-84.7566501,
brusters.com,Glasgow,2394 Pulaski Highway,Newark,DE,19702,US,185,,,,39.6048234,-75.74439450000001,
brusters.com,Camp Hill,3519 Hartzdale Dr.,Camp Hill,PA,17011,US,189,,,,40.2203509,-76.93277429999999,
brusters.com,Redan Road,4844 Redan Rd,Stone Mountain,GA,30088,US,190,,,,33.7619272,-84.1945751,
brusters.com,Seven Fields,510 N. Pointe Circle,Seven Fields,PA,16046,US,192,,,,39.2516116,-119.557224,
brusters.com,Chester,11731 Sherbert lane,Chester,VA,23831,US,199,,,,37.3548926,-77.4944664,
brusters.com,Wilmington,4414 S. 17th Street,Wilmington,NC,28412,US,200,,,,34.1752508,-77.8932868,
brusters.com,Hanover,1035 George Street,Hanover,PA,17331,US,202,,,,40.122549,-75.081249,
brusters.com,Tega Cay,2603 West Highway 160,Fort Mill,SC,29708,US,205,,,,35.0528026,-80.9923521,
brusters.com,Monroe,2166 Commerce Road,Monroe,NC,28110,US,206,,,,,,
brusters.com,Middletown,465 West Main St.,Middletown,DE,19709,US,211,,,,41.0485732,-73.55719520000001,
brusters.com,Huntsville,2100 Cecil Ashburn Drive,Huntsville,AL,35802,US,216,,,,34.67192259999999,-86.5359842,
brusters.com,Madison,12143 County Line Road,Madison,Al,35758,US,218,,,,34.732969,-86.7857564,
brusters.com,Greenwood,1204 Mathis Road,Greenwood,SC,29649,US,221,,,,34.2091259,-82.1881236,
