locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,naics_code,latitude,longitude,hours_of_operation
www.coach.com,COACH BELLEVUE SQUARE,155 BELLEVUE SQ ,BELLEVUE,WA,98004,,,(425) 453-0141,,,47.6153988,-122.2041461,
www.coach.com,COACH COLUMBIA CENTER,1321 N. COLUMBIA CENTER BLVD. ,KENNEWICK,WA,99336,,,(509) 783-5920,,,46.2260857,-119.2274195,
www.coach.com,COACH PACIFIC PLACE,"600 PINE STREET, SPACE #110 ",SEATTLE,WA,98101,,,(206) 264-0372,,,47.6128349,-122.334921,
www.coach.com,COACH SOUTHCENTER,607 SOUTHCENTER ,SEATTLE,WA,98188,,,(206) 214-0645,,,47.4580872,-122.2591435,
www.coach.com,COACH AUBURN (THE OUTLET COLLECTION/SEATTLE),1101 OUTLET COLLECTION WAY ,AUBURN,WA,98001,,,(253) 288-9960,,,47.29610539999999,-122.2457319,
www.coach.com,COACH CENTRALIA,1310 LUM ROAD ,CENTRALIA,WA,98531,,,(360) 736-2076,,,46.7306585,-122.97729,
www.coach.com,COACH NORTH BEND,661 SOUTH FORK AVENUE SW ,NORTH BEND,WA,98045,,,(425) 888-1188,,,47.4901041,-121.7963622,
www.coach.com,COACH SEATTLE OUTLETS,10600 QUIL CEDA BOULEVARD ,TULALIP,WA,98271,,,(360) 651-0956,,,48.0935599,-122.1877764,
www.coach.com,COACH WASHINGTON,260 FASHION WAY ,BURLINGTON,WA,98233,,,(360) 707-2967,,,48.4570792,-122.3390491,
www.coach.com,AAFES HQ - FT LEWIS,PENDLETON AVE BLDG 5280 ,FORT LEWIS,WA,98433,,,,,,47.0918915,-122.589502,
www.coach.com,AAFES HQ - MCCHORD,BLDG 504 504 BARNES BLVD ,MCCHORD AIR FORCE BASE,WA,98438,,,,,,47.12720179999999,-122.4957805,
www.coach.com,MACY'S INC. - ALDERWOOD,18700 ALDERWOOD MALL BLVD ,LYNNWOOD,WA,98037,,,,,,47.8288339,-122.2715875,
www.coach.com,MACY'S INC. - BELLEVUE SQUARE,400 BELLEVUE SQUARE ,BELLEVUE,WA,98004,,,,,,47.61580240000001,-122.2023689,
www.coach.com,MACY'S INC. - CAPITAL (OLYMPIA),301 CAPITAL MALL ,OLYMPIA,WA,98502,,,,,,47.0398935,-122.9422253,
www.coach.com,MACY'S INC. - COLUMBIA CENTER (WA),400 COLUMBIA CENTER ,KENNEWICK,WA,99336,,,,,,46.2129365,-119.2252405,
www.coach.com,MACY'S INC. - KITSAP (SILVERDALE),10315 SILVERDALE WAY ,SILVERDALE,WA,98383,,,,,,47.6576768,-122.6906121,
www.coach.com,MACY'S INC. - SEATTLE (DOWNTOWN),THIRD AND PINE ,SEATTLE,WA,98101,,,,,,47.610741,-122.338703,
www.coach.com,MACY'S INC. - SOUTH HILL (PUYALLUP),3500 SOUTH MERIDIAN ,PUYALLUP,WA,98373,,,,,,47.1580315,-122.2973003,
www.coach.com,MACY'S INC. - SOUTHCENTER SHOPPING CENTER (WA),500 SOUTHCENTER MALL ,TUKWILA,WA,98188,,,,,,47.459807,-122.259188,
